head,relation,tail,timestamp,confidence,source_id
P00004,PRESENT_AT,LOC0072,2026-01-18 17:05:00,0.69,GEO005473
P00004,PRESENT_AT,LOC0010,2026-03-26 19:55:00,0.99,DIG000218
P00004,PRESENT_AT,LOC0031,2026-01-30 02:27:00,0.99,DIG000334
P00004,COMMUNICATED_WITH,P00281,2026-07-11 18:42:00,0.99,DIG000559
P00004,PRESENT_AT,LOC0052,2026-07-11 18:42:00,0.99,DIG000559
P00004,PRESENT_AT,LOC0067,2026-07-05 12:14:00,0.99,DIG000662
P00004,PRESENT_AT,LOC0068,2026-01-08 15:17:00,0.99,DIG000686
P00004,PRESENT_AT,LOC0041,2026-01-10 11:47:00,0.99,DIG001148
P00004,PRESENT_AT,LOC0006,2026-03-15 07:42:00,0.99,DIG001188
P00004,PRESENT_AT,LOC0006,2026-01-27 04:22:00,0.99,DIG003043
P00004,COMMUNICATED_WITH,P00299,2026-02-26 04:51:00,0.99,DIG001200
P00004,PRESENT_AT,LOC0162,2026-02-26 04:51:00,0.99,DIG001200
P00004,PRESENT_AT,LOC0150,2026-07-23 21:09:00,0.99,DIG001221
P00004,PRESENT_AT,LOC0088,2026-05-23 08:24:00,0.99,DIG001706
P00004,COMMUNICATED_WITH,P00384,2026-07-02 12:05:00,0.99,DIG003755
P00004,PRESENT_AT,LOC0141,2026-07-02 12:05:00,0.99,DIG003755
P00004,COMMUNICATED_WITH,P00114,2026-04-22 21:41:00,0.99,DIG003850
P00004,PRESENT_AT,LOC0094,2026-04-22 21:41:00,0.99,DIG003850
P00004,MOVED_WITH,P00730,2026-08-06 16:32:00,0.99,DIG003918
P00004,PRESENT_AT,LOC0142,2026-08-06 16:32:00,0.99,DIG003918
P00004,PRESENT_AT,LOC0083,2026-06-14 18:19:00,0.99,DIG003959
P00004,PRESENT_AT,LOC0002,2026-01-08 09:12:00,0.99,DIG004276
P00004,PRESENT_AT,LOC0038,2026-06-24 14:17:00,0.99,DIG004862
P00004,PRESENT_AT,LOC0070,2026-03-06 10:54:00,0.99,DIG005537
P00004,PRESENT_AT,LOC0176,2026-03-27 22:47:00,0.99,DIG005928
P00005,USES_PHONE,PH01001,,1.0,phones.csv
P00005,USES_PHONE,PH01001,2026-02-12 00:47:00,0.99,RPT00704
P00005,USES_PHONE,PH01001,2026-05-10 21:16:00,0.99,RPT00821
P00005,OWNS_ACCOUNT,ACC01088,,1.0,accounts.csv
P00005,OWNS_ACCOUNT,ACC01088,2026-02-12 00:47:00,0.99,RPT00704
P00005,OWNS_ACCOUNT,ACC01088,2026-05-10 21:16:00,0.99,RPT00821
P00005,PRESENT_AT,LOC0040,2026-05-30 13:23:00,0.95,GEO000127
P00005,PRESENT_AT,LOC0166,2026-04-11 06:03:00,0.67,GEO000374
P00005,PRESENT_AT,LOC0130,2026-05-13 01:10:00,0.74,GEO001544
P00005,PRESENT_AT,LOC0133,2026-01-02 21:45:00,0.87,GEO002207
P00005,PRESENT_AT,LOC0096,2026-05-03 12:45:00,0.99,GEO003008
P00005,PRESENT_AT,LOC0041,2026-06-17 23:26:00,0.84,GEO003760
P00005,PRESENT_AT,LOC0137,2026-08-26 21:26:00,0.88,GEO004842
P00005,PRESENT_AT,LOC0155,2026-02-26 02:36:00,0.71,GEO005204
P00005,PRESENT_AT,LOC0027,2026-02-09 21:38:00,0.89,GEO005549
P00005,PRESENT_AT,LOC0114,2026-07-29 09:14:00,0.71,GEO005707
P00005,PRESENT_AT,LOC0019,2026-07-24 08:19:00,0.99,DIG001583
P00005,COMMUNICATED_WITH,P00890,2026-06-17 23:26:00,0.99,DIG002388
P00005,PRESENT_AT,LOC0066,2026-06-17 23:26:00,0.99,DIG002388
P00005,PRESENT_AT,LOC0074,2026-06-08 18:28:00,0.99,DIG002635
P00005,MET_WITH,P00692,2026-02-23 04:26:00,0.99,DIG002867
P00005,PRESENT_AT,LOC0153,2026-02-23 04:26:00,0.99,DIG002867
P00005,PRESENT_AT,LOC0015,2026-06-19 05:25:00,0.99,DIG003312
P00005,TRANSFERRED_TO,P00359,2026-01-08 20:04:00,0.99,DIG003313
P00005,PRESENT_AT,LOC0132,2026-01-08 20:04:00,0.99,DIG003313
P00005,PRESENT_AT,LOC0174,2026-03-28 13:16:00,0.99,DIG003651
P00005,PRESENT_AT,LOC0110,2026-05-19 16:51:00,0.99,DIG003911
P00005,PRESENT_AT,LOC0061,2026-07-30 06:23:00,0.99,DIG004286
P00005,TRANSFERRED_TO,P00332,2026-07-25 06:16:00,0.99,DIG004886
P00005,PRESENT_AT,LOC0143,2026-07-25 06:16:00,0.99,DIG004886
P00005,PRESENT_AT,LOC0143,2026-05-10 21:16:00,0.99,RPT00821
P00005,MET_WITH,P00481,2026-06-29 08:32:00,0.99,DIG005650
P00005,PRESENT_AT,LOC0003,2026-06-29 08:32:00,0.99,DIG005650
P00005,PRESENT_AT,LOC0104,2026-07-22 12:56:00,0.99,RPT00254
P00005,MENTIONED_WITH,P00482,2026-02-12 00:47:00,0.99,RPT00704
P00005,PRESENT_AT,LOC0107,2026-02-12 00:47:00,0.99,RPT00704
P00005,OWNS_VEHICLE,VEH00183,2026-02-12 00:47:00,0.99,RPT00704
P00005,MENTIONED_WITH,P00446,2026-05-10 21:16:00,0.99,RPT00821
P00005,OWNS_VEHICLE,VEH00134,2026-05-10 21:16:00,0.99,RPT00821
P00006,USES_PHONE,PH00240,,1.0,phones.csv
P00006,OWNS_ACCOUNT,ACC01156,,1.0,accounts.csv
P00006,OWNS_VEHICLE,VEH00182,,1.0,vehicles.csv
P00006,PRESENT_AT,LOC0053,2026-06-01 16:50:00,0.66,GEO001121
P00006,PRESENT_AT,LOC0053,2026-04-21 22:16:00,0.99,DIG003194
P00006,PRESENT_AT,LOC0114,2026-07-10 07:50:00,0.79,GEO001139
P00006,PRESENT_AT,LOC0029,2026-06-25 08:02:00,0.66,GEO001228
P00006,PRESENT_AT,LOC0102,2026-06-29 04:48:00,0.79,GEO001248
P00006,PRESENT_AT,LOC0049,2026-04-06 23:32:00,0.94,GEO002334
P00006,MET_WITH,P00866,2026-03-10 06:31:00,0.99,DIG000367
P00006,PRESENT_AT,LOC0086,2026-03-10 06:31:00,0.99,DIG000367
P00006,MOVED_WITH,P00930,2026-02-10 03:26:00,0.99,DIG000674
P00006,PRESENT_AT,LOC0070,2026-02-10 03:26:00,0.99,DIG000674
P00006,MET_WITH,P00478,2026-08-31 01:55:00,0.99,DIG001021
P00006,PRESENT_AT,LOC0176,2026-08-31 01:55:00,0.99,DIG001021
P00006,PRESENT_AT,LOC0104,2026-06-07 07:58:00,0.99,DIG001855
P00006,PRESENT_AT,LOC0134,2026-08-31 09:34:00,0.99,DIG002394
P00006,PRESENT_AT,LOC0080,2026-05-19 21:12:00,0.99,DIG003475
P00006,PRESENT_AT,LOC0116,2026-02-15 13:16:00,0.99,DIG003998
P00006,PRESENT_AT,LOC0099,2026-02-26 14:50:00,0.99,DIG004262
P00006,PRESENT_AT,LOC0162,2026-04-15 16:04:00,0.99,DIG005314
P00007,USES_PHONE,PH01164,,1.0,phones.csv
P00007,OWNS_ACCOUNT,ACC00166,,1.0,accounts.csv
P00007,OWNS_ACCOUNT,ACC01096,,1.0,accounts.csv
P00007,OWNS_VEHICLE,VEH00280,,1.0,vehicles.csv
P00007,PRESENT_AT,LOC0070,2026-06-15 08:55:00,0.87,GEO000635
P00007,PRESENT_AT,LOC0065,2026-01-05 07:56:00,0.83,GEO002147
P00007,PRESENT_AT,LOC0023,2026-07-16 17:44:00,0.77,GEO002236
P00007,PRESENT_AT,LOC0023,2026-01-05 17:36:00,0.99,DIG001043
P00007,PRESENT_AT,LOC0126,2026-02-05 20:25:00,0.84,GEO003349
P00007,PRESENT_AT,LOC0063,2026-02-11 20:17:00,0.76,GEO004360
P00007,PRESENT_AT,LOC0135,2026-01-24 10:59:00,0.71,GEO005391
P00007,PRESENT_AT,LOC0135,2026-08-19 19:55:00,0.99,DIG002386
P00007,PRESENT_AT,LOC0084,2026-07-23 17:24:00,0.99,DIG000322
P00007,PRESENT_AT,LOC0009,2026-07-26 15:29:00,0.99,DIG000461
P00007,MET_WITH,P00748,2026-01-05 17:36:00,0.99,DIG001043
P00007,PRESENT_AT,LOC0110,2026-03-30 23:29:00,0.99,DIG001698
P00007,COMMUNICATED_WITH,P00878,2026-01-14 18:04:00,0.99,DIG002064
P00007,PRESENT_AT,LOC0178,2026-01-14 18:04:00,0.99,DIG002064
P00007,TRANSFERRED_TO,P00559,2026-08-19 19:55:00,0.99,DIG002386
P00007,TRANSFERRED_TO,P00971,2026-03-18 06:59:00,0.99,DIG002757
P00007,PRESENT_AT,LOC0094,2026-03-18 06:59:00,0.99,DIG002757
P00007,PRESENT_AT,LOC0083,2026-01-29 11:44:00,0.99,DIG002824
P00007,PRESENT_AT,LOC0098,2026-03-23 04:01:00,0.99,DIG003414
P00007,PRESENT_AT,LOC0047,2026-04-02 23:14:00,0.99,DIG003628
P00007,MOVED_WITH,P00058,2026-08-11 16:02:00,0.99,DIG004200
P00007,PRESENT_AT,LOC0122,2026-08-11 16:02:00,0.99,DIG004200
P00007,COMMUNICATED_WITH,P00640,2026-07-14 16:39:00,0.99,DIG004381
P00007,PRESENT_AT,LOC0176,2026-07-14 16:39:00,0.99,DIG004381
P00007,COMMUNICATED_WITH,P00176,2026-03-30 04:49:00,0.99,DIG004647
P00007,PRESENT_AT,LOC0054,2026-03-30 04:49:00,0.99,DIG004647
P00007,MET_WITH,P00829,2026-03-18 20:46:00,0.99,DIG005852
P00007,PRESENT_AT,LOC0119,2026-03-18 20:46:00,0.99,DIG005852
P00007,PRESENT_AT,LOC0046,2026-06-23 17:30:00,0.99,RPT00237
P00007,PRESENT_AT,LOC0064,2026-05-13 20:51:00,0.99,RPT00522
P00007,PRESENT_AT,LOC0099,2026-01-20 17:38:00,0.99,RPT00576
P00008,USES_PHONE,PH00617,,1.0,phones.csv
P00008,OWNS_ACCOUNT,ACC00110,,1.0,accounts.csv
P00008,OWNS_VEHICLE,VEH00052,,1.0,vehicles.csv
P00008,PRESENT_AT,LOC0107,2026-04-16 07:39:00,0.89,GEO001745
P00008,PRESENT_AT,LOC0045,2026-05-05 19:07:00,0.8,GEO003127
P00008,PRESENT_AT,LOC0045,2026-07-06 05:14:00,0.99,DIG004846
P00008,PRESENT_AT,LOC0018,2026-04-20 02:35:00,0.7,GEO003735
P00008,PRESENT_AT,LOC0160,2026-06-13 21:05:00,0.67,GEO003870
P00008,COMMUNICATED_WITH,P00249,2026-04-02 20:56:00,0.99,DIG001751
P00008,PRESENT_AT,LOC0081,2026-04-02 20:56:00,0.99,DIG001751
P00008,PRESENT_AT,LOC0025,2026-04-19 02:46:00,0.99,DIG002122
P00008,PRESENT_AT,LOC0056,2026-07-27 02:14:00,0.99,DIG003303
P00008,MET_WITH,P00394,2026-06-17 20:36:00,0.99,DIG004412
P00008,PRESENT_AT,LOC0137,2026-06-17 20:36:00,0.99,DIG004412
P00008,PRESENT_AT,LOC0156,2026-04-09 06:25:00,0.99,DIG004502
P00008,COMMUNICATED_WITH,P00382,2026-06-19 10:29:00,0.99,DIG004746
P00008,PRESENT_AT,LOC0047,2026-06-19 10:29:00,0.99,DIG004746
P00008,COMMUNICATED_WITH,P00407,2026-07-06 05:14:00,0.99,DIG004846
P00008,COMMUNICATED_WITH,P00278,2026-03-25 05:40:00,0.99,DIG005680
P00008,PRESENT_AT,LOC0118,2026-03-25 05:40:00,0.99,DIG005680
P00008,PRESENT_AT,LOC0071,2026-08-21 09:50:00,0.99,DIG005929
P00008,PRESENT_AT,LOC0162,2026-01-27 19:43:00,0.99,RPT00664
P00009,USES_PHONE,PH00356,,1.0,phones.csv
P00009,OWNS_ACCOUNT,ACC00405,,1.0,accounts.csv
P00009,PRESENT_AT,LOC0176,2026-07-25 13:46:00,0.86,GEO001406
P00009,PRESENT_AT,LOC0176,2026-06-03 06:25:00,0.66,GEO003598
P00009,PRESENT_AT,LOC0058,2026-08-22 20:37:00,0.97,GEO002060
P00009,PRESENT_AT,LOC0124,2026-08-28 23:39:00,0.92,GEO002617
P00009,PRESENT_AT,LOC0090,2026-03-23 23:11:00,0.97,GEO004149
P00009,PRESENT_AT,LOC0146,2026-05-15 20:27:00,0.89,GEO005766
P00009,COMMUNICATED_WITH,P00903,2026-07-27 01:47:00,0.99,DIG000112
P00009,PRESENT_AT,LOC0127,2026-07-27 01:47:00,0.99,DIG000112
P00009,COMMUNICATED_WITH,P00919,2026-05-29 21:51:00,0.99,DIG000915
P00009,PRESENT_AT,LOC0113,2026-05-29 21:51:00,0.99,DIG000915
P00009,PRESENT_AT,LOC0081,2026-05-12 23:15:00,0.99,DIG001331
P00009,PRESENT_AT,LOC0067,2026-04-29 07:25:00,0.99,DIG002890
P00009,PRESENT_AT,LOC0080,2026-06-28 02:48:00,0.99,DIG003382
P00009,MET_WITH,P00832,2026-01-18 05:12:00,0.99,DIG003494
P00009,PRESENT_AT,LOC0083,2026-01-18 05:12:00,0.99,DIG003494
P00009,COMMUNICATED_WITH,P00302,2026-06-18 10:35:00,0.99,DIG004021
P00009,PRESENT_AT,LOC0108,2026-06-18 10:35:00,0.99,DIG004021
P00009,MET_WITH,P00113,2026-08-31 00:11:00,0.99,DIG004025
P00009,PRESENT_AT,LOC0157,2026-08-31 00:11:00,0.99,DIG004025
P00009,PRESENT_AT,LOC0157,2026-06-22 11:45:00,0.99,DIG004287
P00009,PRESENT_AT,LOC0070,2026-01-11 22:00:00,0.99,RPT00047
P00010,USES_PHONE,PH00288,,1.0,phones.csv
P00010,USES_PHONE,PH00288,2026-08-07 01:48:00,0.99,RPT00114
P00010,OWNS_ACCOUNT,ACC00338,,1.0,accounts.csv
P00010,OWNS_ACCOUNT,ACC00338,2026-08-07 01:48:00,0.99,RPT00114
P00010,PRESENT_AT,LOC0053,2026-05-10 12:37:00,0.89,GEO000036
P00010,PRESENT_AT,LOC0085,2026-05-10 06:36:00,0.73,GEO001614
P00010,PRESENT_AT,LOC0005,2026-08-23 17:31:00,0.86,GEO002135
P00010,PRESENT_AT,LOC0019,2026-05-08 04:23:00,0.83,GEO002138
P00010,PRESENT_AT,LOC0093,2026-06-20 07:35:00,0.84,GEO004825
P00010,PRESENT_AT,LOC0180,2026-07-31 00:19:00,0.75,GEO005861
P00010,MET_WITH,P00631,2026-04-27 14:32:00,0.99,DIG000784
P00010,PRESENT_AT,LOC0057,2026-04-27 14:32:00,0.99,DIG000784
P00010,COMMUNICATED_WITH,P00300,2026-08-20 19:23:00,0.99,DIG000792
P00010,PRESENT_AT,LOC0108,2026-08-20 19:23:00,0.99,DIG000792
P00010,MET_WITH,P00223,2026-07-10 03:57:00,0.99,DIG001251
P00010,PRESENT_AT,LOC0107,2026-07-10 03:57:00,0.99,DIG001251
P00010,PRESENT_AT,LOC0107,2026-06-20 00:07:00,0.99,DIG003766
P00010,PRESENT_AT,LOC0172,2026-04-03 04:07:00,0.99,DIG001275
P00010,PRESENT_AT,LOC0015,2026-08-18 02:10:00,0.99,DIG001299
P00010,PRESENT_AT,LOC0134,2026-05-10 19:11:00,0.99,DIG001999
P00010,PRESENT_AT,LOC0062,2026-01-08 02:26:00,0.99,DIG002066
P00010,COMMUNICATED_WITH,P00649,2026-01-11 10:06:00,0.99,DIG002459
P00010,PRESENT_AT,LOC0002,2026-01-11 10:06:00,0.99,DIG002459
P00010,COMMUNICATED_WITH,P00314,2026-05-18 11:21:00,0.99,DIG002689
P00010,PRESENT_AT,LOC0009,2026-05-18 11:21:00,0.99,DIG002689
P00010,PRESENT_AT,LOC0081,2026-01-05 23:20:00,0.99,DIG002877
P00010,COMMUNICATED_WITH,P00020,2026-07-20 20:43:00,0.99,DIG003876
P00010,PRESENT_AT,LOC0178,2026-07-20 20:43:00,0.99,DIG003876
P00010,PRESENT_AT,LOC0127,2026-07-09 03:52:00,0.99,DIG004331
P00010,PRESENT_AT,LOC0132,2026-03-21 17:17:00,0.99,DIG004349
P00010,PRESENT_AT,LOC0037,2026-07-11 22:47:00,0.99,DIG005248
P00010,PRESENT_AT,LOC0176,2026-03-18 01:05:00,0.99,DIG005262
P00010,PRESENT_AT,LOC0049,2026-02-05 23:26:00,0.99,DIG005887
P00010,COMMUNICATED_WITH,P00642,2026-07-15 09:08:00,0.99,DIG005900
P00010,PRESENT_AT,LOC0098,2026-07-15 09:08:00,0.99,DIG005900
P00010,MENTIONED_WITH,P00761,2026-08-07 01:48:00,0.99,RPT00114
P00010,PRESENT_AT,LOC0120,2026-08-07 01:48:00,0.99,RPT00114
P00010,OWNS_VEHICLE,VEH00088,2026-08-07 01:48:00,0.99,RPT00114
P00011,USES_PHONE,PH00700,,1.0,phones.csv
P00011,USES_PHONE,PH00700,2026-08-22 23:03:00,0.99,RPT00939
P00011,OWNS_ACCOUNT,ACC00186,,1.0,accounts.csv
P00011,OWNS_ACCOUNT,ACC00186,2026-08-22 23:03:00,0.99,RPT00939
P00011,OWNS_VEHICLE,VEH00359,,1.0,vehicles.csv
P00011,PRESENT_AT,LOC0128,2026-06-07 07:57:00,0.84,GEO000170
P00011,PRESENT_AT,LOC0158,2026-01-09 10:36:00,0.68,GEO001402
P00011,PRESENT_AT,LOC0017,2026-04-28 00:08:00,0.67,GEO001617
P00011,PRESENT_AT,LOC0069,2026-08-21 09:20:00,0.77,GEO003421
P00011,PRESENT_AT,LOC0023,2026-05-23 22:59:00,0.65,GEO004858
P00011,PRESENT_AT,LOC0034,2026-03-27 16:45:00,0.7,GEO005068
P00011,PRESENT_AT,LOC0034,2026-08-22 23:03:00,0.99,RPT00939
P00011,PRESENT_AT,LOC0016,2026-08-05 20:45:00,0.95,GEO005493
P00011,PRESENT_AT,LOC0067,2026-07-07 03:33:00,0.87,GEO005786
P00011,PRESENT_AT,LOC0072,2026-04-20 19:38:00,0.99,DIG000487
P00011,PRESENT_AT,LOC0155,2026-04-21 18:30:00,0.99,DIG001765
P00011,TRANSFERRED_TO,P00065,2026-07-05 01:02:00,0.99,DIG001875
P00011,PRESENT_AT,LOC0120,2026-07-05 01:02:00,0.99,DIG001875
P00011,MET_WITH,P00148,2026-01-21 23:17:00,0.99,DIG002135
P00011,PRESENT_AT,LOC0026,2026-01-21 23:17:00,0.99,DIG002135
P00011,PRESENT_AT,LOC0108,2026-08-24 06:10:00,0.99,DIG002373
P00011,PRESENT_AT,LOC0095,2026-03-11 07:53:00,0.99,DIG002719
P00011,COMMUNICATED_WITH,P00457,2026-03-07 02:42:00,0.99,DIG002853
P00011,PRESENT_AT,LOC0011,2026-03-07 02:42:00,0.99,DIG002853
P00011,COMMUNICATED_WITH,P00527,2026-08-02 16:24:00,0.99,DIG004008
P00011,PRESENT_AT,LOC0143,2026-08-02 16:24:00,0.99,DIG004008
P00011,MET_WITH,P00667,2026-04-09 21:14:00,0.99,DIG004681
P00011,PRESENT_AT,LOC0031,2026-04-09 21:14:00,0.99,DIG004681
P00011,PRESENT_AT,LOC0076,2026-08-25 08:43:00,0.99,DIG005067
P00011,PRESENT_AT,LOC0154,2026-05-01 21:01:00,0.99,DIG005780
P00011,PRESENT_AT,LOC0007,2026-02-10 08:47:00,0.99,RPT00268
P00011,MENTIONED_WITH,P00149,2026-08-22 23:03:00,0.99,RPT00939
P00011,OWNS_VEHICLE,VEH00018,2026-08-22 23:03:00,0.99,RPT00939
P00012,USES_PHONE,PH00285,,1.0,phones.csv
P00012,OWNS_ACCOUNT,ACC00571,,1.0,accounts.csv
P00012,OWNS_VEHICLE,VEH00284,,1.0,vehicles.csv
P00012,PRESENT_AT,LOC0022,2026-04-14 12:47:00,0.9,GEO001813
P00012,PRESENT_AT,LOC0032,2026-03-25 11:29:00,0.9,GEO001849
P00012,PRESENT_AT,LOC0035,2026-06-08 14:11:00,0.73,GEO002523
P00012,PRESENT_AT,LOC0044,2026-01-08 21:56:00,0.82,GEO002595
P00012,PRESENT_AT,LOC0064,2026-08-22 20:50:00,0.96,GEO003607
P00012,PRESENT_AT,LOC0019,2026-01-24 01:49:00,0.77,GEO003678
P00012,PRESENT_AT,LOC0015,2026-08-11 00:27:00,0.9,GEO003991
P00012,PRESENT_AT,LOC0109,2026-05-15 11:16:00,0.81,GEO005368
P00012,PRESENT_AT,LOC0049,2026-03-08 12:34:00,0.67,GEO005558
P00012,MOVED_WITH,P00176,2026-07-03 18:12:00,0.99,DIG000675
P00012,PRESENT_AT,LOC0057,2026-07-03 18:12:00,0.99,DIG000675
P00012,PRESENT_AT,LOC0116,2026-06-07 13:51:00,0.99,DIG000777
P00012,PRESENT_AT,LOC0116,2026-07-26 05:40:00,0.99,DIG004240
P00012,COMMUNICATED_WITH,P00318,2026-08-11 06:56:00,0.99,DIG001269
P00012,PRESENT_AT,LOC0128,2026-08-11 06:56:00,0.99,DIG001269
P00012,COMMUNICATED_WITH,P00439,2026-05-14 08:48:00,0.99,DIG002265
P00012,PRESENT_AT,LOC0151,2026-05-14 08:48:00,0.99,DIG002265
