event_id,event_type,subject_person_id,object_person_id,location_id,timestamp,confidence,source_record_id,trigger_word,phones,accounts,vehicles
EVT_DIG000030,movement,P00133,P00841,LOC0178,2026-01-06 01:45:00,0.99,DIG000030,ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ,,,
EVT_DIG000031,meeting,P00826,P00097,LOC0120,2026-03-29 14:12:00,0.99,DIG000031,পরিদর্শন করেছে,,,
EVT_DIG000032,communication,P00995,P00724,LOC0036,2026-05-14 00:49:00,0.99,DIG000032,called,,,
EVT_DIG000033,transfer,P00460,P00455,LOC0139,2026-02-28 05:34:00,0.99,DIG000033,ಹಣ ಕಳುಹಿಸಿದರು,,,
EVT_DIG000034,meeting,P00126,P00370,LOC0054,2026-02-17 02:48:00,0.99,DIG000034,met,,,
EVT_DIG000035,meeting,P00400,P00894,LOC0108,2026-01-22 17:21:00,0.99,DIG000035,visited,,,
EVT_DIG000036,communication,P00654,P00976,LOC0160,2026-08-16 17:00:00,0.99,DIG000036,સંદેશ મોકલ્યો,,,
EVT_DIG000037,communication,P00329,P00174,LOC0084,2026-08-07 23:18:00,0.99,DIG000037,sent a message to,,,
EVT_DIG000038,communication,P00441,P00920,LOC0128,2026-05-11 12:31:00,0.99,DIG000038,വിളിച്ചു,,,
EVT_DIG000039,meeting,P00562,P00046,LOC0013,2026-01-14 04:09:00,0.99,DIG000039,ਮਿਲਿਆ,,,
EVT_DIG000040,communication,P00353,P00754,LOC0037,2026-04-08 08:43:00,0.99,DIG000040,फोन किया,,,
EVT_DIG000041,meeting,P00350,P00187,LOC0077,2026-03-31 17:03:00,0.99,DIG000041,મળ્યા,,,
EVT_DIG000042,communication,P00928,P00893,LOC0047,2026-07-23 01:52:00,0.99,DIG000042,پیغام بھیجا,,,
EVT_DIG000043,communication,P00215,P00878,LOC0149,2026-06-05 00:48:00,0.99,DIG000043,വിളിച്ചു,,,
EVT_DIG000044,communication,P00560,P00278,LOC0133,2026-04-23 10:26:00,0.99,DIG000044,ఫోన్ చేశారు,,,
EVT_DIG000045,communication,P00150,P00410,LOC0083,2026-02-03 06:45:00,0.99,DIG000045,ફોન કર્યો,,,
EVT_DIG000046,transfer,P00788,P00510,LOC0110,2026-03-04 14:53:00,0.99,DIG000046,பணம் அனுப்பினார்,,,
EVT_DIG000047,meeting,P00040,P00606,LOC0046,2026-06-28 03:38:00,0.99,DIG000047,സന്ദർശിച്ചു,,,
EVT_DIG000048,meeting,P00949,P00465,LOC0134,2026-02-23 01:37:00,0.99,DIG000048,కలిశారు,,,
EVT_DIG000049,communication,P00636,P00472,LOC0044,2026-02-14 14:36:00,0.99,DIG000049,پیغام بھیجا,,,
EVT_DIG000050,communication,P00074,P00672,LOC0009,2026-06-17 21:37:00,0.99,DIG000050,संपर्क केला,,,
EVT_DIG000051,communication,P00503,P00585,LOC0180,2026-08-10 21:02:00,0.99,DIG000051,ఫోన్ చేశారు,,,
EVT_DIG000052,communication,P00788,P00824,LOC0046,2026-05-01 06:47:00,0.99,DIG000052,ബന്ധപ്പെട്ടു,,,
EVT_DIG000053,meeting,P00890,P00683,LOC0135,2026-04-16 07:35:00,0.99,DIG000053,ملاقات کی,,,
EVT_DIG000054,transfer,P00137,P00997,LOC0039,2026-04-24 09:05:00,0.99,DIG000054,డబ్బు పంపారు,,,
EVT_DIG000055,meeting,P00785,P00808,LOC0007,2026-04-13 18:39:00,0.99,DIG000055,मिला,,,
EVT_DIG000056,meeting,P00788,P00244,LOC0070,2026-08-07 16:04:00,0.99,DIG000056,भेट दिली,,,
EVT_DIG000057,meeting,P00737,P00048,LOC0167,2026-08-13 08:23:00,0.99,DIG000057,મળ્યા,,,
EVT_DIG000058,meeting,P00073,P00364,LOC0011,2026-08-30 15:38:00,0.99,DIG000058,visited,,,
EVT_DIG000059,communication,P00104,P00171,LOC0002,2026-07-29 16:52:00,0.99,DIG000059,செய்தி அனுப்பினார்,,,
EVT_DIG000060,communication,P00444,P00523,LOC0131,2026-03-30 12:37:00,0.99,DIG000060,پیغام بھیجا,,,
EVT_DIG000061,meeting,P00262,P00906,LOC0135,2026-08-23 15:55:00,0.99,DIG000061,भेट दिली,,,
EVT_DIG000062,meeting,P00238,P00326,LOC0032,2026-01-18 00:47:00,0.99,DIG000062,ಭೇಟಿಯಾದರು,,,
EVT_DIG000063,meeting,P00849,P00567,LOC0045,2026-08-19 12:35:00,0.99,DIG000063,சென்றார்,,,
EVT_DIG000064,communication,P00401,P00148,LOC0014,2026-08-26 06:50:00,0.99,DIG000064,संदेश पाठवला,,,
EVT_DIG000065,vehicle_use,P00710,P00825,LOC0092,2026-07-26 02:08:00,0.99,DIG000065,used a vehicle,,,
EVT_DIG000066,meeting,P00796,P00674,LOC0120,2026-03-31 11:08:00,0.99,DIG000066,મળ્યા,,,
EVT_DIG000067,meeting,P00456,P00949,LOC0097,2026-07-23 11:30:00,0.99,DIG000067,পরিদর্শন করেছে,,,
EVT_DIG000068,movement,P00479,P00546,LOC0049,2026-03-08 04:46:00,0.99,DIG000068,ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ,,,
EVT_DIG000069,communication,P00780,P00387,LOC0178,2026-03-23 09:51:00,0.99,DIG000069,ਸੁਨੇਹਾ ਭੇਜਿਆ,,,
EVT_DIG000070,transfer,P00725,P00299,LOC0019,2026-01-12 11:19:00,0.99,DIG000070,رقم منتقل کی,,,
EVT_DIG000071,meeting,P00428,P00413,LOC0018,2026-04-30 10:26:00,0.99,DIG000071,ಭೇಟಿಯಾದರು,,,
EVT_DIG000072,movement,P00706,P00460,LOC0130,2026-01-15 04:50:00,0.99,DIG000072,స్థానం పంచుకున్నారు,,,
EVT_DIG000073,meeting,P00143,P00723,LOC0095,2026-04-13 23:24:00,0.99,DIG000073,சந்தித்தார்,,,
EVT_DIG000074,meeting,P00650,P00488,LOC0122,2026-08-03 05:40:00,0.99,DIG000074,পরিদর্শন করেছে,,,
EVT_DIG000075,communication,P00933,P00801,LOC0092,2026-07-30 09:11:00,0.99,DIG000075,संपर्क केला,,,
EVT_DIG000076,communication,P00178,P00055,LOC0011,2026-01-08 10:53:00,0.99,DIG000076,বার্তা পাঠিয়েছে,,,
EVT_DIG000077,movement,P00875,P00852,LOC0072,2026-01-09 00:20:00,0.99,DIG000077,ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ,,,
EVT_DIG000078,communication,P00625,P00225,LOC0060,2026-05-14 23:13:00,0.99,DIG000078,संदेश भेजा,,,
EVT_DIG000079,movement,P00541,P00559,LOC0162,2026-05-20 10:34:00,0.99,DIG000079,ठिकाण शेअर केले,,,
EVT_DIG000080,communication,P00984,P00986,LOC0016,2026-06-13 22:45:00,0.99,DIG000080,தொடர்பு கொண்டார்,,,
EVT_DIG000081,meeting,P00802,P00062,LOC0170,2026-03-16 06:13:00,0.99,DIG000081,मिला,,,
EVT_DIG000082,meeting,P00759,P00461,LOC0089,2026-07-03 09:35:00,0.99,DIG000082,met,,,
EVT_DIG000083,communication,P00909,P00813,LOC0142,2026-07-13 22:11:00,0.99,DIG000083,contacted,,,
EVT_DIG000084,communication,P00218,P00192,LOC0121,2026-06-10 23:59:00,0.99,DIG000084,বার্তা পাঠিয়েছে,,,
EVT_DIG000085,transfer,P00653,P00547,LOC0113,2026-07-14 00:33:00,0.99,DIG000085,பணம் அனுப்பினார்,,,
EVT_DIG000086,communication,P00645,P00119,LOC0107,2026-01-03 05:58:00,0.99,DIG000086,called,,,
EVT_DIG000087,transfer,P00086,P00223,LOC0097,2026-05-24 00:57:00,0.99,DIG000087,பணம் அனுப்பினார்,,,
EVT_DIG000088,communication,P00757,P00875,LOC0154,2026-04-05 12:16:00,0.99,DIG000088,సందేశం పంపారు,,,
EVT_DIG000089,meeting,P00715,P00358,LOC0056,2026-03-29 03:40:00,0.99,DIG000089,دورہ کیا,,,
EVT_DIG000090,movement,P00614,P00826,LOC0001,2026-05-10 15:33:00,0.99,DIG000090,ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ,,,
EVT_DIG000091,meeting,P00886,P00558,LOC0120,2026-05-29 18:10:00,0.99,DIG000091,met,,,
EVT_DIG000092,transfer,P00746,P00247,LOC0116,2026-08-19 16:30:00,0.99,DIG000092,பணம் அனுப்பினார்,,,
EVT_DIG000093,movement,P00321,P00668,LOC0143,2026-07-26 10:31:00,0.99,DIG000093,స్థానం పంచుకున్నారు,,,
EVT_DIG000094,meeting,P00231,P00436,LOC0083,2026-03-31 02:00:00,0.99,DIG000094,സന്ദർശിച്ചു,,,
EVT_DIG000095,meeting,P00480,P00170,LOC0100,2026-01-30 02:19:00,0.99,DIG000095,visited,,,
EVT_DIG000096,meeting,P00122,P00465,LOC0029,2026-01-31 04:16:00,0.99,DIG000096,சந்தித்தார்,,,
EVT_DIG000097,communication,P00266,P00205,LOC0028,2026-02-11 23:48:00,0.99,DIG000097,فون کیا,,,
EVT_DIG000098,transfer,P00070,P00606,LOC0031,2026-08-02 09:09:00,0.99,DIG000098,பணம் அனுப்பினார்,,,
EVT_DIG000099,movement,P00101,P00376,LOC0152,2026-06-09 20:23:00,0.99,DIG000099,இடத்தை பகிர்ந்தார்,,,
EVT_DIG000100,transfer,P00434,P00791,LOC0087,2026-06-27 11:16:00,0.99,DIG000100,transferred funds to,,,
EVT_DIG000101,communication,P00650,P00762,LOC0118,2026-03-27 08:41:00,0.99,DIG000101,संदेश भेजा,,,
EVT_DIG000102,transfer,P00616,P00195,LOC0033,2026-03-20 12:39:00,0.99,DIG000102,డబ్బు పంపారు,,,
EVT_DIG000103,communication,P00987,P00271,LOC0109,2026-05-24 15:52:00,0.99,DIG000103,پیغام بھیجا,,,
EVT_DIG000104,meeting,P00439,P00216,LOC0118,2026-07-29 11:06:00,0.99,DIG000104,મુલાકાત લીધી,,,
EVT_DIG000105,meeting,P00686,P00544,LOC0116,2026-05-09 03:25:00,0.99,DIG000105,পরিদর্শন করেছে,,,
EVT_DIG000106,communication,P00469,P00198,LOC0068,2026-01-04 11:30:00,0.99,DIG000106,ਸੰਪਰਕ ਕੀਤਾ,,,
EVT_DIG000107,communication,P00032,P00824,LOC0141,2026-03-13 03:19:00,0.99,DIG000107,বার্তা পাঠিয়েছে,,,
EVT_DIG000108,meeting,P00622,P00996,LOC0063,2026-05-10 19:47:00,0.99,DIG000108,சென்றார்,,,
EVT_DIG000109,vehicle_use,P00053,P00767,LOC0026,2026-04-23 10:26:00,0.99,DIG000109,used a vehicle,,,
EVT_DIG000110,transfer,P00291,P00239,LOC0002,2026-07-10 13:52:00,0.99,DIG000110,पैसे पाठवले,,,
EVT_DIG000111,meeting,P00331,P00789,LOC0167,2026-01-10 08:59:00,0.99,DIG000111,পরিদর্শন করেছে,,,
EVT_DIG000112,communication,P00009,P00903,LOC0127,2026-07-27 01:47:00,0.99,DIG000112,સંદેશ મોકલ્યો,,,
EVT_DIG000113,communication,P00063,P00954,LOC0151,2026-07-07 09:16:00,0.99,DIG000113,ફોન કર્યો,,,
EVT_DIG000114,communication,P00544,P00269,LOC0058,2026-03-15 21:32:00,0.99,DIG000114,संदेश पाठवला,,,
EVT_DIG000115,communication,P00476,P00651,LOC0033,2026-04-17 16:15:00,0.99,DIG000115,संदेश भेजा,,,
EVT_DIG000116,meeting,P00913,P00883,LOC0130,2026-03-24 22:31:00,0.99,DIG000116,મુલાકાત લીધી,,,
EVT_DIG000117,communication,P00388,P00250,LOC0146,2026-01-05 19:30:00,0.99,DIG000117,फोन केला,,,
EVT_DIG000118,meeting,P00424,P00290,LOC0076,2026-05-19 00:20:00,0.99,DIG000118,met,,,
EVT_DIG000119,meeting,P00045,P00048,LOC0134,2026-03-08 04:49:00,0.99,DIG000119,পরিদর্শন করেছে,,,
EVT_DIG000120,meeting,P00430,P00890,LOC0083,2026-01-20 12:23:00,0.99,DIG000120,സന്ദർശിച്ചു,,,
EVT_DIG000121,communication,P00508,P00170,LOC0044,2026-05-27 23:00:00,0.99,DIG000121,फोन किया,,,
EVT_DIG000122,communication,P00038,P00853,LOC0094,2026-03-20 02:54:00,0.99,DIG000122,સંદેશ મોકલ્યો,,,
EVT_DIG000123,transfer,P00110,P00826,LOC0066,2026-03-28 01:12:00,0.99,DIG000123,പണം അയച്ചു,,,
EVT_DIG000124,communication,P00277,P00248,LOC0125,2026-07-10 17:19:00,0.99,DIG000124,رابطہ کیا,,,
EVT_DIG000125,transfer,P00655,P00324,LOC0081,2026-05-25 13:29:00,0.99,DIG000125,টাকা পাঠিয়েছে,,,
EVT_DIG000126,meeting,P00371,P00921,LOC0060,2026-01-08 18:17:00,0.99,DIG000126,சென்றார்,,,
EVT_DIG000127,meeting,P00816,P00206,LOC0060,2026-05-28 12:33:00,0.99,DIG000127,കണ്ടുമുട്ടി,,,
EVT_DIG000128,meeting,P00189,P00374,LOC0167,2026-07-25 06:53:00,0.99,DIG000128,వెళ్లారు,,,
EVT_DIG000129,communication,P00894,P00305,LOC0002,2026-06-21 01:56:00,0.99,DIG000129,फोन किया,,,
EVT_DIG000130,transfer,P00358,P00120,LOC0064,2026-05-25 04:34:00,0.99,DIG000130,पैसे पाठवले,,,
EVT_DIG000131,communication,P00064,P00750,LOC0062,2026-06-07 12:21:00,0.99,DIG000131,ਸੁਨੇਹਾ ਭੇਜਿਆ,,,
EVT_DIG000132,transfer,P00662,P00219,LOC0011,2026-02-23 13:08:00,0.99,DIG000132,ਪੈਸੇ ਭੇਜੇ,,,
EVT_DIG000133,communication,P00116,P00346,LOC0159,2026-08-29 18:28:00,0.99,DIG000133,फोन केला,,,
EVT_DIG000134,communication,P00174,P00152,LOC0088,2026-04-21 12:20:00,0.99,DIG000134,संपर्क केला,,,
EVT_DIG000135,communication,P00028,P00326,LOC0011,2026-08-22 16:31:00,0.99,DIG000135,ফোন করেছে,,,
EVT_DIG000136,meeting,P00356,P00679,LOC0166,2026-06-05 00:28:00,0.99,DIG000136,भेटला,,,
EVT_DIG000137,communication,P00779,P00071,LOC0115,2026-01-06 04:12:00,0.99,DIG000137,సందేశం పంపారు,,,
EVT_DIG000138,meeting,P00062,P00738,LOC0103,2026-03-27 05:34:00,0.99,DIG000138,కలిశారు,,,
EVT_DIG000139,meeting,P00336,P00896,LOC0047,2026-04-09 15:54:00,0.99,DIG000139,కలిశారు,,,
EVT_DIG000140,communication,P00875,P00524,LOC0021,2026-07-15 13:25:00,0.99,DIG000140,ਫੋਨ ਕੀਤਾ,,,
EVT_DIG000141,transfer,P00083,P00758,LOC0106,2026-07-11 19:41:00,0.99,DIG000141,డబ్బు పంపారు,,,
EVT_DIG000142,communication,P00960,P00395,LOC0079,2026-01-04 14:52:00,0.99,DIG000142,ਸੰਪਰਕ ਕੀਤਾ,,,
EVT_DIG000143,communication,P00850,P00322,LOC0011,2026-08-19 12:40:00,0.99,DIG000143,ಕರೆ ಮಾಡಿದರು,,,
EVT_DIG000144,communication,P00104,P00494,LOC0087,2026-08-18 13:44:00,0.99,DIG000144,ਫੋਨ ਕੀਤਾ,,,
EVT_DIG000145,communication,P00348,P00555,LOC0122,2026-08-27 02:37:00,0.99,DIG000145,ബന്ധപ്പെട്ടു,,,
EVT_DIG000146,communication,P00758,P00960,LOC0100,2026-03-09 22:05:00,0.99,DIG000146,தொடர்பு கொண்டார்,,,
EVT_DIG000147,transfer,P00026,P00626,LOC0023,2026-03-22 18:47:00,0.99,DIG000147,ಹಣ ಕಳುಹಿಸಿದರು,,,
EVT_DIG000148,movement,P00650,P00883,LOC0014,2026-08-12 05:37:00,0.99,DIG000148,ਸਥਾਨ ਸਾਂਝਾ ਕੀਤਾ,,,
EVT_DIG000149,meeting,P00254,P00052,LOC0023,2026-01-22 05:21:00,0.99,DIG000149,دورہ کیا,,,
EVT_DIG000150,movement,P00240,P00849,LOC0053,2026-05-09 08:44:00,0.99,DIG000150,مقام شیئر کیا,,,
EVT_DIG000151,meeting,P00436,P00276,LOC0040,2026-06-25 08:12:00,0.99,DIG000151,சந்தித்தார்,,,
EVT_DIG000152,meeting,P00494,P00428,LOC0038,2026-05-08 03:49:00,0.99,DIG000152,পরিদর্শন করেছে,,,
EVT_DIG000153,transfer,P00794,P00795,LOC0120,2026-02-21 16:08:00,0.99,DIG000153,धन भेजा,,,
EVT_DIG000154,communication,P00470,P00642,LOC0088,2026-04-27 06:43:00,0.99,DIG000154,फोन केला,,,
EVT_DIG000155,meeting,P00454,P00642,LOC0096,2026-07-03 08:46:00,0.99,DIG000155,ਮੁਲਾਕਾਤ ਕੀਤੀ,,,
EVT_DIG000156,communication,P00413,P00686,LOC0180,2026-07-03 07:15:00,0.99,DIG000156,called,,,
EVT_DIG000157,transfer,P00020,P00571,LOC0065,2026-07-07 12:19:00,0.99,DIG000157,નાણાં મોકલ્યાં,,,
EVT_DIG000158,communication,P00014,P00245,LOC0023,2026-02-06 14:41:00,0.99,DIG000158,સંપર્ક કર્યો,,,
EVT_DIG000159,communication,P00985,P00928,LOC0078,2026-03-14 08:28:00,0.99,DIG000159,संदेश पाठवला,,,
EVT_DIG000160,meeting,P00834,P00229,LOC0116,2026-08-08 23:27:00,0.99,DIG000160,ਮਿਲਿਆ,,,
EVT_DIG000161,movement,P00598,P00687,LOC0138,2026-07-18 19:52:00,0.99,DIG000161,مقام شیئر کیا,,,
EVT_DIG000162,meeting,P00115,P00190,LOC0079,2026-07-06 06:36:00,0.99,DIG000162,मिला,,,
EVT_DIG000163,communication,P00730,P00714,LOC0100,2026-02-27 15:53:00,0.99,DIG000163,رابطہ کیا,,,
EVT_DIG000164,movement,P00636,P00974,LOC0069,2026-06-05 00:50:00,0.99,DIG000164,സ്ഥലം പങ്കിട്ടു,,,
EVT_DIG000165,communication,P00378,P00299,LOC0063,2026-01-10 17:57:00,0.99,DIG000165,پیغام بھیجا,,,
EVT_DIG000166,meeting,P00931,P00117,LOC0064,2026-02-15 01:30:00,0.99,DIG000166,സന്ദർശിച്ചു,,,
EVT_DIG000167,communication,P00037,P00333,LOC0052,2026-06-20 00:24:00,0.99,DIG000167,ਸੁਨੇਹਾ ਭੇਜਿਆ,,,
EVT_DIG000168,communication,P00109,P00228,LOC0177,2026-04-10 21:53:00,0.99,DIG000168,contacted,,,
EVT_DIG000169,meeting,P00935,P00298,LOC0036,2026-01-07 00:27:00,0.99,DIG000169,ಭೇಟಿಯಾದರು,,,
EVT_DIG000170,communication,P00821,P00717,LOC0004,2026-05-05 06:59:00,0.99,DIG000170,پیغام بھیجا,,,
EVT_DIG000171,meeting,P00388,P00492,LOC0064,2026-05-14 16:02:00,0.99,DIG000171,met,,,
EVT_DIG000172,transfer,P00615,P00688,LOC0002,2026-06-15 06:57:00,0.99,DIG000172,പണം അയച്ചു,,,
EVT_DIG000173,meeting,P00986,P00323,LOC0058,2026-04-22 22:39:00,0.99,DIG000173,met,,,
EVT_DIG000174,meeting,P00528,P00386,LOC0101,2026-02-15 19:04:00,0.99,DIG000174,వెళ్లారు,,,
EVT_DIG000175,movement,P00931,P00233,LOC0114,2026-05-26 20:00:00,0.99,DIG000175,സ്ഥലം പങ്കിട്ടു,,,
EVT_DIG000176,movement,P00205,P00843,LOC0155,2026-07-29 07:27:00,0.99,DIG000176,સ્થાન શેર કર્યું,,,
EVT_DIG000177,communication,P00507,P00161,LOC0124,2026-06-11 03:56:00,0.99,DIG000177,ਸੰਪਰਕ ਕੀਤਾ,,,
EVT_DIG000178,communication,P00609,P00533,LOC0164,2026-06-18 12:47:00,0.99,DIG000178,संपर्क केला,,,
EVT_DIG000179,communication,P00241,P00615,LOC0070,2026-08-04 20:45:00,0.99,DIG000179,پیغام بھیجا,,,
EVT_DIG000180,communication,P00379,P00202,LOC0121,2026-04-15 07:35:00,0.99,DIG000180,رابطہ کیا,,,
EVT_DIG000181,meeting,P00708,P00041,LOC0096,2026-04-23 21:59:00,0.99,DIG000181,met,,,
EVT_DIG000182,movement,P00363,P00201,LOC0109,2026-01-26 21:13:00,0.99,DIG000182,स्थान साझा किया,,,
EVT_DIG000183,meeting,P00276,P00165,LOC0061,2026-04-20 20:21:00,0.99,DIG000183,కలిశారు,,,
EVT_DIG000184,communication,P00136,P00448,LOC0066,2026-02-16 21:40:00,0.99,DIG000184,called,,,
EVT_DIG000185,meeting,P00098,P00552,LOC0140,2026-03-27 03:49:00,0.99,DIG000185,వెళ్లారు,,,
EVT_DIG000186,meeting,P00560,P00610,LOC0041,2026-08-18 04:56:00,0.99,DIG000186,পরিদর্শন করেছে,,,
EVT_DIG000187,movement,P00375,P00546,LOC0154,2026-04-07 09:09:00,0.99,DIG000187,स्थान साझा किया,,,
EVT_DIG000188,communication,P00921,P00197,LOC0179,2026-04-05 15:28:00,0.99,DIG000188,సందేశం పంపారు,,,
EVT_DIG000189,meeting,P00163,P00104,LOC0044,2026-06-12 17:23:00,0.99,DIG000189,দেখা করেছে,,,
EVT_DIG000190,communication,P00777,P00101,LOC0147,2026-01-18 14:42:00,0.99,DIG000190,फोन किया,,,
EVT_DIG000191,meeting,P00706,P00386,LOC0175,2026-03-04 15:51:00,0.99,DIG000191,met,,,
EVT_DIG000192,communication,P00927,P00776,LOC0027,2026-02-04 11:07:00,0.99,DIG000192,বার্তা পাঠিয়েছে,,,
EVT_DIG000193,meeting,P00249,P00958,LOC0007,2026-07-19 01:31:00,0.99,DIG000193,મળ્યા,,,
EVT_DIG000194,communication,P00188,P00172,LOC0145,2026-01-09 20:08:00,0.99,DIG000194,বার্তা পাঠিয়েছে,,,
EVT_DIG000195,communication,P00484,P00306,LOC0164,2026-02-24 11:16:00,0.99,DIG000195,संपर्क किया,,,
EVT_DIG000196,communication,P00252,P00259,LOC0094,2026-03-13 10:09:00,0.99,DIG000196,যোগাযোগ করেছে,,,
EVT_DIG000197,communication,P00173,P00729,LOC0092,2026-01-30 22:44:00,0.99,DIG000197,संदेश भेजा,,,
EVT_DIG000198,communication,P00066,P00694,LOC0065,2026-02-05 04:14:00,0.99,DIG000198,సందేశం పంపారు,,,
EVT_DIG000199,transfer,P00751,P00607,LOC0096,2026-04-07 20:39:00,0.99,DIG000199,transferred funds to,,,
EVT_DIG000200,communication,P00893,P00921,LOC0122,2026-06-20 02:23:00,0.99,DIG000200,ફોન કર્યો,,,
EVT_DIG000201,meeting,P00761,P00884,LOC0020,2026-08-20 23:19:00,0.99,DIG000201,వెళ్లారు,,,
EVT_DIG000202,communication,P00962,P00032,LOC0071,2026-08-28 08:29:00,0.99,DIG000202,સંદેશ મોકલ્યો,,,
EVT_DIG000203,meeting,P00698,P00074,LOC0171,2026-01-09 15:36:00,0.99,DIG000203,भेटला,,,
EVT_DIG000204,transfer,P00640,P00671,LOC0008,2026-05-17 13:25:00,0.99,DIG000204,பணம் அனுப்பினார்,,,
EVT_DIG000205,communication,P00382,P00323,LOC0081,2026-04-22 23:08:00,0.99,DIG000205,संदेश भेजा,,,
EVT_DIG000206,meeting,P00347,P00892,LOC0123,2026-03-24 03:25:00,0.99,DIG000206,ਮੁਲਾਕਾਤ ਕੀਤੀ,,,
EVT_DIG000207,communication,P00822,P00647,LOC0179,2026-02-09 16:28:00,0.99,DIG000207,સંપર્ક કર્યો,,,
EVT_DIG000208,communication,P00698,P00487,LOC0115,2026-05-21 22:45:00,0.99,DIG000208,ಸಂದೇಶ ಕಳುಹಿಸಿದರು,,,
EVT_DIG000209,meeting,P00558,P00025,LOC0033,2026-02-08 02:14:00,0.99,DIG000209,സന്ദർശിച്ചു,,,
EVT_DIG000210,transfer,P00706,P00364,LOC0080,2026-06-23 17:44:00,0.99,DIG000210,पैसे पाठवले,,,
EVT_DIG000211,communication,P00051,P00889,LOC0059,2026-02-09 07:30:00,0.99,DIG000211,ಸಂದೇಶ ಕಳುಹಿಸಿದರು,,,
EVT_DIG000212,communication,P00517,P00613,LOC0141,2026-08-14 18:38:00,0.99,DIG000212,فون کیا,,,
