head,relation,tail,timestamp,confidence,source_id,event_type
P00811,COMMUNICATED_WITH,P00637,2026-08-30 11:56:00,0.99,DIG000008,communication
P00811,PRESENT_AT,LOC0051,2026-08-30 11:56:00,0.99,DIG000008,communication
P00637,PRESENT_AT,LOC0051,2026-08-30 11:56:00,0.99,DIG000008,communication
P00963,MOVED_WITH,P00054,2026-06-23 23:51:00,0.99,DIG000009,movement
P00963,PRESENT_AT,LOC0085,2026-06-23 23:51:00,0.99,DIG000009,movement
P00054,PRESENT_AT,LOC0085,2026-06-23 23:51:00,0.99,DIG000009,movement
P00099,COMMUNICATED_WITH,P00538,2026-01-07 00:15:00,0.99,DIG000010,communication
P00099,PRESENT_AT,LOC0034,2026-01-07 00:15:00,0.99,DIG000010,communication
P00538,PRESENT_AT,LOC0034,2026-01-07 00:15:00,0.99,DIG000010,communication
P00042,MET_WITH,P00435,2026-04-02 19:57:00,0.99,DIG000011,meeting
P00042,PRESENT_AT,LOC0109,2026-04-02 19:57:00,0.99,DIG000011,meeting
P00435,PRESENT_AT,LOC0109,2026-04-02 19:57:00,0.99,DIG000011,meeting
P00968,COMMUNICATED_WITH,P00731,2026-03-18 12:21:00,0.99,DIG000012,communication
P00968,PRESENT_AT,LOC0033,2026-03-18 12:21:00,0.99,DIG000012,communication
P00731,PRESENT_AT,LOC0033,2026-03-18 12:21:00,0.99,DIG000012,communication
P00863,COMMUNICATED_WITH,P00653,2026-08-24 13:51:00,0.99,DIG000013,communication
P00863,PRESENT_AT,LOC0082,2026-08-24 13:51:00,0.99,DIG000013,communication
P00653,PRESENT_AT,LOC0082,2026-08-24 13:51:00,0.99,DIG000013,communication
P00538,COMMUNICATED_WITH,P00930,2026-07-30 00:21:00,0.99,DIG000014,communication
P00538,PRESENT_AT,LOC0134,2026-07-30 00:21:00,0.99,DIG000014,communication
P00930,PRESENT_AT,LOC0134,2026-07-30 00:21:00,0.99,DIG000014,communication
P00119,COMMUNICATED_WITH,P00740,2026-02-02 03:05:00,0.99,DIG000015,communication
P00119,PRESENT_AT,LOC0124,2026-02-02 03:05:00,0.99,DIG000015,communication
P00740,PRESENT_AT,LOC0124,2026-02-02 03:05:00,0.99,DIG000015,communication
P00292,COMMUNICATED_WITH,P00751,2026-08-30 21:16:00,0.99,DIG000016,communication
P00292,PRESENT_AT,LOC0162,2026-08-30 21:16:00,0.99,DIG000016,communication
P00751,PRESENT_AT,LOC0162,2026-08-30 21:16:00,0.99,DIG000016,communication
P00701,COMMUNICATED_WITH,P00781,2026-01-16 21:45:00,0.99,DIG000017,communication
P00701,PRESENT_AT,LOC0046,2026-01-16 21:45:00,0.99,DIG000017,communication
P00781,PRESENT_AT,LOC0046,2026-01-16 21:45:00,0.99,DIG000017,communication
P00761,COMMUNICATED_WITH,P00189,2026-03-26 03:09:00,0.99,DIG000018,communication
P00761,PRESENT_AT,LOC0094,2026-03-26 03:09:00,0.99,DIG000018,communication
P00189,PRESENT_AT,LOC0094,2026-03-26 03:09:00,0.99,DIG000018,communication
P00367,TRANSFERRED_TO,P00285,2026-04-01 06:41:00,0.99,DIG000019,transfer
P00367,PRESENT_AT,LOC0072,2026-04-01 06:41:00,0.99,DIG000019,transfer
P00285,PRESENT_AT,LOC0072,2026-04-01 06:41:00,0.99,DIG000019,transfer
P00770,MET_WITH,P00594,2026-04-19 17:41:00,0.99,DIG000020,meeting
P00770,PRESENT_AT,LOC0028,2026-04-19 17:41:00,0.99,DIG000020,meeting
P00594,PRESENT_AT,LOC0028,2026-04-19 17:41:00,0.99,DIG000020,meeting
P00509,MOVED_WITH,P00892,2026-01-05 15:24:00,0.99,DIG000021,movement
P00509,PRESENT_AT,LOC0073,2026-01-05 15:24:00,0.99,DIG000021,movement
P00892,PRESENT_AT,LOC0073,2026-01-05 15:24:00,0.99,DIG000021,movement
P00755,COMMUNICATED_WITH,P00247,2026-03-31 07:19:00,0.99,DIG000022,communication
P00755,PRESENT_AT,LOC0118,2026-03-31 07:19:00,0.99,DIG000022,communication
P00247,PRESENT_AT,LOC0118,2026-03-31 07:19:00,0.99,DIG000022,communication
P00018,COMMUNICATED_WITH,P00403,2026-01-01 23:14:00,0.99,DIG000023,communication
P00018,PRESENT_AT,LOC0056,2026-01-01 23:14:00,0.99,DIG000023,communication
P00403,PRESENT_AT,LOC0056,2026-01-01 23:14:00,0.99,DIG000023,communication
P00048,MET_WITH,P00511,2026-05-06 09:34:00,0.99,DIG000024,meeting
P00048,PRESENT_AT,LOC0145,2026-05-06 09:34:00,0.99,DIG000024,meeting
P00511,PRESENT_AT,LOC0145,2026-05-06 09:34:00,0.99,DIG000024,meeting
P00893,MET_WITH,P00133,2026-01-16 12:06:00,0.99,DIG000025,meeting
P00893,PRESENT_AT,LOC0028,2026-01-16 12:06:00,0.99,DIG000025,meeting
P00133,PRESENT_AT,LOC0028,2026-01-16 12:06:00,0.99,DIG000025,meeting
P00379,COMMUNICATED_WITH,P00762,2026-05-27 15:58:00,0.99,DIG000026,communication
P00379,PRESENT_AT,LOC0076,2026-05-27 15:58:00,0.99,DIG000026,communication
P00762,PRESENT_AT,LOC0076,2026-05-27 15:58:00,0.99,DIG000026,communication
P00679,COMMUNICATED_WITH,P00216,2026-08-04 01:57:00,0.99,DIG000027,communication
P00679,PRESENT_AT,LOC0004,2026-08-04 01:57:00,0.99,DIG000027,communication
P00216,PRESENT_AT,LOC0004,2026-08-04 01:57:00,0.99,DIG000027,communication
P00951,MOVED_WITH,P00415,2026-08-24 20:25:00,0.99,DIG000028,movement
P00951,PRESENT_AT,LOC0150,2026-08-24 20:25:00,0.99,DIG000028,movement
P00415,PRESENT_AT,LOC0150,2026-08-24 20:25:00,0.99,DIG000028,movement
P00922,TRANSFERRED_TO,P00429,2026-07-23 23:04:00,0.99,DIG000029,transfer
P00922,PRESENT_AT,LOC0175,2026-07-23 23:04:00,0.99,DIG000029,transfer
P00429,PRESENT_AT,LOC0175,2026-07-23 23:04:00,0.99,DIG000029,transfer
P00133,MOVED_WITH,P00841,2026-01-06 01:45:00,0.99,DIG000030,movement
P00133,PRESENT_AT,LOC0178,2026-01-06 01:45:00,0.99,DIG000030,movement
P00841,PRESENT_AT,LOC0178,2026-01-06 01:45:00,0.99,DIG000030,movement
P00826,MET_WITH,P00097,2026-03-29 14:12:00,0.99,DIG000031,meeting
P00826,PRESENT_AT,LOC0120,2026-03-29 14:12:00,0.99,DIG000031,meeting
P00097,PRESENT_AT,LOC0120,2026-03-29 14:12:00,0.99,DIG000031,meeting
P00995,COMMUNICATED_WITH,P00724,2026-05-14 00:49:00,0.99,DIG000032,communication
P00995,PRESENT_AT,LOC0036,2026-05-14 00:49:00,0.99,DIG000032,communication
P00724,PRESENT_AT,LOC0036,2026-05-14 00:49:00,0.99,DIG000032,communication
P00460,TRANSFERRED_TO,P00455,2026-02-28 05:34:00,0.99,DIG000033,transfer
P00460,PRESENT_AT,LOC0139,2026-02-28 05:34:00,0.99,DIG000033,transfer
P00455,PRESENT_AT,LOC0139,2026-02-28 05:34:00,0.99,DIG000033,transfer
P00126,MET_WITH,P00370,2026-02-17 02:48:00,0.99,DIG000034,meeting
P00126,PRESENT_AT,LOC0054,2026-02-17 02:48:00,0.99,DIG000034,meeting
P00370,PRESENT_AT,LOC0054,2026-02-17 02:48:00,0.99,DIG000034,meeting
P00400,MET_WITH,P00894,2026-01-22 17:21:00,0.99,DIG000035,meeting
P00400,PRESENT_AT,LOC0108,2026-01-22 17:21:00,0.99,DIG000035,meeting
P00894,PRESENT_AT,LOC0108,2026-01-22 17:21:00,0.99,DIG000035,meeting
P00654,COMMUNICATED_WITH,P00976,2026-08-16 17:00:00,0.99,DIG000036,communication
P00654,PRESENT_AT,LOC0160,2026-08-16 17:00:00,0.99,DIG000036,communication
P00976,PRESENT_AT,LOC0160,2026-08-16 17:00:00,0.99,DIG000036,communication
P00329,COMMUNICATED_WITH,P00174,2026-08-07 23:18:00,0.99,DIG000037,communication
P00329,PRESENT_AT,LOC0084,2026-08-07 23:18:00,0.99,DIG000037,communication
P00174,PRESENT_AT,LOC0084,2026-08-07 23:18:00,0.99,DIG000037,communication
P00441,COMMUNICATED_WITH,P00920,2026-05-11 12:31:00,0.99,DIG000038,communication
P00441,PRESENT_AT,LOC0128,2026-05-11 12:31:00,0.99,DIG000038,communication
P00920,PRESENT_AT,LOC0128,2026-05-11 12:31:00,0.99,DIG000038,communication
P00562,MET_WITH,P00046,2026-01-14 04:09:00,0.99,DIG000039,meeting
P00562,PRESENT_AT,LOC0013,2026-01-14 04:09:00,0.99,DIG000039,meeting
P00046,PRESENT_AT,LOC0013,2026-01-14 04:09:00,0.99,DIG000039,meeting
P00353,COMMUNICATED_WITH,P00754,2026-04-08 08:43:00,0.99,DIG000040,communication
P00353,PRESENT_AT,LOC0037,2026-04-08 08:43:00,0.99,DIG000040,communication
P00754,PRESENT_AT,LOC0037,2026-04-08 08:43:00,0.99,DIG000040,communication
P00350,MET_WITH,P00187,2026-03-31 17:03:00,0.99,DIG000041,meeting
P00350,PRESENT_AT,LOC0077,2026-03-31 17:03:00,0.99,DIG000041,meeting
P00187,PRESENT_AT,LOC0077,2026-03-31 17:03:00,0.99,DIG000041,meeting
P00928,COMMUNICATED_WITH,P00893,2026-07-23 01:52:00,0.99,DIG000042,communication
P00928,PRESENT_AT,LOC0047,2026-07-23 01:52:00,0.99,DIG000042,communication
P00893,PRESENT_AT,LOC0047,2026-07-23 01:52:00,0.99,DIG000042,communication
P00215,COMMUNICATED_WITH,P00878,2026-06-05 00:48:00,0.99,DIG000043,communication
P00215,PRESENT_AT,LOC0149,2026-06-05 00:48:00,0.99,DIG000043,communication
P00878,PRESENT_AT,LOC0149,2026-06-05 00:48:00,0.99,DIG000043,communication
P00560,COMMUNICATED_WITH,P00278,2026-04-23 10:26:00,0.99,DIG000044,communication
P00560,PRESENT_AT,LOC0133,2026-04-23 10:26:00,0.99,DIG000044,communication
P00278,PRESENT_AT,LOC0133,2026-04-23 10:26:00,0.99,DIG000044,communication
P00150,COMMUNICATED_WITH,P00410,2026-02-03 06:45:00,0.99,DIG000045,communication
P00150,PRESENT_AT,LOC0083,2026-02-03 06:45:00,0.99,DIG000045,communication
P00410,PRESENT_AT,LOC0083,2026-02-03 06:45:00,0.99,DIG000045,communication
P00788,TRANSFERRED_TO,P00510,2026-03-04 14:53:00,0.99,DIG000046,transfer
P00788,PRESENT_AT,LOC0110,2026-03-04 14:53:00,0.99,DIG000046,transfer
P00510,PRESENT_AT,LOC0110,2026-03-04 14:53:00,0.99,DIG000046,transfer
P00040,MET_WITH,P00606,2026-06-28 03:38:00,0.99,DIG000047,meeting
P00040,PRESENT_AT,LOC0046,2026-06-28 03:38:00,0.99,DIG000047,meeting
P00606,PRESENT_AT,LOC0046,2026-06-28 03:38:00,0.99,DIG000047,meeting
P00949,MET_WITH,P00465,2026-02-23 01:37:00,0.99,DIG000048,meeting
P00949,PRESENT_AT,LOC0134,2026-02-23 01:37:00,0.99,DIG000048,meeting
P00465,PRESENT_AT,LOC0134,2026-02-23 01:37:00,0.99,DIG000048,meeting
P00636,COMMUNICATED_WITH,P00472,2026-02-14 14:36:00,0.99,DIG000049,communication
P00636,PRESENT_AT,LOC0044,2026-02-14 14:36:00,0.99,DIG000049,communication
P00472,PRESENT_AT,LOC0044,2026-02-14 14:36:00,0.99,DIG000049,communication
P00074,COMMUNICATED_WITH,P00672,2026-06-17 21:37:00,0.99,DIG000050,communication
P00074,PRESENT_AT,LOC0009,2026-06-17 21:37:00,0.99,DIG000050,communication
P00672,PRESENT_AT,LOC0009,2026-06-17 21:37:00,0.99,DIG000050,communication
P00503,COMMUNICATED_WITH,P00585,2026-08-10 21:02:00,0.99,DIG000051,communication
P00503,PRESENT_AT,LOC0180,2026-08-10 21:02:00,0.99,DIG000051,communication
P00585,PRESENT_AT,LOC0180,2026-08-10 21:02:00,0.99,DIG000051,communication
P00788,COMMUNICATED_WITH,P00824,2026-05-01 06:47:00,0.99,DIG000052,communication
P00788,PRESENT_AT,LOC0046,2026-05-01 06:47:00,0.99,DIG000052,communication
P00824,PRESENT_AT,LOC0046,2026-05-01 06:47:00,0.99,DIG000052,communication
P00890,MET_WITH,P00683,2026-04-16 07:35:00,0.99,DIG000053,meeting
P00890,PRESENT_AT,LOC0135,2026-04-16 07:35:00,0.99,DIG000053,meeting
P00683,PRESENT_AT,LOC0135,2026-04-16 07:35:00,0.99,DIG000053,meeting
P00137,TRANSFERRED_TO,P00997,2026-04-24 09:05:00,0.99,DIG000054,transfer
P00137,PRESENT_AT,LOC0039,2026-04-24 09:05:00,0.99,DIG000054,transfer
P00997,PRESENT_AT,LOC0039,2026-04-24 09:05:00,0.99,DIG000054,transfer
P00785,MET_WITH,P00808,2026-04-13 18:39:00,0.99,DIG000055,meeting
P00785,PRESENT_AT,LOC0007,2026-04-13 18:39:00,0.99,DIG000055,meeting
P00808,PRESENT_AT,LOC0007,2026-04-13 18:39:00,0.99,DIG000055,meeting
P00788,MET_WITH,P00244,2026-08-07 16:04:00,0.99,DIG000056,meeting
P00788,PRESENT_AT,LOC0070,2026-08-07 16:04:00,0.99,DIG000056,meeting
P00244,PRESENT_AT,LOC0070,2026-08-07 16:04:00,0.99,DIG000056,meeting
P00737,MET_WITH,P00048,2026-08-13 08:23:00,0.99,DIG000057,meeting
P00737,PRESENT_AT,LOC0167,2026-08-13 08:23:00,0.99,DIG000057,meeting
P00048,PRESENT_AT,LOC0167,2026-08-13 08:23:00,0.99,DIG000057,meeting
P00073,MET_WITH,P00364,2026-08-30 15:38:00,0.99,DIG000058,meeting
P00073,PRESENT_AT,LOC0011,2026-08-30 15:38:00,0.99,DIG000058,meeting
P00364,PRESENT_AT,LOC0011,2026-08-30 15:38:00,0.99,DIG000058,meeting
P00104,COMMUNICATED_WITH,P00171,2026-07-29 16:52:00,0.99,DIG000059,communication
P00104,PRESENT_AT,LOC0002,2026-07-29 16:52:00,0.99,DIG000059,communication
P00171,PRESENT_AT,LOC0002,2026-07-29 16:52:00,0.99,DIG000059,communication
P00444,COMMUNICATED_WITH,P00523,2026-03-30 12:37:00,0.99,DIG000060,communication
P00444,PRESENT_AT,LOC0131,2026-03-30 12:37:00,0.99,DIG000060,communication
P00523,PRESENT_AT,LOC0131,2026-03-30 12:37:00,0.99,DIG000060,communication
P00262,MET_WITH,P00906,2026-08-23 15:55:00,0.99,DIG000061,meeting
P00262,PRESENT_AT,LOC0135,2026-08-23 15:55:00,0.99,DIG000061,meeting
P00906,PRESENT_AT,LOC0135,2026-08-23 15:55:00,0.99,DIG000061,meeting
P00238,MET_WITH,P00326,2026-01-18 00:47:00,0.99,DIG000062,meeting
P00238,PRESENT_AT,LOC0032,2026-01-18 00:47:00,0.99,DIG000062,meeting
P00326,PRESENT_AT,LOC0032,2026-01-18 00:47:00,0.99,DIG000062,meeting
P00849,MET_WITH,P00567,2026-08-19 12:35:00,0.99,DIG000063,meeting
P00849,PRESENT_AT,LOC0045,2026-08-19 12:35:00,0.99,DIG000063,meeting
P00567,PRESENT_AT,LOC0045,2026-08-19 12:35:00,0.99,DIG000063,meeting
P00401,COMMUNICATED_WITH,P00148,2026-08-26 06:50:00,0.99,DIG000064,communication
P00401,PRESENT_AT,LOC0014,2026-08-26 06:50:00,0.99,DIG000064,communication
P00148,PRESENT_AT,LOC0014,2026-08-26 06:50:00,0.99,DIG000064,communication
P00710,USED_VEHICLE_WITH,P00825,2026-07-26 02:08:00,0.99,DIG000065,vehicle_use
P00710,PRESENT_AT,LOC0092,2026-07-26 02:08:00,0.99,DIG000065,vehicle_use
P00825,PRESENT_AT,LOC0092,2026-07-26 02:08:00,0.99,DIG000065,vehicle_use
P00796,MET_WITH,P00674,2026-03-31 11:08:00,0.99,DIG000066,meeting
P00796,PRESENT_AT,LOC0120,2026-03-31 11:08:00,0.99,DIG000066,meeting
P00674,PRESENT_AT,LOC0120,2026-03-31 11:08:00,0.99,DIG000066,meeting
P00456,MET_WITH,P00949,2026-07-23 11:30:00,0.99,DIG000067,meeting
P00456,PRESENT_AT,LOC0097,2026-07-23 11:30:00,0.99,DIG000067,meeting
P00949,PRESENT_AT,LOC0097,2026-07-23 11:30:00,0.99,DIG000067,meeting
P00479,MOVED_WITH,P00546,2026-03-08 04:46:00,0.99,DIG000068,movement
P00479,PRESENT_AT,LOC0049,2026-03-08 04:46:00,0.99,DIG000068,movement
P00546,PRESENT_AT,LOC0049,2026-03-08 04:46:00,0.99,DIG000068,movement
P00780,COMMUNICATED_WITH,P00387,2026-03-23 09:51:00,0.99,DIG000069,communication
P00780,PRESENT_AT,LOC0178,2026-03-23 09:51:00,0.99,DIG000069,communication
P00387,PRESENT_AT,LOC0178,2026-03-23 09:51:00,0.99,DIG000069,communication
P00725,TRANSFERRED_TO,P00299,2026-01-12 11:19:00,0.99,DIG000070,transfer
P00725,PRESENT_AT,LOC0019,2026-01-12 11:19:00,0.99,DIG000070,transfer
P00299,PRESENT_AT,LOC0019,2026-01-12 11:19:00,0.99,DIG000070,transfer
P00428,MET_WITH,P00413,2026-04-30 10:26:00,0.99,DIG000071,meeting
P00428,PRESENT_AT,LOC0018,2026-04-30 10:26:00,0.99,DIG000071,meeting
P00413,PRESENT_AT,LOC0018,2026-04-30 10:26:00,0.99,DIG000071,meeting
P00706,MOVED_WITH,P00460,2026-01-15 04:50:00,0.99,DIG000072,movement
P00706,PRESENT_AT,LOC0130,2026-01-15 04:50:00,0.99,DIG000072,movement
P00460,PRESENT_AT,LOC0130,2026-01-15 04:50:00,0.99,DIG000072,movement
P00143,MET_WITH,P00723,2026-04-13 23:24:00,0.99,DIG000073,meeting
P00143,PRESENT_AT,LOC0095,2026-04-13 23:24:00,0.99,DIG000073,meeting
P00723,PRESENT_AT,LOC0095,2026-04-13 23:24:00,0.99,DIG000073,meeting
P00650,MET_WITH,P00488,2026-08-03 05:40:00,0.99,DIG000074,meeting
P00650,PRESENT_AT,LOC0122,2026-08-03 05:40:00,0.99,DIG000074,meeting
P00488,PRESENT_AT,LOC0122,2026-08-03 05:40:00,0.99,DIG000074,meeting
P00933,COMMUNICATED_WITH,P00801,2026-07-30 09:11:00,0.99,DIG000075,communication
P00933,PRESENT_AT,LOC0092,2026-07-30 09:11:00,0.99,DIG000075,communication
P00801,PRESENT_AT,LOC0092,2026-07-30 09:11:00,0.99,DIG000075,communication
P00178,COMMUNICATED_WITH,P00055,2026-01-08 10:53:00,0.99,DIG000076,communication
P00178,PRESENT_AT,LOC0011,2026-01-08 10:53:00,0.99,DIG000076,communication
P00055,PRESENT_AT,LOC0011,2026-01-08 10:53:00,0.99,DIG000076,communication
P00875,MOVED_WITH,P00852,2026-01-09 00:20:00,0.99,DIG000077,movement
P00875,PRESENT_AT,LOC0072,2026-01-09 00:20:00,0.99,DIG000077,movement
P00852,PRESENT_AT,LOC0072,2026-01-09 00:20:00,0.99,DIG000077,movement
P00625,COMMUNICATED_WITH,P00225,2026-05-14 23:13:00,0.99,DIG000078,communication
P00625,PRESENT_AT,LOC0060,2026-05-14 23:13:00,0.99,DIG000078,communication
P00225,PRESENT_AT,LOC0060,2026-05-14 23:13:00,0.99,DIG000078,communication
P00541,MOVED_WITH,P00559,2026-05-20 10:34:00,0.99,DIG000079,movement
P00541,PRESENT_AT,LOC0162,2026-05-20 10:34:00,0.99,DIG000079,movement
P00559,PRESENT_AT,LOC0162,2026-05-20 10:34:00,0.99,DIG000079,movement
P00984,COMMUNICATED_WITH,P00986,2026-06-13 22:45:00,0.99,DIG000080,communication
P00984,PRESENT_AT,LOC0016,2026-06-13 22:45:00,0.99,DIG000080,communication
P00986,PRESENT_AT,LOC0016,2026-06-13 22:45:00,0.99,DIG000080,communication
P00802,MET_WITH,P00062,2026-03-16 06:13:00,0.99,DIG000081,meeting
P00802,PRESENT_AT,LOC0170,2026-03-16 06:13:00,0.99,DIG000081,meeting
P00062,PRESENT_AT,LOC0170,2026-03-16 06:13:00,0.99,DIG000081,meeting
P00759,MET_WITH,P00461,2026-07-03 09:35:00,0.99,DIG000082,meeting
P00759,PRESENT_AT,LOC0089,2026-07-03 09:35:00,0.99,DIG000082,meeting
P00461,PRESENT_AT,LOC0089,2026-07-03 09:35:00,0.99,DIG000082,meeting
P00909,COMMUNICATED_WITH,P00813,2026-07-13 22:11:00,0.99,DIG000083,communication
P00909,PRESENT_AT,LOC0142,2026-07-13 22:11:00,0.99,DIG000083,communication
P00813,PRESENT_AT,LOC0142,2026-07-13 22:11:00,0.99,DIG000083,communication
P00218,COMMUNICATED_WITH,P00192,2026-06-10 23:59:00,0.99,DIG000084,communication
P00218,PRESENT_AT,LOC0121,2026-06-10 23:59:00,0.99,DIG000084,communication
P00192,PRESENT_AT,LOC0121,2026-06-10 23:59:00,0.99,DIG000084,communication
P00653,TRANSFERRED_TO,P00547,2026-07-14 00:33:00,0.99,DIG000085,transfer
P00653,PRESENT_AT,LOC0113,2026-07-14 00:33:00,0.99,DIG000085,transfer
P00547,PRESENT_AT,LOC0113,2026-07-14 00:33:00,0.99,DIG000085,transfer
P00645,COMMUNICATED_WITH,P00119,2026-01-03 05:58:00,0.99,DIG000086,communication
P00645,PRESENT_AT,LOC0107,2026-01-03 05:58:00,0.99,DIG000086,communication
P00119,PRESENT_AT,LOC0107,2026-01-03 05:58:00,0.99,DIG000086,communication
P00086,TRANSFERRED_TO,P00223,2026-05-24 00:57:00,0.99,DIG000087,transfer
P00086,PRESENT_AT,LOC0097,2026-05-24 00:57:00,0.99,DIG000087,transfer
P00223,PRESENT_AT,LOC0097,2026-05-24 00:57:00,0.99,DIG000087,transfer
P00757,COMMUNICATED_WITH,P00875,2026-04-05 12:16:00,0.99,DIG000088,communication
P00757,PRESENT_AT,LOC0154,2026-04-05 12:16:00,0.99,DIG000088,communication
P00875,PRESENT_AT,LOC0154,2026-04-05 12:16:00,0.99,DIG000088,communication
P00715,MET_WITH,P00358,2026-03-29 03:40:00,0.99,DIG000089,meeting
P00715,PRESENT_AT,LOC0056,2026-03-29 03:40:00,0.99,DIG000089,meeting
P00358,PRESENT_AT,LOC0056,2026-03-29 03:40:00,0.99,DIG000089,meeting
P00614,MOVED_WITH,P00826,2026-05-10 15:33:00,0.99,DIG000090,movement
P00614,PRESENT_AT,LOC0001,2026-05-10 15:33:00,0.99,DIG000090,movement
P00826,PRESENT_AT,LOC0001,2026-05-10 15:33:00,0.99,DIG000090,movement
P00886,MET_WITH,P00558,2026-05-29 18:10:00,0.99,DIG000091,meeting
P00886,PRESENT_AT,LOC0120,2026-05-29 18:10:00,0.99,DIG000091,meeting
P00558,PRESENT_AT,LOC0120,2026-05-29 18:10:00,0.99,DIG000091,meeting
P00746,TRANSFERRED_TO,P00247,2026-08-19 16:30:00,0.99,DIG000092,transfer
P00746,PRESENT_AT,LOC0116,2026-08-19 16:30:00,0.99,DIG000092,transfer
P00247,PRESENT_AT,LOC0116,2026-08-19 16:30:00,0.99,DIG000092,transfer
P00321,MOVED_WITH,P00668,2026-07-26 10:31:00,0.99,DIG000093,movement
P00321,PRESENT_AT,LOC0143,2026-07-26 10:31:00,0.99,DIG000093,movement
P00668,PRESENT_AT,LOC0143,2026-07-26 10:31:00,0.99,DIG000093,movement
P00231,MET_WITH,P00436,2026-03-31 02:00:00,0.99,DIG000094,meeting
P00231,PRESENT_AT,LOC0083,2026-03-31 02:00:00,0.99,DIG000094,meeting
P00436,PRESENT_AT,LOC0083,2026-03-31 02:00:00,0.99,DIG000094,meeting
P00480,MET_WITH,P00170,2026-01-30 02:19:00,0.99,DIG000095,meeting
P00480,PRESENT_AT,LOC0100,2026-01-30 02:19:00,0.99,DIG000095,meeting
P00170,PRESENT_AT,LOC0100,2026-01-30 02:19:00,0.99,DIG000095,meeting
P00122,MET_WITH,P00465,2026-01-31 04:16:00,0.99,DIG000096,meeting
P00122,PRESENT_AT,LOC0029,2026-01-31 04:16:00,0.99,DIG000096,meeting
P00465,PRESENT_AT,LOC0029,2026-01-31 04:16:00,0.99,DIG000096,meeting
P00266,COMMUNICATED_WITH,P00205,2026-02-11 23:48:00,0.99,DIG000097,communication
P00266,PRESENT_AT,LOC0028,2026-02-11 23:48:00,0.99,DIG000097,communication
P00205,PRESENT_AT,LOC0028,2026-02-11 23:48:00,0.99,DIG000097,communication
P00070,TRANSFERRED_TO,P00606,2026-08-02 09:09:00,0.99,DIG000098,transfer
P00070,PRESENT_AT,LOC0031,2026-08-02 09:09:00,0.99,DIG000098,transfer
P00606,PRESENT_AT,LOC0031,2026-08-02 09:09:00,0.99,DIG000098,transfer
P00101,MOVED_WITH,P00376,2026-06-09 20:23:00,0.99,DIG000099,movement
P00101,PRESENT_AT,LOC0152,2026-06-09 20:23:00,0.99,DIG000099,movement
P00376,PRESENT_AT,LOC0152,2026-06-09 20:23:00,0.99,DIG000099,movement
P00434,TRANSFERRED_TO,P00791,2026-06-27 11:16:00,0.99,DIG000100,transfer
P00434,PRESENT_AT,LOC0087,2026-06-27 11:16:00,0.99,DIG000100,transfer
P00791,PRESENT_AT,LOC0087,2026-06-27 11:16:00,0.99,DIG000100,transfer
P00650,COMMUNICATED_WITH,P00762,2026-03-27 08:41:00,0.99,DIG000101,communication
P00650,PRESENT_AT,LOC0118,2026-03-27 08:41:00,0.99,DIG000101,communication
P00762,PRESENT_AT,LOC0118,2026-03-27 08:41:00,0.99,DIG000101,communication
P00616,TRANSFERRED_TO,P00195,2026-03-20 12:39:00,0.99,DIG000102,transfer
P00616,PRESENT_AT,LOC0033,2026-03-20 12:39:00,0.99,DIG000102,transfer
P00195,PRESENT_AT,LOC0033,2026-03-20 12:39:00,0.99,DIG000102,transfer
P00987,COMMUNICATED_WITH,P00271,2026-05-24 15:52:00,0.99,DIG000103,communication
