head,relation,tail
P00253,ASSOCIATED_WITH,P00154
P00072,ASSOCIATED_WITH,P00561
P00028,ASSOCIATED_WITH,P00389
P00069,ASSOCIATED_WITH,P00610
P00360,ASSOCIATED_WITH,P00245
P00092,ASSOCIATED_WITH,P00435
P00396,ASSOCIATED_WITH,P00313
P00352,ASSOCIATED_WITH,P00261
P00002,ASSOCIATED_WITH,P00341
P00388,ASSOCIATED_WITH,P00269
P00301,ASSOCIATED_WITH,P00925
P00187,ASSOCIATED_WITH,P00959
P00039,ASSOCIATED_WITH,P00181
P00024,ASSOCIATED_WITH,P00472
P00211,ASSOCIATED_WITH,P00824
P00333,ASSOCIATED_WITH,P00566
P00121,ASSOCIATED_WITH,P00989
P00237,ASSOCIATED_WITH,P00487
P00195,ASSOCIATED_WITH,P00415
P00222,ASSOCIATED_WITH,P00768
P00191,ASSOCIATED_WITH,P00927
P00063,ASSOCIATED_WITH,P00716
P00075,ASSOCIATED_WITH,P00906
P00382,ASSOCIATED_WITH,P00767
P00232,ASSOCIATED_WITH,P00640
P00152,ASSOCIATED_WITH,P00027
P00111,ASSOCIATED_WITH,P00149
P00124,ASSOCIATED_WITH,P00915
P00070,ASSOCIATED_WITH,P00991
P00093,ASSOCIATED_WITH,P00714
P00185,ASSOCIATED_WITH,P00930
P00155,ASSOCIATED_WITH,P00287
P00325,ASSOCIATED_WITH,P00864
P00384,ASSOCIATED_WITH,P00759
P00027,ASSOCIATED_WITH,P00778
P00336,ASSOCIATED_WITH,P00013
P00081,ASSOCIATED_WITH,P00163
P00250,ASSOCIATED_WITH,P00587
P00308,ASSOCIATED_WITH,P00444
P00251,ASSOCIATED_WITH,P00188
P00178,ASSOCIATED_WITH,P00906
P00346,ASSOCIATED_WITH,P00070
P00049,ASSOCIATED_WITH,P00498
P00127,ASSOCIATED_WITH,P00570
P00021,ASSOCIATED_WITH,P00005
P00008,ASSOCIATED_WITH,P00560
P00064,ASSOCIATED_WITH,P00191
P00289,ASSOCIATED_WITH,P00895
P00098,ASSOCIATED_WITH,P00399
P00292,ASSOCIATED_WITH,P00165
P00139,ASSOCIATED_WITH,P00122
P00398,ASSOCIATED_WITH,P00923
P00154,ASSOCIATED_WITH,P00125
P00233,ASSOCIATED_WITH,P00670
P00265,ASSOCIATED_WITH,P00581
P00375,ASSOCIATED_WITH,P00591
P00315,ASSOCIATED_WITH,P00803
P00020,ASSOCIATED_WITH,P00904
P00318,ASSOCIATED_WITH,P00969
P00263,ASSOCIATED_WITH,P00219
P00050,ASSOCIATED_WITH,P00851
P00174,ASSOCIATED_WITH,P00768
P00240,ASSOCIATED_WITH,P00526
P00223,ASSOCIATED_WITH,P00131
P00157,ASSOCIATED_WITH,P00740
