vehicle_id,owner_person_id,vehicle_type,registration_token
VEH00143,P00213,truck,REG_00143
VEH00144,P00916,truck,REG_00144
VEH00145,P00803,auto,REG_00145
VEH00146,P00528,van,REG_00146
VEH00147,P00417,van,REG_00147
VEH00148,P00558,auto,REG_00148
VEH00149,P00303,auto,REG_00149
VEH00150,P00957,bike,REG_00150
VEH00151,P00711,bike,REG_00151
VEH00152,P00939,auto,REG_00152
VEH00153,P00213,auto,REG_00153
VEH00154,P00977,truck,REG_00154
VEH00155,P00447,truck,REG_00155
VEH00156,P00402,truck,REG_00156
VEH00157,P00721,truck,REG_00157
VEH00158,P00227,van,REG_00158
VEH00159,P00742,van,REG_00159
VEH00160,P00369,truck,REG_00160
VEH00161,P00730,van,REG_00161
VEH00162,P00630,van,REG_00162
VEH00163,P00666,auto,REG_00163
VEH00164,P00634,truck,REG_00164
VEH00165,P00211,car,REG_00165
VEH00166,P00259,car,REG_00166
VEH00167,P00659,car,REG_00167
VEH00168,P00320,truck,REG_00168
VEH00169,P00269,auto,REG_00169
VEH00170,P00815,car,REG_00170
VEH00171,P00378,truck,REG_00171
VEH00172,P00829,auto,REG_00172
VEH00173,P00156,van,REG_00173
VEH00174,P00338,truck,REG_00174
VEH00175,P00984,bike,REG_00175
VEH00176,P00018,van,REG_00176
VEH00177,P00835,bike,REG_00177
VEH00178,P00945,car,REG_00178
VEH00179,P00235,van,REG_00179
VEH00180,P00278,van,REG_00180
VEH00181,P00739,van,REG_00181
VEH00182,P00006,car,REG_00182
VEH00183,P00839,auto,REG_00183
VEH00184,P00792,auto,REG_00184
VEH00185,P00275,truck,REG_00185
VEH00186,P00515,auto,REG_00186
VEH00187,P00685,truck,REG_00187
VEH00188,P00719,van,REG_00188
VEH00189,P00901,bike,REG_00189
VEH00190,P00971,van,REG_00190
VEH00191,P00089,truck,REG_00191
VEH00192,P00354,truck,REG_00192
VEH00193,P00110,van,REG_00193
VEH00194,P00053,truck,REG_00194
VEH00195,P00416,auto,REG_00195
VEH00196,P00049,bike,REG_00196
VEH00197,P00486,truck,REG_00197
VEH00198,P00300,auto,REG_00198
VEH00199,P00606,bike,REG_00199
VEH00200,P00848,truck,REG_00200
VEH00201,P00138,car,REG_00201
VEH00202,P00456,van,REG_00202
VEH00203,P00716,car,REG_00203
VEH00204,P00412,car,REG_00204
VEH00205,P00524,truck,REG_00205
VEH00206,P00859,bike,REG_00206
VEH00207,P00103,auto,REG_00207
VEH00208,P00993,car,REG_00208
VEH00209,P00723,car,REG_00209
VEH00210,P00807,truck,REG_00210
VEH00211,P00809,bike,REG_00211
VEH00212,P00865,truck,REG_00212
VEH00213,P00808,bike,REG_00213
VEH00214,P00291,car,REG_00214
VEH00215,P00187,bike,REG_00215
VEH00216,P00432,truck,REG_00216
VEH00217,P00988,car,REG_00217
VEH00218,P00171,auto,REG_00218
VEH00219,P00988,van,REG_00219
VEH00220,P00529,car,REG_00220
VEH00221,P00309,truck,REG_00221
VEH00222,P00020,bike,REG_00222
VEH00223,P00823,truck,REG_00223
VEH00224,P00453,car,REG_00224
VEH00225,P00384,auto,REG_00225
VEH00226,P00460,auto,REG_00226
VEH00227,P00598,van,REG_00227
VEH00228,P00613,truck,REG_00228
VEH00229,P00523,van,REG_00229
VEH00230,P00360,van,REG_00230
VEH00231,P00313,bike,REG_00231
VEH00232,P00879,van,REG_00232
VEH00233,P00487,bike,REG_00233
VEH00234,P00553,van,REG_00234
VEH00235,P00742,van,REG_00235
VEH00236,P00225,auto,REG_00236
VEH00237,P00816,van,REG_00237
VEH00238,P00027,truck,REG_00238
VEH00239,P00203,van,REG_00239
VEH00240,P00779,auto,REG_00240
VEH00241,P00945,van,REG_00241
VEH00242,P00563,car,REG_00242
VEH00243,P00609,bike,REG_00243
VEH00244,P00164,bike,REG_00244
VEH00245,P00398,van,REG_00245
VEH00246,P00113,car,REG_00246
VEH00247,P00225,auto,REG_00247
VEH00248,P00298,bike,REG_00248
VEH00249,P00567,van,REG_00249
VEH00250,P00410,bike,REG_00250
VEH00251,P00024,car,REG_00251
VEH00252,P00331,auto,REG_00252
VEH00253,P00925,car,REG_00253
VEH00254,P00522,van,REG_00254
VEH00255,P00572,van,REG_00255
VEH00256,P00250,auto,REG_00256
VEH00257,P00279,car,REG_00257
VEH00258,P00421,car,REG_00258
VEH00259,P00806,car,REG_00259
VEH00260,P00279,auto,REG_00260
VEH00261,P00360,car,REG_00261
VEH00262,P00760,auto,REG_00262
VEH00263,P00085,bike,REG_00263
VEH00264,P00204,bike,REG_00264
VEH00265,P00862,van,REG_00265
VEH00266,P00673,auto,REG_00266
VEH00267,P00181,auto,REG_00267
VEH00268,P00029,car,REG_00268
VEH00269,P00885,bike,REG_00269
VEH00270,P00413,car,REG_00270
VEH00271,P00234,bike,REG_00271
VEH00272,P00152,car,REG_00272
VEH00273,P00674,van,REG_00273
VEH00274,P00443,car,REG_00274
VEH00275,P00812,auto,REG_00275
VEH00276,P00408,truck,REG_00276
VEH00277,P00107,van,REG_00277
VEH00278,P00096,truck,REG_00278
VEH00279,P00636,bike,REG_00279
VEH00280,P00007,car,REG_00280
VEH00281,P00138,bike,REG_00281
VEH00282,P00629,van,REG_00282
VEH00283,P00296,car,REG_00283
VEH00284,P00012,bike,REG_00284
VEH00285,P00881,van,REG_00285
VEH00286,P00868,truck,REG_00286
VEH00287,P00782,bike,REG_00287
VEH00288,P00366,bike,REG_00288
VEH00289,P00789,auto,REG_00289
VEH00290,P00885,car,REG_00290
VEH00291,P00346,auto,REG_00291
VEH00292,P00912,bike,REG_00292
VEH00293,P00741,bike,REG_00293
VEH00294,P00406,van,REG_00294
VEH00295,P00957,van,REG_00295
VEH00296,P00525,auto,REG_00296
VEH00297,P00957,auto,REG_00297
VEH00298,P00489,car,REG_00298
VEH00299,P00551,auto,REG_00299
VEH00300,P00034,truck,REG_00300
VEH00301,P00839,van,REG_00301
VEH00302,P00336,van,REG_00302
VEH00303,P00401,van,REG_00303
VEH00304,P00241,van,REG_00304
VEH00305,P00326,auto,REG_00305
VEH00306,P00489,van,REG_00306
VEH00307,P00250,bike,REG_00307
VEH00308,P00039,bike,REG_00308
VEH00309,P00678,auto,REG_00309
VEH00310,P00970,auto,REG_00310
VEH00311,P00527,truck,REG_00311
VEH00312,P00015,bike,REG_00312
VEH00313,P00002,car,REG_00313
VEH00314,P00258,car,REG_00314
VEH00315,P00174,van,REG_00315
VEH00316,P00815,auto,REG_00316
VEH00317,P00415,bike,REG_00317
VEH00318,P00889,truck,REG_00318
VEH00319,P00764,car,REG_00319
VEH00320,P00077,truck,REG_00320
VEH00321,P00420,truck,REG_00321
VEH00322,P00908,car,REG_00322
VEH00323,P00802,truck,REG_00323
VEH00324,P00651,car,REG_00324
VEH00325,P00531,van,REG_00325
VEH00326,P00582,truck,REG_00326
VEH00327,P00720,van,REG_00327
VEH00328,P00763,car,REG_00328
VEH00329,P00290,car,REG_00329
VEH00330,P00672,bike,REG_00330
VEH00331,P00482,auto,REG_00331
VEH00332,P00066,bike,REG_00332
VEH00333,P00657,truck,REG_00333
VEH00334,P00414,truck,REG_00334
VEH00335,P00533,car,REG_00335
VEH00336,P00805,auto,REG_00336
VEH00337,P00246,car,REG_00337
VEH00338,P00932,auto,REG_00338
VEH00339,P00082,van,REG_00339
VEH00340,P00280,truck,REG_00340
VEH00341,P00084,van,REG_00341
VEH00342,P00582,bike,REG_00342
VEH00343,P00670,auto,REG_00343
VEH00344,P00331,truck,REG_00344
VEH00345,P00363,car,REG_00345
VEH00346,P00306,car,REG_00346
VEH00347,P00580,auto,REG_00347
VEH00348,P00914,auto,REG_00348
VEH00349,P00385,truck,REG_00349
VEH00350,P00665,truck,REG_00350
VEH00351,P00195,truck,REG_00351
VEH00352,P00530,bike,REG_00352
VEH00353,P00964,bike,REG_00353
VEH00354,P00689,auto,REG_00354
VEH00355,P00718,car,REG_00355
VEH00356,P00339,car,REG_00356
VEH00357,P00257,car,REG_00357
VEH00358,P00532,bike,REG_00358
VEH00359,P00011,auto,REG_00359
VEH00360,P00095,car,REG_00360
VEH00361,P00859,car,REG_00361
VEH00362,P00880,auto,REG_00362
VEH00363,P00161,truck,REG_00363
VEH00364,P00504,auto,REG_00364
VEH00365,P00716,car,REG_00365
VEH00366,P00413,car,REG_00366
VEH00367,P00839,bike,REG_00367
VEH00368,P00811,bike,REG_00368
VEH00369,P00616,bike,REG_00369
VEH00370,P00111,bike,REG_00370
VEH00371,P00956,truck,REG_00371
VEH00372,P00125,auto,REG_00372
VEH00373,P00382,car,REG_00373
VEH00374,P00493,van,REG_00374
VEH00375,P00586,truck,REG_00375
VEH00376,P00237,auto,REG_00376
VEH00377,P00943,truck,REG_00377
VEH00378,P00990,car,REG_00378
VEH00379,P00079,car,REG_00379
VEH00380,P00699,bike,REG_00380
VEH00381,P00451,auto,REG_00381
VEH00382,P00511,bike,REG_00382
VEH00383,P00818,truck,REG_00383
VEH00384,P00254,van,REG_00384
VEH00385,P00187,truck,REG_00385
VEH00386,P00378,auto,REG_00386
VEH00387,P00834,van,REG_00387
VEH00388,P00871,bike,REG_00388
VEH00389,P00256,car,REG_00389
VEH00390,P00291,car,REG_00390
VEH00391,P00079,truck,REG_00391
VEH00392,P00745,truck,REG_00392
VEH00393,P00044,van,REG_00393
VEH00394,P00271,car,REG_00394
VEH00395,P00525,bike,REG_00395
VEH00396,P00039,van,REG_00396
VEH00397,P00740,van,REG_00397
VEH00398,P00532,auto,REG_00398
VEH00399,P00908,truck,REG_00399
VEH00400,P00880,car,REG_00400
