device_id,device_type,device_token,primary_phone_id
DEV00050,Laptop,DEVICE_00050,PH00764
DEV00051,Android,DEVICE_00051,PH00377
DEV00052,iOS,DEVICE_00052,PH01021
DEV00053,Android,DEVICE_00053,PH00180
DEV00054,iOS,DEVICE_00054,PH00621
DEV00055,iOS,DEVICE_00055,PH00388
DEV00056,iOS,DEVICE_00056,PH00331
DEV00057,Android,DEVICE_00057,PH01074
DEV00058,iOS,DEVICE_00058,PH00234
DEV00059,Tablet,DEVICE_00059,PH00359
DEV00060,Tablet,DEVICE_00060,PH00565
DEV00061,Tablet,DEVICE_00061,PH01125
DEV00062,Android,DEVICE_00062,PH00779
DEV00063,Tablet,DEVICE_00063,PH00628
DEV00064,Android,DEVICE_00064,PH01097
DEV00065,Android,DEVICE_00065,PH00198
DEV00066,Android,DEVICE_00066,PH00319
DEV00067,Android,DEVICE_00067,PH00953
DEV00068,Tablet,DEVICE_00068,PH00018
DEV00069,Tablet,DEVICE_00069,PH00880
DEV00070,Laptop,DEVICE_00070,PH00727
DEV00071,Laptop,DEVICE_00071,PH01037
DEV00072,Android,DEVICE_00072,PH00785
DEV00073,Android,DEVICE_00073,PH00247
DEV00074,Laptop,DEVICE_00074,PH00672
DEV00075,Tablet,DEVICE_00075,PH00246
DEV00076,Android,DEVICE_00076,PH00530
DEV00077,Android,DEVICE_00077,PH01039
DEV00078,Laptop,DEVICE_00078,PH01118
DEV00079,Tablet,DEVICE_00079,PH00356
DEV00080,Tablet,DEVICE_00080,PH01070
DEV00081,Android,DEVICE_00081,PH00793
DEV00082,Tablet,DEVICE_00082,PH00709
DEV00083,Laptop,DEVICE_00083,PH00475
DEV00084,Laptop,DEVICE_00084,PH00781
DEV00085,Laptop,DEVICE_00085,PH00998
DEV00086,Tablet,DEVICE_00086,PH00834
DEV00087,Tablet,DEVICE_00087,PH00240
DEV00088,iOS,DEVICE_00088,PH00220
DEV00089,Android,DEVICE_00089,PH00083
DEV00090,Tablet,DEVICE_00090,PH00070
DEV00091,Tablet,DEVICE_00091,PH00037
DEV00092,Tablet,DEVICE_00092,PH01074
DEV00093,Tablet,DEVICE_00093,PH00254
DEV00094,Tablet,DEVICE_00094,PH00920
DEV00095,Tablet,DEVICE_00095,PH01046
DEV00096,iOS,DEVICE_00096,PH00175
DEV00097,Laptop,DEVICE_00097,PH00636
DEV00098,Laptop,DEVICE_00098,PH01118
DEV00099,Laptop,DEVICE_00099,PH00991
DEV00100,Android,DEVICE_00100,PH01093
DEV00101,iOS,DEVICE_00101,PH00205
DEV00102,Laptop,DEVICE_00102,PH00104
DEV00103,iOS,DEVICE_00103,PH00333
DEV00104,Tablet,DEVICE_00104,PH00606
DEV00105,Tablet,DEVICE_00105,PH00593
DEV00106,Laptop,DEVICE_00106,PH00750
DEV00107,Laptop,DEVICE_00107,PH00875
DEV00108,iOS,DEVICE_00108,PH00001
DEV00109,Laptop,DEVICE_00109,PH00290
DEV00110,Tablet,DEVICE_00110,PH00419
DEV00111,Laptop,DEVICE_00111,PH00259
DEV00112,Tablet,DEVICE_00112,PH00948
DEV00113,Android,DEVICE_00113,PH00863
DEV00114,Laptop,DEVICE_00114,PH01028
DEV00115,Tablet,DEVICE_00115,PH00317
DEV00116,Tablet,DEVICE_00116,PH01186
DEV00117,iOS,DEVICE_00117,PH00752
DEV00118,Tablet,DEVICE_00118,PH00377
DEV00119,Tablet,DEVICE_00119,PH00331
DEV00120,Tablet,DEVICE_00120,PH00643
DEV00121,Tablet,DEVICE_00121,PH00769
DEV00122,Tablet,DEVICE_00122,PH00860
DEV00123,Laptop,DEVICE_00123,PH01181
DEV00124,iOS,DEVICE_00124,PH01076
DEV00125,Tablet,DEVICE_00125,PH01147
DEV00126,Tablet,DEVICE_00126,PH00472
DEV00127,Android,DEVICE_00127,PH00744
DEV00128,Tablet,DEVICE_00128,PH00491
DEV00129,Android,DEVICE_00129,PH00260
DEV00130,Tablet,DEVICE_00130,PH00598
DEV00131,Laptop,DEVICE_00131,PH00205
DEV00132,iOS,DEVICE_00132,PH01025
DEV00133,Tablet,DEVICE_00133,PH00787
DEV00134,Laptop,DEVICE_00134,PH00473
DEV00135,Android,DEVICE_00135,PH00067
DEV00136,Android,DEVICE_00136,PH01002
DEV00137,Tablet,DEVICE_00137,PH00248
DEV00138,Android,DEVICE_00138,PH00012
DEV00139,iOS,DEVICE_00139,PH00077
DEV00140,Tablet,DEVICE_00140,PH01083
DEV00141,Android,DEVICE_00141,PH00047
DEV00142,Tablet,DEVICE_00142,PH00520
DEV00143,Tablet,DEVICE_00143,PH01063
DEV00144,Tablet,DEVICE_00144,PH00237
DEV00145,Tablet,DEVICE_00145,PH00397
DEV00146,Tablet,DEVICE_00146,PH00951
DEV00147,Android,DEVICE_00147,PH00532
DEV00148,Laptop,DEVICE_00148,PH00627
DEV00149,Laptop,DEVICE_00149,PH00628
DEV00150,Tablet,DEVICE_00150,PH00438
DEV00151,Laptop,DEVICE_00151,PH00619
DEV00152,Tablet,DEVICE_00152,PH00149
DEV00153,Android,DEVICE_00153,PH00581
DEV00154,iOS,DEVICE_00154,PH01055
DEV00155,iOS,DEVICE_00155,PH00183
DEV00156,Tablet,DEVICE_00156,PH00387
DEV00157,Android,DEVICE_00157,PH00079
DEV00158,Android,DEVICE_00158,PH00892
DEV00159,Tablet,DEVICE_00159,PH00508
DEV00160,iOS,DEVICE_00160,PH00423
DEV00161,Android,DEVICE_00161,PH01151
DEV00162,iOS,DEVICE_00162,PH00497
DEV00163,Laptop,DEVICE_00163,PH01109
DEV00164,Android,DEVICE_00164,PH00386
DEV00165,iOS,DEVICE_00165,PH00061
DEV00166,Tablet,DEVICE_00166,PH00891
DEV00167,Tablet,DEVICE_00167,PH00041
DEV00168,Laptop,DEVICE_00168,PH00305
DEV00169,Laptop,DEVICE_00169,PH01143
DEV00170,Tablet,DEVICE_00170,PH00104
DEV00171,iOS,DEVICE_00171,PH00895
DEV00172,Tablet,DEVICE_00172,PH00918
DEV00173,Tablet,DEVICE_00173,PH00150
DEV00174,Android,DEVICE_00174,PH01088
DEV00175,Android,DEVICE_00175,PH00287
DEV00176,Tablet,DEVICE_00176,PH00209
DEV00177,Tablet,DEVICE_00177,PH00268
DEV00178,Android,DEVICE_00178,PH00495
DEV00179,Laptop,DEVICE_00179,PH00232
DEV00180,iOS,DEVICE_00180,PH00786
DEV00181,Android,DEVICE_00181,PH00586
DEV00182,Laptop,DEVICE_00182,PH00065
DEV00183,iOS,DEVICE_00183,PH00661
DEV00184,Tablet,DEVICE_00184,PH00150
DEV00185,Android,DEVICE_00185,PH00274
DEV00186,iOS,DEVICE_00186,PH00804
DEV00187,Laptop,DEVICE_00187,PH00174
DEV00188,iOS,DEVICE_00188,PH00290
DEV00189,Tablet,DEVICE_00189,PH01006
DEV00190,iOS,DEVICE_00190,PH00352
DEV00191,iOS,DEVICE_00191,PH00424
DEV00192,iOS,DEVICE_00192,PH01015
DEV00193,Laptop,DEVICE_00193,PH00196
DEV00194,Laptop,DEVICE_00194,PH00592
DEV00195,Android,DEVICE_00195,PH00914
DEV00196,Android,DEVICE_00196,PH00416
DEV00197,Android,DEVICE_00197,PH00576
DEV00198,Tablet,DEVICE_00198,PH00437
DEV00199,Laptop,DEVICE_00199,PH00232
DEV00200,Laptop,DEVICE_00200,PH01091
DEV00201,Laptop,DEVICE_00201,PH00036
DEV00202,Android,DEVICE_00202,PH00631
DEV00203,Laptop,DEVICE_00203,PH00382
DEV00204,Tablet,DEVICE_00204,PH01186
DEV00205,Android,DEVICE_00205,PH00752
DEV00206,Laptop,DEVICE_00206,PH00079
DEV00207,iOS,DEVICE_00207,PH00983
DEV00208,Android,DEVICE_00208,PH00218
DEV00209,Tablet,DEVICE_00209,PH00443
DEV00210,Tablet,DEVICE_00210,PH01111
DEV00211,iOS,DEVICE_00211,PH00697
DEV00212,Tablet,DEVICE_00212,PH00774
DEV00213,Tablet,DEVICE_00213,PH00116
DEV00214,Android,DEVICE_00214,PH00093
DEV00215,Android,DEVICE_00215,PH00175
DEV00216,Tablet,DEVICE_00216,PH00397
DEV00217,iOS,DEVICE_00217,PH00598
DEV00218,iOS,DEVICE_00218,PH00094
DEV00219,iOS,DEVICE_00219,PH00346
DEV00220,iOS,DEVICE_00220,PH00602
DEV00221,Android,DEVICE_00221,PH00861
DEV00222,Laptop,DEVICE_00222,PH00427
DEV00223,iOS,DEVICE_00223,PH00394
DEV00224,iOS,DEVICE_00224,PH00491
DEV00225,iOS,DEVICE_00225,PH00570
DEV00226,Laptop,DEVICE_00226,PH00962
DEV00227,iOS,DEVICE_00227,PH00710
DEV00228,iOS,DEVICE_00228,PH00985
DEV00229,Laptop,DEVICE_00229,PH01007
DEV00230,Laptop,DEVICE_00230,PH01051
DEV00231,iOS,DEVICE_00231,PH00802
DEV00232,Android,DEVICE_00232,PH00852
DEV00233,Android,DEVICE_00233,PH00307
DEV00234,Tablet,DEVICE_00234,PH01120
DEV00235,Laptop,DEVICE_00235,PH00652
DEV00236,iOS,DEVICE_00236,PH00465
DEV00237,Laptop,DEVICE_00237,PH00197
DEV00238,Laptop,DEVICE_00238,PH00609
DEV00239,Laptop,DEVICE_00239,PH00512
DEV00240,Tablet,DEVICE_00240,PH00727
DEV00241,Laptop,DEVICE_00241,PH00147
DEV00242,Android,DEVICE_00242,PH00462
DEV00243,Laptop,DEVICE_00243,PH00617
DEV00244,iOS,DEVICE_00244,PH00430
DEV00245,Android,DEVICE_00245,PH00754
DEV00246,Android,DEVICE_00246,PH01044
DEV00247,Laptop,DEVICE_00247,PH01093
DEV00248,Laptop,DEVICE_00248,PH00658
DEV00249,Laptop,DEVICE_00249,PH00868
DEV00250,Android,DEVICE_00250,PH00486
DEV00251,iOS,DEVICE_00251,PH01047
DEV00252,Android,DEVICE_00252,PH00531
DEV00253,Tablet,DEVICE_00253,PH00455
DEV00254,Android,DEVICE_00254,PH00196
DEV00255,Android,DEVICE_00255,PH01079
DEV00256,Android,DEVICE_00256,PH00231
DEV00257,Android,DEVICE_00257,PH01007
DEV00258,Laptop,DEVICE_00258,PH00733
DEV00259,Laptop,DEVICE_00259,PH00750
DEV00260,iOS,DEVICE_00260,PH00230
DEV00261,iOS,DEVICE_00261,PH00363
DEV00262,Tablet,DEVICE_00262,PH00200
DEV00263,Tablet,DEVICE_00263,PH00011
DEV00264,Laptop,DEVICE_00264,PH00064
DEV00265,Android,DEVICE_00265,PH00265
DEV00266,Tablet,DEVICE_00266,PH00635
DEV00267,iOS,DEVICE_00267,PH00012
DEV00268,iOS,DEVICE_00268,PH00015
DEV00269,Android,DEVICE_00269,PH00067
DEV00270,Tablet,DEVICE_00270,PH00871
DEV00271,Tablet,DEVICE_00271,PH00660
DEV00272,Android,DEVICE_00272,PH00968
DEV00273,Laptop,DEVICE_00273,PH00559
DEV00274,Android,DEVICE_00274,PH00508
DEV00275,Tablet,DEVICE_00275,PH00089
DEV00276,Android,DEVICE_00276,PH00486
DEV00277,iOS,DEVICE_00277,PH00251
DEV00278,Android,DEVICE_00278,PH00632
DEV00279,Android,DEVICE_00279,PH00749
DEV00280,iOS,DEVICE_00280,PH00168
DEV00281,Laptop,DEVICE_00281,PH00201
DEV00282,Android,DEVICE_00282,PH00244
DEV00283,Android,DEVICE_00283,PH00387
DEV00284,Tablet,DEVICE_00284,PH01090
DEV00285,Android,DEVICE_00285,PH00711
DEV00286,Android,DEVICE_00286,PH00106
DEV00287,iOS,DEVICE_00287,PH00673
DEV00288,Android,DEVICE_00288,PH00080
DEV00289,iOS,DEVICE_00289,PH00577
DEV00290,Laptop,DEVICE_00290,PH00374
DEV00291,iOS,DEVICE_00291,PH00591
DEV00292,iOS,DEVICE_00292,PH01167
DEV00293,Tablet,DEVICE_00293,PH01132
DEV00294,Laptop,DEVICE_00294,PH00734
DEV00295,Laptop,DEVICE_00295,PH00285
DEV00296,Laptop,DEVICE_00296,PH00381
DEV00297,Android,DEVICE_00297,PH00956
DEV00298,Android,DEVICE_00298,PH00193
DEV00299,Android,DEVICE_00299,PH00634
DEV00300,Android,DEVICE_00300,PH01154
DEV00301,iOS,DEVICE_00301,PH00584
DEV00302,Android,DEVICE_00302,PH00121
DEV00303,iOS,DEVICE_00303,PH01099
DEV00304,Laptop,DEVICE_00304,PH00932
DEV00305,Tablet,DEVICE_00305,PH00878
DEV00306,Tablet,DEVICE_00306,PH00748
DEV00307,Tablet,DEVICE_00307,PH00917
DEV00308,Laptop,DEVICE_00308,PH00504
DEV00309,Laptop,DEVICE_00309,PH00446
DEV00310,Laptop,DEVICE_00310,PH00642
DEV00311,Android,DEVICE_00311,PH00014
DEV00312,Laptop,DEVICE_00312,PH01190
DEV00313,Tablet,DEVICE_00313,PH00782
DEV00314,iOS,DEVICE_00314,PH00793
DEV00315,Android,DEVICE_00315,PH00561
DEV00316,Laptop,DEVICE_00316,PH01197
DEV00317,Laptop,DEVICE_00317,PH01195
DEV00318,iOS,DEVICE_00318,PH00104
DEV00319,Android,DEVICE_00319,PH00733
DEV00320,Android,DEVICE_00320,PH01171
DEV00321,Laptop,DEVICE_00321,PH00439
DEV00322,Tablet,DEVICE_00322,PH01178
DEV00323,Laptop,DEVICE_00323,PH00140
DEV00324,Tablet,DEVICE_00324,PH01025
DEV00325,Android,DEVICE_00325,PH00952
DEV00326,iOS,DEVICE_00326,PH01200
DEV00327,Tablet,DEVICE_00327,PH00119
DEV00328,iOS,DEVICE_00328,PH01072
DEV00329,iOS,DEVICE_00329,PH00667
DEV00330,iOS,DEVICE_00330,PH01051
DEV00331,Laptop,DEVICE_00331,PH00345
DEV00332,iOS,DEVICE_00332,PH00097
DEV00333,iOS,DEVICE_00333,PH00811
DEV00334,Tablet,DEVICE_00334,PH00712
DEV00335,iOS,DEVICE_00335,PH00582
DEV00336,Android,DEVICE_00336,PH00695
DEV00337,iOS,DEVICE_00337,PH01103
DEV00338,Android,DEVICE_00338,PH00109
DEV00339,Laptop,DEVICE_00339,PH01160
DEV00340,Android,DEVICE_00340,PH01040
DEV00341,Laptop,DEVICE_00341,PH00969
DEV00342,iOS,DEVICE_00342,PH00426
DEV00343,Tablet,DEVICE_00343,PH00849
DEV00344,iOS,DEVICE_00344,PH00771
DEV00345,Tablet,DEVICE_00345,PH00595
DEV00346,Android,DEVICE_00346,PH00624
DEV00347,iOS,DEVICE_00347,PH00800
DEV00348,Android,DEVICE_00348,PH00861
DEV00349,iOS,DEVICE_00349,PH00554
DEV00350,Android,DEVICE_00350,PH00734
DEV00351,Tablet,DEVICE_00351,PH01141
DEV00352,Laptop,DEVICE_00352,PH01168
DEV00353,iOS,DEVICE_00353,PH00452
DEV00354,Android,DEVICE_00354,PH01171
DEV00355,Android,DEVICE_00355,PH01120
DEV00356,Android,DEVICE_00356,PH00352
DEV00357,iOS,DEVICE_00357,PH00703
DEV00358,Laptop,DEVICE_00358,PH00109
DEV00359,Android,DEVICE_00359,PH00889
DEV00360,Laptop,DEVICE_00360,PH01111
DEV00361,Android,DEVICE_00361,PH00860
DEV00362,Laptop,DEVICE_00362,PH00425
DEV00363,Laptop,DEVICE_00363,PH00503
DEV00364,Laptop,DEVICE_00364,PH00492
DEV00365,Android,DEVICE_00365,PH00413
DEV00366,Android,DEVICE_00366,PH00047
DEV00367,Tablet,DEVICE_00367,PH00909
DEV00368,Laptop,DEVICE_00368,PH00546
DEV00369,Tablet,DEVICE_00369,PH00206
DEV00370,iOS,DEVICE_00370,PH00905
DEV00371,Tablet,DEVICE_00371,PH00251
DEV00372,iOS,DEVICE_00372,PH00098
DEV00373,iOS,DEVICE_00373,PH00797
DEV00374,Tablet,DEVICE_00374,PH00965
DEV00375,Tablet,DEVICE_00375,PH00105
DEV00376,Laptop,DEVICE_00376,PH00248
DEV00377,Android,DEVICE_00377,PH00421
DEV00378,Android,DEVICE_00378,PH00423
DEV00379,Laptop,DEVICE_00379,PH00676
DEV00380,Android,DEVICE_00380,PH00209
DEV00381,Android,DEVICE_00381,PH00567
DEV00382,Android,DEVICE_00382,PH00370
DEV00383,iOS,DEVICE_00383,PH00675
DEV00384,iOS,DEVICE_00384,PH00449
DEV00385,Laptop,DEVICE_00385,PH00942
DEV00386,Laptop,DEVICE_00386,PH00403
DEV00387,iOS,DEVICE_00387,PH01026
DEV00388,Laptop,DEVICE_00388,PH00528
DEV00389,Laptop,DEVICE_00389,PH00412
DEV00390,iOS,DEVICE_00390,PH00335
DEV00391,Laptop,DEVICE_00391,PH00206
DEV00392,Android,DEVICE_00392,PH00659
DEV00393,iOS,DEVICE_00393,PH00888
DEV00394,Laptop,DEVICE_00394,PH00777
DEV00395,Android,DEVICE_00395,PH00129
DEV00396,Laptop,DEVICE_00396,PH00324
DEV00397,Android,DEVICE_00397,PH00091
DEV00398,iOS,DEVICE_00398,PH00708
DEV00399,iOS,DEVICE_00399,PH00724
DEV00400,Laptop,DEVICE_00400,PH00421
DEV00401,iOS,DEVICE_00401,PH00015
DEV00402,Android,DEVICE_00402,PH00690
DEV00403,Android,DEVICE_00403,PH00544
DEV00404,Laptop,DEVICE_00404,PH00109
DEV00405,iOS,DEVICE_00405,PH00831
DEV00406,Android,DEVICE_00406,PH00510
DEV00407,Android,DEVICE_00407,PH00986
DEV00408,Tablet,DEVICE_00408,PH00797
DEV00409,Android,DEVICE_00409,PH00560
DEV00410,iOS,DEVICE_00410,PH00999
DEV00411,Laptop,DEVICE_00411,PH00909
DEV00412,iOS,DEVICE_00412,PH00919
DEV00413,Tablet,DEVICE_00413,PH00309
DEV00414,Android,DEVICE_00414,PH00676
DEV00415,Tablet,DEVICE_00415,PH00353
DEV00416,Android,DEVICE_00416,PH00157
DEV00417,Tablet,DEVICE_00417,PH00353
DEV00418,Tablet,DEVICE_00418,PH00741
DEV00419,Laptop,DEVICE_00419,PH00126
DEV00420,Laptop,DEVICE_00420,PH00071
DEV00421,Android,DEVICE_00421,PH00872
DEV00422,Laptop,DEVICE_00422,PH00528
DEV00423,iOS,DEVICE_00423,PH00281
DEV00424,Laptop,DEVICE_00424,PH00180
DEV00425,Android,DEVICE_00425,PH01046
DEV00426,Tablet,DEVICE_00426,PH01079
DEV00427,Android,DEVICE_00427,PH00267
DEV00428,Android,DEVICE_00428,PH00129
DEV00429,iOS,DEVICE_00429,PH00051
DEV00430,Laptop,DEVICE_00430,PH00124
DEV00431,Laptop,DEVICE_00431,PH00198
DEV00432,Android,DEVICE_00432,PH01043
DEV00433,Laptop,DEVICE_00433,PH00215
DEV00434,Tablet,DEVICE_00434,PH00403
DEV00435,Android,DEVICE_00435,PH00224
DEV00436,Laptop,DEVICE_00436,PH00374
DEV00437,Laptop,DEVICE_00437,PH00869
DEV00438,Android,DEVICE_00438,PH00675
DEV00439,Laptop,DEVICE_00439,PH00918
DEV00440,Android,DEVICE_00440,PH00882
DEV00441,Android,DEVICE_00441,PH00080
DEV00442,iOS,DEVICE_00442,PH00362
DEV00443,iOS,DEVICE_00443,PH00795
DEV00444,Tablet,DEVICE_00444,PH00726
DEV00445,Android,DEVICE_00445,PH00786
DEV00446,Laptop,DEVICE_00446,PH00190
DEV00447,Tablet,DEVICE_00447,PH00718
DEV00448,Tablet,DEVICE_00448,PH00628
DEV00449,Laptop,DEVICE_00449,PH00584
DEV00450,Android,DEVICE_00450,PH00939
DEV00451,Android,DEVICE_00451,PH00981
DEV00452,Tablet,DEVICE_00452,PH00333
DEV00453,Android,DEVICE_00453,PH01127
DEV00454,Android,DEVICE_00454,PH00839
DEV00455,Tablet,DEVICE_00455,PH00138
DEV00456,Laptop,DEVICE_00456,PH00216
DEV00457,iOS,DEVICE_00457,PH01058
DEV00458,Laptop,DEVICE_00458,PH00878
DEV00459,Tablet,DEVICE_00459,PH00678
DEV00460,Android,DEVICE_00460,PH00872
DEV00461,iOS,DEVICE_00461,PH00907
DEV00462,Laptop,DEVICE_00462,PH00868
DEV00463,iOS,DEVICE_00463,PH00923
DEV00464,Android,DEVICE_00464,PH00643
DEV00465,iOS,DEVICE_00465,PH00093
DEV00466,Android,DEVICE_00466,PH00091
DEV00467,Laptop,DEVICE_00467,PH00765
DEV00468,Laptop,DEVICE_00468,PH00643
DEV00469,iOS,DEVICE_00469,PH01108
DEV00470,Laptop,DEVICE_00470,PH00214
DEV00471,iOS,DEVICE_00471,PH00914
DEV00472,iOS,DEVICE_00472,PH00782
DEV00473,Android,DEVICE_00473,PH00430
DEV00474,Laptop,DEVICE_00474,PH00356
DEV00475,iOS,DEVICE_00475,PH00545
DEV00476,Laptop,DEVICE_00476,PH00517
DEV00477,Laptop,DEVICE_00477,PH00007
DEV00478,Tablet,DEVICE_00478,PH00722
DEV00479,iOS,DEVICE_00479,PH00051
DEV00480,Laptop,DEVICE_00480,PH01035
DEV00481,iOS,DEVICE_00481,PH00386
DEV00482,iOS,DEVICE_00482,PH00181
DEV00483,Laptop,DEVICE_00483,PH00605
DEV00484,Android,DEVICE_00484,PH00046
DEV00485,iOS,DEVICE_00485,PH00561
DEV00486,iOS,DEVICE_00486,PH00064
DEV00487,iOS,DEVICE_00487,PH00701
DEV00488,Laptop,DEVICE_00488,PH00317
DEV00489,iOS,DEVICE_00489,PH00591
DEV00490,iOS,DEVICE_00490,PH00304
DEV00491,Laptop,DEVICE_00491,PH00998
DEV00492,iOS,DEVICE_00492,PH00317
DEV00493,Tablet,DEVICE_00493,PH00401
DEV00494,iOS,DEVICE_00494,PH00086
DEV00495,Android,DEVICE_00495,PH01147
DEV00496,Tablet,DEVICE_00496,PH00092
DEV00497,Tablet,DEVICE_00497,PH00949
DEV00498,Tablet,DEVICE_00498,PH01143
DEV00499,Android,DEVICE_00499,PH00679
DEV00500,iOS,DEVICE_00500,PH00964
DEV00501,iOS,DEVICE_00501,PH00972
DEV00502,Tablet,DEVICE_00502,PH01175
DEV00503,Tablet,DEVICE_00503,PH00343
DEV00504,Tablet,DEVICE_00504,PH00747
DEV00505,iOS,DEVICE_00505,PH01129
DEV00506,Tablet,DEVICE_00506,PH00573
DEV00507,Android,DEVICE_00507,PH00529
DEV00508,iOS,DEVICE_00508,PH01003
DEV00509,Tablet,DEVICE_00509,PH00212
DEV00510,iOS,DEVICE_00510,PH00352
DEV00511,Laptop,DEVICE_00511,PH00092
DEV00512,iOS,DEVICE_00512,PH01123
DEV00513,Tablet,DEVICE_00513,PH00928
DEV00514,Android,DEVICE_00514,PH00415
DEV00515,Laptop,DEVICE_00515,PH00106
DEV00516,Android,DEVICE_00516,PH00412
DEV00517,Android,DEVICE_00517,PH00817
DEV00518,Android,DEVICE_00518,PH01112
DEV00519,Android,DEVICE_00519,PH00996
DEV00520,Android,DEVICE_00520,PH00176
DEV00521,Tablet,DEVICE_00521,PH00625
DEV00522,iOS,DEVICE_00522,PH00107
DEV00523,Laptop,DEVICE_00523,PH00757
DEV00524,Android,DEVICE_00524,PH00889
DEV00525,Android,DEVICE_00525,PH01192
DEV00526,Android,DEVICE_00526,PH00868
DEV00527,Laptop,DEVICE_00527,PH01047
DEV00528,Laptop,DEVICE_00528,PH00860
DEV00529,Android,DEVICE_00529,PH00068
DEV00530,Laptop,DEVICE_00530,PH01122
DEV00531,Tablet,DEVICE_00531,PH01098
DEV00532,iOS,DEVICE_00532,PH00165
DEV00533,iOS,DEVICE_00533,PH00359
DEV00534,iOS,DEVICE_00534,PH00804
DEV00535,iOS,DEVICE_00535,PH00336
DEV00536,Tablet,DEVICE_00536,PH00224
DEV00537,Laptop,DEVICE_00537,PH00692
DEV00538,Tablet,DEVICE_00538,PH00260
DEV00539,Android,DEVICE_00539,PH00246
DEV00540,Tablet,DEVICE_00540,PH00813
DEV00541,Tablet,DEVICE_00541,PH00732
DEV00542,Android,DEVICE_00542,PH00688
DEV00543,Tablet,DEVICE_00543,PH00059
DEV00544,iOS,DEVICE_00544,PH01095
DEV00545,Android,DEVICE_00545,PH01143
DEV00546,iOS,DEVICE_00546,PH00423
DEV00547,Tablet,DEVICE_00547,PH00074
DEV00548,iOS,DEVICE_00548,PH01014
DEV00549,Laptop,DEVICE_00549,PH00020
DEV00550,Tablet,DEVICE_00550,PH01106
DEV00551,Laptop,DEVICE_00551,PH00675
DEV00552,Laptop,DEVICE_00552,PH00779
DEV00553,Tablet,DEVICE_00553,PH00551
DEV00554,iOS,DEVICE_00554,PH00871
DEV00555,Tablet,DEVICE_00555,PH01185
DEV00556,Laptop,DEVICE_00556,PH00575
DEV00557,Laptop,DEVICE_00557,PH00773
DEV00558,Android,DEVICE_00558,PH00356
DEV00559,Android,DEVICE_00559,PH01001
DEV00560,Android,DEVICE_00560,PH00461
DEV00561,Android,DEVICE_00561,PH01049
DEV00562,iOS,DEVICE_00562,PH01188
DEV00563,iOS,DEVICE_00563,PH00916
DEV00564,Android,DEVICE_00564,PH01079
DEV00565,Tablet,DEVICE_00565,PH00537
DEV00566,Tablet,DEVICE_00566,PH01195
DEV00567,Tablet,DEVICE_00567,PH01080
DEV00568,Laptop,DEVICE_00568,PH00296
DEV00569,Android,DEVICE_00569,PH00121
DEV00570,Laptop,DEVICE_00570,PH00233
DEV00571,Laptop,DEVICE_00571,PH01115
DEV00572,Android,DEVICE_00572,PH00471
DEV00573,Laptop,DEVICE_00573,PH00105
DEV00574,Laptop,DEVICE_00574,PH01046
DEV00575,Laptop,DEVICE_00575,PH00738
