head,relation,tail,source_id,timestamp,confidence
P00192,USES_PHONE,PH00127,phones,,1.0
P00189,USES_PHONE,PH00128,phones,,1.0
P00215,USES_PHONE,PH00129,phones,,1.0
P00181,USES_PHONE,PH00130,phones,,1.0
P00199,USES_PHONE,PH00131,phones,,1.0
P00679,USES_PHONE,PH00132,phones,,1.0
P00300,USES_PHONE,PH00133,phones,,1.0
P00333,USES_PHONE,PH00134,phones,,1.0
P00852,USES_PHONE,PH00135,phones,,1.0
P00859,USES_PHONE,PH00136,phones,,1.0
P00182,USES_PHONE,PH00137,phones,,1.0
P00982,USES_PHONE,PH00138,phones,,1.0
P00433,USES_PHONE,PH00139,phones,,1.0
P00799,USES_PHONE,PH00140,phones,,1.0
P00347,USES_PHONE,PH00141,phones,,1.0
P00135,USES_PHONE,PH00142,phones,,1.0
P00328,USES_PHONE,PH00143,phones,,1.0
P00414,USES_PHONE,PH00144,phones,,1.0
P00944,USES_PHONE,PH00145,phones,,1.0
P00534,USES_PHONE,PH00146,phones,,1.0
P00394,USES_PHONE,PH00147,phones,,1.0
P00070,USES_PHONE,PH00148,phones,,1.0
P00392,USES_PHONE,PH00149,phones,,1.0
P00264,USES_PHONE,PH00150,phones,,1.0
P00334,USES_PHONE,PH00151,phones,,1.0
P00524,USES_PHONE,PH00152,phones,,1.0
P00059,USES_PHONE,PH00153,phones,,1.0
P00392,USES_PHONE,PH00154,phones,,1.0
P00675,USES_PHONE,PH00155,phones,,1.0
P00895,USES_PHONE,PH00156,phones,,1.0
P00091,USES_PHONE,PH00157,phones,,1.0
P00404,USES_PHONE,PH00158,phones,,1.0
P00549,USES_PHONE,PH00159,phones,,1.0
P00037,USES_PHONE,PH00160,phones,,1.0
P00476,USES_PHONE,PH00161,phones,,1.0
P00956,USES_PHONE,PH00162,phones,,1.0
P00998,USES_PHONE,PH00163,phones,,1.0
P00963,USES_PHONE,PH00164,phones,,1.0
P00809,USES_PHONE,PH00165,phones,,1.0
P00586,USES_PHONE,PH00166,phones,,1.0
P00163,USES_PHONE,PH00167,phones,,1.0
P00160,USES_PHONE,PH00168,phones,,1.0
P00970,USES_PHONE,PH00169,phones,,1.0
P00892,USES_PHONE,PH00170,phones,,1.0
P00609,USES_PHONE,PH00171,phones,,1.0
P00472,USES_PHONE,PH00172,phones,,1.0
P00531,USES_PHONE,PH00173,phones,,1.0
P00454,USES_PHONE,PH00174,phones,,1.0
P00293,USES_PHONE,PH00175,phones,,1.0
P00519,USES_PHONE,PH00176,phones,,1.0
P00260,USES_PHONE,PH00177,phones,,1.0
P00610,USES_PHONE,PH00178,phones,,1.0
P00748,USES_PHONE,PH00179,phones,,1.0
P00618,USES_PHONE,PH00180,phones,,1.0
P00092,USES_PHONE,PH00181,phones,,1.0
P00686,USES_PHONE,PH00182,phones,,1.0
P00595,USES_PHONE,PH00183,phones,,1.0
P00810,USES_PHONE,PH00184,phones,,1.0
P00411,USES_PHONE,PH00185,phones,,1.0
P00967,USES_PHONE,PH00186,phones,,1.0
P00096,USES_PHONE,PH00187,phones,,1.0
P00235,USES_PHONE,PH00188,phones,,1.0
P00928,USES_PHONE,PH00189,phones,,1.0
P00785,USES_PHONE,PH00190,phones,,1.0
P00130,USES_PHONE,PH00191,phones,,1.0
P00190,USES_PHONE,PH00192,phones,,1.0
P00765,USES_PHONE,PH00193,phones,,1.0
P00550,USES_PHONE,PH00194,phones,,1.0
P00572,USES_PHONE,PH00195,phones,,1.0
P00350,USES_PHONE,PH00196,phones,,1.0
P00136,USES_PHONE,PH00197,phones,,1.0
P00810,USES_PHONE,PH00198,phones,,1.0
P00079,USES_PHONE,PH00199,phones,,1.0
P00149,USES_PHONE,PH00200,phones,,1.0
P00354,USES_PHONE,PH00201,phones,,1.0
P00624,USES_PHONE,PH00202,phones,,1.0
P00073,USES_PHONE,PH00203,phones,,1.0
P00004,USES_PHONE,PH00204,phones,,1.0
P00074,USES_PHONE,PH00205,phones,,1.0
P00072,USES_PHONE,PH00206,phones,,1.0
P00085,USES_PHONE,PH00207,phones,,1.0
P00307,USES_PHONE,PH00208,phones,,1.0
P00543,USES_PHONE,PH00209,phones,,1.0
P00292,USES_PHONE,PH00210,phones,,1.0
P00280,USES_PHONE,PH00211,phones,,1.0
P00276,USES_PHONE,PH00212,phones,,1.0
P00166,USES_PHONE,PH00213,phones,,1.0
P00466,USES_PHONE,PH00214,phones,,1.0
P00710,USES_PHONE,PH00215,phones,,1.0
P00143,USES_PHONE,PH00216,phones,,1.0
P00999,USES_PHONE,PH00217,phones,,1.0
P00544,USES_PHONE,PH00218,phones,,1.0
P00976,USES_PHONE,PH00219,phones,,1.0
P00110,USES_PHONE,PH00220,phones,,1.0
P00746,USES_PHONE,PH00221,phones,,1.0
P00999,USES_PHONE,PH00222,phones,,1.0
P00897,USES_PHONE,PH00223,phones,,1.0
P00455,USES_PHONE,PH00224,phones,,1.0
P00452,USES_PHONE,PH00225,phones,,1.0
P00805,USES_PHONE,PH00226,phones,,1.0
P00952,USES_PHONE,PH00227,phones,,1.0
P00766,USES_PHONE,PH00228,phones,,1.0
P00709,USES_PHONE,PH00229,phones,,1.0
P00936,USES_PHONE,PH00230,phones,,1.0
P00937,USES_PHONE,PH00231,phones,,1.0
P00305,USES_PHONE,PH00232,phones,,1.0
P00382,USES_PHONE,PH00233,phones,,1.0
P00165,USES_PHONE,PH00234,phones,,1.0
P00083,USES_PHONE,PH00235,phones,,1.0
P00064,USES_PHONE,PH00236,phones,,1.0
P00767,USES_PHONE,PH00237,phones,,1.0
P00632,USES_PHONE,PH00238,phones,,1.0
P00415,USES_PHONE,PH00239,phones,,1.0
P00006,USES_PHONE,PH00240,phones,,1.0
P00808,USES_PHONE,PH00241,phones,,1.0
P00581,USES_PHONE,PH00242,phones,,1.0
P00921,USES_PHONE,PH00243,phones,,1.0
P00650,USES_PHONE,PH00244,phones,,1.0
P00419,USES_PHONE,PH00245,phones,,1.0
P00995,USES_PHONE,PH00246,phones,,1.0
P00330,USES_PHONE,PH00247,phones,,1.0
P00068,USES_PHONE,PH00248,phones,,1.0
P00955,USES_PHONE,PH00249,phones,,1.0
P00561,USES_PHONE,PH00250,phones,,1.0
P00974,USES_PHONE,PH00251,phones,,1.0
P00660,USES_PHONE,PH00252,phones,,1.0
P00573,USES_PHONE,PH00253,phones,,1.0
P00220,USES_PHONE,PH00254,phones,,1.0
P00058,USES_PHONE,PH00255,phones,,1.0
P00613,USES_PHONE,PH00256,phones,,1.0
P00140,USES_PHONE,PH00257,phones,,1.0
P00154,USES_PHONE,PH00258,phones,,1.0
P00196,USES_PHONE,PH00259,phones,,1.0
P00409,USES_PHONE,PH00260,phones,,1.0
P00193,USES_PHONE,PH00261,phones,,1.0
P00922,USES_PHONE,PH00262,phones,,1.0
P00744,USES_PHONE,PH00263,phones,,1.0
P00684,USES_PHONE,PH00264,phones,,1.0
P00112,USES_PHONE,PH00265,phones,,1.0
P00345,USES_PHONE,PH00266,phones,,1.0
P00764,USES_PHONE,PH00267,phones,,1.0
P00161,USES_PHONE,PH00268,phones,,1.0
P00708,USES_PHONE,PH00269,phones,,1.0
P00964,USES_PHONE,PH00270,phones,,1.0
P00254,USES_PHONE,PH00271,phones,,1.0
P00877,USES_PHONE,PH00272,phones,,1.0
P00593,USES_PHONE,PH00273,phones,,1.0
P00734,USES_PHONE,PH00274,phones,,1.0
P00153,USES_PHONE,PH00275,phones,,1.0
P00273,USES_PHONE,PH00276,phones,,1.0
P00413,USES_PHONE,PH00277,phones,,1.0
P00728,USES_PHONE,PH00278,phones,,1.0
P00079,USES_PHONE,PH00279,phones,,1.0
P00638,USES_PHONE,PH00280,phones,,1.0
P00289,USES_PHONE,PH00281,phones,,1.0
P00543,USES_PHONE,PH00282,phones,,1.0
P00783,USES_PHONE,PH00283,phones,,1.0
P00547,USES_PHONE,PH00284,phones,,1.0
P00012,USES_PHONE,PH00285,phones,,1.0
P00972,USES_PHONE,PH00286,phones,,1.0
P00696,USES_PHONE,PH00287,phones,,1.0
P00010,USES_PHONE,PH00288,phones,,1.0
P00018,USES_PHONE,PH00289,phones,,1.0
P00069,USES_PHONE,PH00290,phones,,1.0
P00460,USES_PHONE,PH00291,phones,,1.0
P00047,USES_PHONE,PH00292,phones,,1.0
P00522,USES_PHONE,PH00293,phones,,1.0
P00617,USES_PHONE,PH00294,phones,,1.0
P00861,USES_PHONE,PH00295,phones,,1.0
P00099,USES_PHONE,PH00296,phones,,1.0
P00577,USES_PHONE,PH00297,phones,,1.0
P00768,USES_PHONE,PH00298,phones,,1.0
P00270,USES_PHONE,PH00299,phones,,1.0
P00373,USES_PHONE,PH00300,phones,,1.0
P00100,USES_PHONE,PH00301,phones,,1.0
P00608,USES_PHONE,PH00302,phones,,1.0
P00993,USES_PHONE,PH00303,phones,,1.0
P00157,USES_PHONE,PH00304,phones,,1.0
P00817,USES_PHONE,PH00305,phones,,1.0
P00305,USES_PHONE,PH00306,phones,,1.0
P00173,USES_PHONE,PH00307,phones,,1.0
P00598,USES_PHONE,PH00308,phones,,1.0
P00148,USES_PHONE,PH00309,phones,,1.0
P00671,USES_PHONE,PH00310,phones,,1.0
P00342,USES_PHONE,PH00311,phones,,1.0
P00210,USES_PHONE,PH00312,phones,,1.0
P00759,USES_PHONE,PH00313,phones,,1.0
P00318,USES_PHONE,PH00314,phones,,1.0
P00903,USES_PHONE,PH00315,phones,,1.0
P00582,USES_PHONE,PH00316,phones,,1.0
P00564,USES_PHONE,PH00317,phones,,1.0
P00512,USES_PHONE,PH00318,phones,,1.0
P00581,USES_PHONE,PH00319,phones,,1.0
P00184,USES_PHONE,PH00320,phones,,1.0
P00773,USES_PHONE,PH00321,phones,,1.0
P00997,USES_PHONE,PH00322,phones,,1.0
P00713,USES_PHONE,PH00323,phones,,1.0
P00226,USES_PHONE,PH00324,phones,,1.0
P00990,USES_PHONE,PH00325,phones,,1.0
P00146,USES_PHONE,PH00326,phones,,1.0
P00893,USES_PHONE,PH00327,phones,,1.0
P00685,USES_PHONE,PH00328,phones,,1.0
P00739,USES_PHONE,PH00329,phones,,1.0
P00533,USES_PHONE,PH00330,phones,,1.0
P00462,USES_PHONE,PH00331,phones,,1.0
P00464,USES_PHONE,PH00332,phones,,1.0
P00701,USES_PHONE,PH00333,phones,,1.0
P00156,USES_PHONE,PH00334,phones,,1.0
P00186,USES_PHONE,PH00335,phones,,1.0
P00412,USES_PHONE,PH00336,phones,,1.0
P00847,USES_PHONE,PH00337,phones,,1.0
P00029,USES_PHONE,PH00338,phones,,1.0
P00738,USES_PHONE,PH00339,phones,,1.0
P00939,USES_PHONE,PH00340,phones,,1.0
P00326,USES_PHONE,PH00341,phones,,1.0
P00676,USES_PHONE,PH00342,phones,,1.0
P00695,USES_PHONE,PH00343,phones,,1.0
P00727,USES_PHONE,PH00344,phones,,1.0
P00885,USES_PHONE,PH00345,phones,,1.0
P00996,USES_PHONE,PH00346,phones,,1.0
P00809,USES_PHONE,PH00347,phones,,1.0
P00574,USES_PHONE,PH00348,phones,,1.0
P00375,USES_PHONE,PH00349,phones,,1.0
P00672,USES_PHONE,PH00350,phones,,1.0
P00947,USES_PHONE,PH00351,phones,,1.0
P00722,USES_PHONE,PH00352,phones,,1.0
P00335,USES_PHONE,PH00353,phones,,1.0
P00786,USES_PHONE,PH00354,phones,,1.0
P00677,USES_PHONE,PH00355,phones,,1.0
P00009,USES_PHONE,PH00356,phones,,1.0
P00726,USES_PHONE,PH00357,phones,,1.0
P00915,USES_PHONE,PH00358,phones,,1.0
P00849,USES_PHONE,PH00359,phones,,1.0
P00527,USES_PHONE,PH00360,phones,,1.0
P00457,USES_PHONE,PH00361,phones,,1.0
P00417,USES_PHONE,PH00362,phones,,1.0
P00627,USES_PHONE,PH00363,phones,,1.0
P00676,USES_PHONE,PH00364,phones,,1.0
P00587,USES_PHONE,PH00365,phones,,1.0
P00865,USES_PHONE,PH00366,phones,,1.0
P00330,USES_PHONE,PH00367,phones,,1.0
P00440,USES_PHONE,PH00368,phones,,1.0
P00321,USES_PHONE,PH00369,phones,,1.0
P00389,USES_PHONE,PH00370,phones,,1.0
P00257,USES_PHONE,PH00371,phones,,1.0
P00356,USES_PHONE,PH00372,phones,,1.0
P00742,USES_PHONE,PH00373,phones,,1.0
P00992,USES_PHONE,PH00374,phones,,1.0
P00031,USES_PHONE,PH00375,phones,,1.0
P00555,USES_PHONE,PH00376,phones,,1.0
P00126,USES_PHONE,PH00377,phones,,1.0
P00813,USES_PHONE,PH00378,phones,,1.0
P00772,USES_PHONE,PH00379,phones,,1.0
P00089,USES_PHONE,PH00380,phones,,1.0
P00758,USES_PHONE,PH00381,phones,,1.0
P00920,USES_PHONE,PH00382,phones,,1.0
P00871,USES_PHONE,PH00383,phones,,1.0
P00229,USES_PHONE,PH00384,phones,,1.0
P00401,USES_PHONE,PH00385,phones,,1.0
P00363,USES_PHONE,PH00386,phones,,1.0
P00303,USES_PHONE,PH00387,phones,,1.0
P00801,USES_PHONE,PH00388,phones,,1.0
P00678,USES_PHONE,PH00389,phones,,1.0
P00430,USES_PHONE,PH00390,phones,,1.0
P00795,USES_PHONE,PH00391,phones,,1.0
P00147,USES_PHONE,PH00392,phones,,1.0
P00051,USES_PHONE,PH00393,phones,,1.0
P00802,USES_PHONE,PH00394,phones,,1.0
P00706,USES_PHONE,PH00395,phones,,1.0
P00269,USES_PHONE,PH00396,phones,,1.0
P00651,USES_PHONE,PH00397,phones,,1.0
P00657,USES_PHONE,PH00398,phones,,1.0
P00577,USES_PHONE,PH00399,phones,,1.0
P00507,USES_PHONE,PH00400,phones,,1.0
P00883,USES_PHONE,PH00401,phones,,1.0
P00429,USES_PHONE,PH00402,phones,,1.0
P00119,USES_PHONE,PH00403,phones,,1.0
P00256,USES_PHONE,PH00404,phones,,1.0
P00513,USES_PHONE,PH00405,phones,,1.0
P00272,USES_PHONE,PH00406,phones,,1.0
P00295,USES_PHONE,PH00407,phones,,1.0
P00934,USES_PHONE,PH00408,phones,,1.0
P00246,USES_PHONE,PH00409,phones,,1.0
P00443,USES_PHONE,PH00410,phones,,1.0
P00212,USES_PHONE,PH00411,phones,,1.0
P00189,USES_PHONE,PH00412,phones,,1.0
P00766,USES_PHONE,PH00413,phones,,1.0
P00797,USES_PHONE,PH00414,phones,,1.0
P00094,USES_PHONE,PH00415,phones,,1.0
P00105,USES_PHONE,PH00416,phones,,1.0
P00523,USES_PHONE,PH00417,phones,,1.0
P00371,USES_PHONE,PH00418,phones,,1.0
P00793,USES_PHONE,PH00419,phones,,1.0
P00853,USES_PHONE,PH00420,phones,,1.0
P00953,USES_PHONE,PH00421,phones,,1.0
P00025,USES_PHONE,PH00422,phones,,1.0
P00492,USES_PHONE,PH00423,phones,,1.0
P00655,USES_PHONE,PH00424,phones,,1.0
P00520,USES_PHONE,PH00425,phones,,1.0
P00331,USES_PHONE,PH00426,phones,,1.0
P00456,USES_PHONE,PH00427,phones,,1.0
P00289,USES_PHONE,PH00428,phones,,1.0
P00496,USES_PHONE,PH00429,phones,,1.0
P00049,USES_PHONE,PH00430,phones,,1.0
P00771,USES_PHONE,PH00431,phones,,1.0
P00304,USES_PHONE,PH00432,phones,,1.0
P00873,USES_PHONE,PH00433,phones,,1.0
P00346,USES_PHONE,PH00434,phones,,1.0
P00896,USES_PHONE,PH00435,phones,,1.0
P00756,USES_PHONE,PH00436,phones,,1.0
P00653,USES_PHONE,PH00437,phones,,1.0
P00562,USES_PHONE,PH00438,phones,,1.0
P00822,USES_PHONE,PH00439,phones,,1.0
P00284,USES_PHONE,PH00440,phones,,1.0
P00057,USES_PHONE,PH00441,phones,,1.0
P00776,USES_PHONE,PH00442,phones,,1.0
P00875,USES_PHONE,PH00443,phones,,1.0
P00659,USES_PHONE,PH00444,phones,,1.0
P00484,USES_PHONE,PH00445,phones,,1.0
P00288,USES_PHONE,PH00446,phones,,1.0
P00835,USES_PHONE,PH00447,phones,,1.0
P00408,USES_PHONE,PH00448,phones,,1.0
P00559,USES_PHONE,PH00449,phones,,1.0
P00174,USES_PHONE,PH00450,phones,,1.0
P00217,USES_PHONE,PH00451,phones,,1.0
P00881,USES_PHONE,PH00452,phones,,1.0
P00731,USES_PHONE,PH00453,phones,,1.0
P00074,USES_PHONE,PH00454,phones,,1.0
P00976,USES_PHONE,PH00455,phones,,1.0
P00977,USES_PHONE,PH00456,phones,,1.0
P00416,USES_PHONE,PH00457,phones,,1.0
P00642,USES_PHONE,PH00458,phones,,1.0
P00426,USES_PHONE,PH00459,phones,,1.0
P00410,USES_PHONE,PH00460,phones,,1.0
P00024,USES_PHONE,PH00461,phones,,1.0
P00234,USES_PHONE,PH00462,phones,,1.0
P00927,USES_PHONE,PH00463,phones,,1.0
P00612,USES_PHONE,PH00464,phones,,1.0
P00879,USES_PHONE,PH00465,phones,,1.0
P00518,USES_PHONE,PH00466,phones,,1.0
P00528,USES_PHONE,PH00467,phones,,1.0
P00770,USES_PHONE,PH00468,phones,,1.0
P00814,USES_PHONE,PH00469,phones,,1.0
P00940,USES_PHONE,PH00470,phones,,1.0
P00491,USES_PHONE,PH00471,phones,,1.0
P00951,USES_PHONE,PH00472,phones,,1.0
P00001,USES_PHONE,PH00473,phones,,1.0
P00022,USES_PHONE,PH00474,phones,,1.0
P00560,USES_PHONE,PH00475,phones,,1.0
P00689,USES_PHONE,PH00476,phones,,1.0
P00139,USES_PHONE,PH00477,phones,,1.0
P00401,USES_PHONE,PH00478,phones,,1.0
P00446,USES_PHONE,PH00479,phones,,1.0
P00626,USES_PHONE,PH00480,phones,,1.0
P00873,USES_PHONE,PH00481,phones,,1.0
P00195,USES_PHONE,PH00482,phones,,1.0
P00925,USES_PHONE,PH00483,phones,,1.0
P00715,USES_PHONE,PH00484,phones,,1.0
P00434,USES_PHONE,PH00485,phones,,1.0
P00818,USES_PHONE,PH00486,phones,,1.0
P00942,USES_PHONE,PH00487,phones,,1.0
P00774,USES_PHONE,PH00488,phones,,1.0
P00975,USES_PHONE,PH00489,phones,,1.0
P00537,USES_PHONE,PH00490,phones,,1.0
P00503,USES_PHONE,PH00491,phones,,1.0
P00511,USES_PHONE,PH00492,phones,,1.0
P00175,USES_PHONE,PH00493,phones,,1.0
P00214,USES_PHONE,PH00494,phones,,1.0
P00790,USES_PHONE,PH00495,phones,,1.0
P00750,USES_PHONE,PH00496,phones,,1.0
P00468,USES_PHONE,PH00497,phones,,1.0
P00568,USES_PHONE,PH00498,phones,,1.0
P00902,USES_PHONE,PH00499,phones,,1.0
P00197,USES_PHONE,PH00500,phones,,1.0
P00688,USES_PHONE,PH00501,phones,,1.0
P00545,USES_PHONE,PH00502,phones,,1.0
P00490,USES_PHONE,PH00503,phones,,1.0
P00526,USES_PHONE,PH00504,phones,,1.0
P00140,USES_PHONE,PH00505,phones,,1.0
P00314,USES_PHONE,PH00506,phones,,1.0
P00987,USES_PHONE,PH00507,phones,,1.0
P00782,USES_PHONE,PH00508,phones,,1.0
P00427,USES_PHONE,PH00509,phones,,1.0
P00431,USES_PHONE,PH00510,phones,,1.0
P00329,USES_PHONE,PH00511,phones,,1.0
P00958,USES_PHONE,PH00512,phones,,1.0
P00547,USES_PHONE,PH00513,phones,,1.0
P00763,USES_PHONE,PH00514,phones,,1.0
P00863,USES_PHONE,PH00515,phones,,1.0
P00670,USES_PHONE,PH00516,phones,,1.0
P00167,USES_PHONE,PH00517,phones,,1.0
P00636,USES_PHONE,PH00518,phones,,1.0
P00099,USES_PHONE,PH00519,phones,,1.0
P00474,USES_PHONE,PH00520,phones,,1.0
P00271,USES_PHONE,PH00521,phones,,1.0
P00132,USES_PHONE,PH00522,phones,,1.0
P00479,USES_PHONE,PH00523,phones,,1.0
P00704,USES_PHONE,PH00524,phones,,1.0
P00594,USES_PHONE,PH00525,phones,,1.0
P00649,USES_PHONE,PH00526,phones,,1.0
P00194,USES_PHONE,PH00527,phones,,1.0
P00108,USES_PHONE,PH00528,phones,,1.0
P00576,USES_PHONE,PH00529,phones,,1.0
P00445,USES_PHONE,PH00530,phones,,1.0
P00827,USES_PHONE,PH00531,phones,,1.0
P00274,USES_PHONE,PH00532,phones,,1.0
P00973,USES_PHONE,PH00533,phones,,1.0
P00572,USES_PHONE,PH00534,phones,,1.0
P00579,USES_PHONE,PH00535,phones,,1.0
P00762,USES_PHONE,PH00536,phones,,1.0
P00424,USES_PHONE,PH00537,phones,,1.0
P00307,USES_PHONE,PH00538,phones,,1.0
P00241,USES_PHONE,PH00539,phones,,1.0
P00111,USES_PHONE,PH00540,phones,,1.0
P00690,USES_PHONE,PH00541,phones,,1.0
P00495,USES_PHONE,PH00542,phones,,1.0
P00525,USES_PHONE,PH00543,phones,,1.0
P00842,USES_PHONE,PH00544,phones,,1.0
P00053,USES_PHONE,PH00545,phones,,1.0
P00129,USES_PHONE,PH00546,phones,,1.0
P00448,USES_PHONE,PH00547,phones,,1.0
P00752,USES_PHONE,PH00548,phones,,1.0
P00336,USES_PHONE,PH00549,phones,,1.0
P00873,USES_PHONE,PH00550,phones,,1.0
P00064,USES_PHONE,PH00551,phones,,1.0
P00055,USES_PHONE,PH00552,phones,,1.0
P00640,USES_PHONE,PH00553,phones,,1.0
P00647,USES_PHONE,PH00554,phones,,1.0
P00420,USES_PHONE,PH00555,phones,,1.0
P00209,USES_PHONE,PH00556,phones,,1.0
P00962,USES_PHONE,PH00557,phones,,1.0
P00778,USES_PHONE,PH00558,phones,,1.0
