location_id,location_name,city,latitude,longitude,location_type
LOC0079,Zone_0079,Nagpur,23.171962,73.660977,residential
LOC0080,Zone_0080,Indore,20.145551,73.748234,transport
LOC0081,Zone_0081,Gwalior,22.779853,77.195576,transport
LOC0082,Zone_0082,Nagpur,23.138175,74.963952,transport
LOC0083,Zone_0083,Ujjain,20.984478,75.277025,transport
LOC0084,Zone_0084,Gwalior,27.128808,79.956898,transport
LOC0085,Zone_0085,Gwalior,20.8106,73.868874,office
LOC0086,Zone_0086,Gwalior,24.244933,76.590196,residential
LOC0087,Zone_0087,Ujjain,24.132416,79.543464,warehouse
LOC0088,Zone_0088,Indore,21.943732,76.553654,commercial
LOC0089,Zone_0089,Jabalpur,26.314208,73.239693,warehouse
LOC0090,Zone_0090,Gwalior,26.958283,78.79998,public
LOC0091,Zone_0091,Jabalpur,21.495192,78.360657,warehouse
LOC0092,Zone_0092,Ujjain,26.450145,78.331864,warehouse
LOC0093,Zone_0093,Jabalpur,22.087889,76.70366,office
LOC0094,Zone_0094,Gwalior,20.474501,79.196237,transport
LOC0095,Zone_0095,Indore,22.394758,73.693563,transport
LOC0096,Zone_0096,Indore,23.651979,76.424362,warehouse
LOC0097,Zone_0097,Ujjain,21.91683,79.355698,commercial
LOC0098,Zone_0098,Nagpur,24.911401,79.84394,transport
LOC0099,Zone_0099,Bhopal,24.434801,78.243756,commercial
LOC0100,Zone_0100,Jabalpur,23.06811,79.35389,transport
LOC0101,Zone_0101,Jabalpur,21.906915,79.558765,transport
LOC0102,Zone_0102,Ujjain,24.574495,73.804118,residential
LOC0103,Zone_0103,Indore,24.914537,73.625995,warehouse
LOC0104,Zone_0104,Bhopal,25.051971,78.798396,commercial
LOC0105,Zone_0105,Bhopal,23.639018,78.135359,public
LOC0106,Zone_0106,Ujjain,25.859436,74.396124,commercial
LOC0107,Zone_0107,Indore,20.494926,79.393825,transport
LOC0108,Zone_0108,Bhopal,22.598221,77.418339,office
LOC0109,Zone_0109,Bhopal,27.346828,75.426943,warehouse
LOC0110,Zone_0110,Indore,24.258453,79.994742,residential
LOC0111,Zone_0111,Jabalpur,23.151868,79.970552,office
LOC0112,Zone_0112,Ujjain,26.216566,75.47614,residential
LOC0113,Zone_0113,Indore,20.047533,74.079705,transport
LOC0114,Zone_0114,Bhopal,23.151875,77.645487,public
LOC0115,Zone_0115,Jabalpur,21.283202,79.077323,commercial
LOC0116,Zone_0116,Bhopal,22.508452,77.483745,residential
LOC0117,Zone_0117,Gwalior,25.20517,73.624964,transport
LOC0118,Zone_0118,Ujjain,24.149938,73.405051,transport
LOC0119,Zone_0119,Indore,24.856703,73.592329,warehouse
LOC0120,Zone_0120,Ujjain,22.428872,75.49784,office
LOC0121,Zone_0121,Nagpur,27.510408,77.724291,residential
LOC0122,Zone_0122,Nagpur,27.618742,77.611674,public
LOC0123,Zone_0123,Ujjain,21.832668,76.194612,transport
LOC0124,Zone_0124,Bhopal,21.556492,74.698955,warehouse
LOC0125,Zone_0125,Indore,20.878145,76.262741,public
LOC0126,Zone_0126,Nagpur,27.703889,75.775237,commercial
LOC0127,Zone_0127,Bhopal,27.582988,77.938361,residential
LOC0128,Zone_0128,Bhopal,21.078902,75.296855,public
LOC0129,Zone_0129,Nagpur,27.159609,78.571255,residential
LOC0130,Zone_0130,Gwalior,20.314959,74.783882,warehouse
LOC0131,Zone_0131,Gwalior,25.725427,74.681364,office
LOC0132,Zone_0132,Indore,21.362456,78.029157,residential
LOC0133,Zone_0133,Indore,20.070273,77.051852,commercial
LOC0134,Zone_0134,Indore,20.848577,77.979907,commercial
LOC0135,Zone_0135,Nagpur,22.230613,74.41566,transport
LOC0136,Zone_0136,Jabalpur,25.294503,79.523548,public
LOC0137,Zone_0137,Nagpur,22.305424,78.784175,transport
LOC0138,Zone_0138,Bhopal,24.627476,79.964306,public
LOC0139,Zone_0139,Jabalpur,26.263375,76.447392,office
LOC0140,Zone_0140,Jabalpur,26.820192,79.817254,residential
LOC0141,Zone_0141,Jabalpur,21.038352,79.508063,public
LOC0142,Zone_0142,Jabalpur,24.576515,73.184398,public
LOC0143,Zone_0143,Nagpur,22.379655,73.058707,residential
LOC0144,Zone_0144,Nagpur,26.567706,78.222147,public
LOC0145,Zone_0145,Jabalpur,21.160776,77.082802,residential
LOC0146,Zone_0146,Bhopal,20.646141,74.518255,residential
LOC0147,Zone_0147,Ujjain,27.741044,78.263118,commercial
LOC0148,Zone_0148,Indore,27.202865,79.875197,public
LOC0149,Zone_0149,Ujjain,27.318866,76.090457,office
LOC0150,Zone_0150,Ujjain,23.655333,76.338688,commercial
LOC0151,Zone_0151,Indore,20.794196,73.972893,transport
LOC0152,Zone_0152,Nagpur,22.156152,78.245566,residential
LOC0153,Zone_0153,Jabalpur,26.354899,75.41549,commercial
LOC0154,Zone_0154,Ujjain,23.944942,75.075265,office
LOC0155,Zone_0155,Nagpur,27.811194,77.586442,transport
LOC0156,Zone_0156,Bhopal,26.972265,76.59323,warehouse
LOC0157,Zone_0157,Nagpur,27.019241,77.636635,transport
LOC0158,Zone_0158,Jabalpur,23.262499,74.498674,transport
LOC0159,Zone_0159,Nagpur,24.149148,74.343951,residential
LOC0160,Zone_0160,Ujjain,26.725848,78.345653,public
LOC0161,Zone_0161,Jabalpur,25.695727,74.605632,warehouse
LOC0162,Zone_0162,Nagpur,22.883187,74.119409,public
LOC0163,Zone_0163,Nagpur,27.312755,79.537365,warehouse
LOC0164,Zone_0164,Bhopal,20.688386,73.576738,commercial
LOC0165,Zone_0165,Gwalior,25.585932,78.684784,transport
LOC0166,Zone_0166,Bhopal,26.237946,77.546496,residential
LOC0167,Zone_0167,Nagpur,22.291061,76.057545,warehouse
LOC0168,Zone_0168,Nagpur,23.273684,78.732882,residential
LOC0169,Zone_0169,Nagpur,24.8865,77.72648,warehouse
LOC0170,Zone_0170,Ujjain,21.63671,79.982062,office
LOC0171,Zone_0171,Bhopal,25.86992,78.84378,warehouse
LOC0172,Zone_0172,Gwalior,20.339189,77.483478,commercial
LOC0173,Zone_0173,Jabalpur,22.538131,79.829452,warehouse
LOC0174,Zone_0174,Gwalior,27.473888,78.914539,commercial
LOC0175,Zone_0175,Jabalpur,26.715211,77.311835,public
LOC0176,Zone_0176,Gwalior,23.186864,79.876824,commercial
LOC0177,Zone_0177,Gwalior,20.605252,76.125506,warehouse
LOC0178,Zone_0178,Gwalior,27.817472,73.386084,public
LOC0179,Zone_0179,Gwalior,25.004757,78.660209,warehouse
LOC0180,Zone_0180,Indore,26.48006,78.65881,office
