account_id,owner_person_id,account_type,institution
ACC00075,P00852,current,BANK_B
ACC00076,P00658,wallet,BANK_C
ACC00077,P00482,savings,BANK_D
ACC00078,P00940,wallet,BANK_D
ACC00079,P00571,savings,BANK_A
ACC00080,P00267,savings,BANK_D
ACC00081,P00176,savings,BANK_D
ACC00082,P00276,wallet,BANK_D
ACC00083,P00637,current,BANK_D
ACC00084,P00834,wallet,BANK_C
ACC00085,P00517,savings,BANK_A
ACC00086,P00745,wallet,BANK_C
ACC00087,P00335,savings,BANK_B
ACC00088,P00436,wallet,BANK_C
ACC00089,P00862,wallet,BANK_D
ACC00090,P00429,savings,BANK_D
ACC00091,P00598,current,BANK_B
ACC00092,P00843,savings,BANK_C
ACC00093,P00357,wallet,BANK_D
ACC00094,P00947,savings,BANK_B
ACC00095,P00115,current,BANK_A
ACC00096,P00702,wallet,BANK_B
ACC00097,P00099,wallet,BANK_C
ACC00098,P00329,wallet,BANK_A
ACC00099,P00707,wallet,BANK_B
ACC00100,P00736,savings,BANK_B
ACC00101,P00977,wallet,BANK_B
ACC00102,P00061,savings,BANK_C
ACC00103,P00228,savings,BANK_A
ACC00104,P00648,current,BANK_D
ACC00105,P00816,wallet,BANK_C
ACC00106,P00284,current,BANK_A
ACC00107,P00338,current,BANK_C
ACC00108,P00348,wallet,BANK_A
ACC00109,P00310,savings,BANK_A
ACC00110,P00008,wallet,BANK_D
ACC00111,P00553,wallet,BANK_C
ACC00112,P00483,wallet,BANK_A
ACC00113,P00155,current,BANK_B
ACC00114,P00883,savings,BANK_D
ACC00115,P00459,current,BANK_C
ACC00116,P00626,savings,BANK_D
ACC00117,P00725,wallet,BANK_D
ACC00118,P00066,wallet,BANK_C
ACC00119,P00465,wallet,BANK_D
ACC00120,P00418,savings,BANK_C
ACC00121,P00855,wallet,BANK_C
ACC00122,P00092,savings,BANK_C
ACC00123,P00442,current,BANK_A
ACC00124,P00256,savings,BANK_D
ACC00125,P00897,current,BANK_D
ACC00126,P00766,current,BANK_C
ACC00127,P00595,current,BANK_D
ACC00128,P00207,wallet,BANK_C
ACC00129,P00882,wallet,BANK_C
ACC00130,P00851,savings,BANK_A
ACC00131,P00929,wallet,BANK_A
ACC00132,P00434,savings,BANK_B
ACC00133,P00048,savings,BANK_A
ACC00134,P00024,savings,BANK_C
ACC00135,P00829,current,BANK_C
ACC00136,P00719,savings,BANK_D
ACC00137,P00219,wallet,BANK_B
ACC00138,P00535,savings,BANK_D
ACC00139,P00511,savings,BANK_A
ACC00140,P00741,wallet,BANK_C
ACC00141,P00423,wallet,BANK_D
ACC00142,P00163,current,BANK_B
ACC00143,P00778,wallet,BANK_C
ACC00144,P00250,wallet,BANK_C
ACC00145,P00796,current,BANK_C
ACC00146,P00122,current,BANK_C
ACC00147,P00433,current,BANK_D
ACC00148,P00835,current,BANK_B
ACC00149,P00408,savings,BANK_B
ACC00150,P00314,current,BANK_C
ACC00151,P00772,current,BANK_D
ACC00152,P00597,current,BANK_C
ACC00153,P00602,savings,BANK_A
ACC00154,P00229,current,BANK_A
ACC00155,P00193,current,BANK_C
ACC00156,P00993,current,BANK_C
ACC00157,P00514,current,BANK_C
ACC00158,P00252,savings,BANK_D
ACC00159,P00148,savings,BANK_B
ACC00160,P00364,wallet,BANK_D
ACC00161,P00915,savings,BANK_A
ACC00162,P00542,wallet,BANK_A
ACC00163,P00217,current,BANK_B
ACC00164,P00910,wallet,BANK_B
ACC00165,P00464,current,BANK_A
ACC00166,P00007,savings,BANK_D
ACC00167,P00130,savings,BANK_D
ACC00168,P00288,wallet,BANK_C
ACC00169,P00928,wallet,BANK_C
ACC00170,P00564,current,BANK_D
ACC00171,P00799,savings,BANK_D
ACC00172,P00792,current,BANK_D
ACC00173,P00643,wallet,BANK_B
ACC00174,P00373,current,BANK_D
ACC00175,P00823,current,BANK_A
ACC00176,P00119,current,BANK_C
ACC00177,P00557,savings,BANK_D
ACC00178,P00089,current,BANK_A
ACC00179,P00053,savings,BANK_C
ACC00180,P00746,wallet,BANK_C
ACC00181,P00263,current,BANK_B
ACC00182,P00884,wallet,BANK_D
ACC00183,P00094,savings,BANK_D
ACC00184,P00585,current,BANK_C
ACC00185,P00271,wallet,BANK_B
ACC00186,P00011,savings,BANK_C
ACC00187,P00029,savings,BANK_A
ACC00188,P00791,wallet,BANK_C
ACC00189,P00052,wallet,BANK_B
ACC00190,P00936,savings,BANK_D
ACC00191,P00690,savings,BANK_B
ACC00192,P00325,current,BANK_B
ACC00193,P00407,current,BANK_C
ACC00194,P00948,current,BANK_A
ACC00195,P00808,wallet,BANK_C
ACC00196,P00137,current,BANK_D
ACC00197,P00137,wallet,BANK_D
ACC00198,P00270,wallet,BANK_B
ACC00199,P00892,current,BANK_D
ACC00200,P00246,savings,BANK_A
ACC00201,P00748,savings,BANK_A
ACC00202,P00859,current,BANK_A
ACC00203,P00655,current,BANK_B
ACC00204,P00461,savings,BANK_B
ACC00205,P00538,wallet,BANK_B
ACC00206,P00472,savings,BANK_C
ACC00207,P00328,savings,BANK_D
ACC00208,P00351,current,BANK_C
ACC00209,P00077,current,BANK_B
ACC00210,P00905,current,BANK_C
ACC00211,P00847,wallet,BANK_B
ACC00212,P00895,current,BANK_D
ACC00213,P00621,current,BANK_C
ACC00214,P00182,wallet,BANK_A
ACC00215,P00671,wallet,BANK_B
ACC00216,P00452,wallet,BANK_A
ACC00217,P00744,current,BANK_A
ACC00218,P00462,wallet,BANK_C
ACC00219,P00021,current,BANK_D
ACC00220,P00417,current,BANK_A
ACC00221,P00620,wallet,BANK_D
ACC00222,P00907,savings,BANK_D
ACC00223,P00749,current,BANK_C
ACC00224,P00041,wallet,BANK_A
ACC00225,P00411,savings,BANK_D
ACC00226,P00028,savings,BANK_B
ACC00227,P00969,savings,BANK_C
ACC00228,P00318,wallet,BANK_D
ACC00229,P00078,current,BANK_A
ACC00230,P00590,current,BANK_B
ACC00231,P00908,current,BANK_B
ACC00232,P00522,savings,BANK_D
ACC00233,P00588,current,BANK_C
ACC00234,P00286,current,BANK_D
ACC00235,P00998,current,BANK_A
ACC00236,P00871,savings,BANK_C
ACC00237,P00359,savings,BANK_D
ACC00238,P00969,current,BANK_B
ACC00239,P00661,current,BANK_A
ACC00240,P00231,current,BANK_A
ACC00241,P00234,current,BANK_A
ACC00242,P00291,wallet,BANK_B
ACC00243,P00283,current,BANK_B
ACC00244,P00258,savings,BANK_A
ACC00245,P00586,savings,BANK_A
ACC00246,P00143,wallet,BANK_C
ACC00247,P00943,wallet,BANK_C
ACC00248,P00078,current,BANK_A
ACC00249,P00886,current,BANK_B
ACC00250,P00497,wallet,BANK_B
ACC00251,P00491,current,BANK_A
ACC00252,P00964,wallet,BANK_C
ACC00253,P00604,savings,BANK_C
ACC00254,P00201,current,BANK_C
ACC00255,P00371,savings,BANK_D
ACC00256,P00872,current,BANK_A
ACC00257,P00639,savings,BANK_D
ACC00258,P00866,current,BANK_B
ACC00259,P00828,wallet,BANK_B
ACC00260,P00846,wallet,BANK_C
ACC00261,P00764,wallet,BANK_D
ACC00262,P00831,current,BANK_A
ACC00263,P00628,savings,BANK_A
ACC00264,P00365,wallet,BANK_D
ACC00265,P00687,savings,BANK_A
ACC00266,P00975,savings,BANK_B
ACC00267,P00489,current,BANK_D
ACC00268,P00125,savings,BANK_B
ACC00269,P00753,savings,BANK_C
ACC00270,P00261,current,BANK_C
ACC00271,P00190,current,BANK_B
ACC00272,P00959,savings,BANK_B
ACC00273,P00336,wallet,BANK_A
ACC00274,P00330,current,BANK_D
ACC00275,P00887,wallet,BANK_A
ACC00276,P00913,wallet,BANK_A
ACC00277,P00363,current,BANK_B
ACC00278,P00878,savings,BANK_A
ACC00279,P00467,current,BANK_C
ACC00280,P00395,savings,BANK_B
ACC00281,P00762,wallet,BANK_A
ACC00282,P00641,wallet,BANK_A
ACC00283,P00300,savings,BANK_B
ACC00284,P00391,savings,BANK_B
ACC00285,P00027,wallet,BANK_C
ACC00286,P00026,savings,BANK_A
ACC00287,P00691,current,BANK_B
ACC00288,P00771,savings,BANK_C
ACC00289,P00362,current,BANK_D
ACC00290,P00870,wallet,BANK_D
ACC00291,P00105,current,BANK_A
ACC00292,P00098,savings,BANK_D
ACC00293,P00083,current,BANK_A
ACC00294,P00456,wallet,BANK_B
ACC00295,P00946,wallet,BANK_C
ACC00296,P00938,savings,BANK_D
ACC00297,P00984,savings,BANK_D
ACC00298,P00854,savings,BANK_B
ACC00299,P00676,current,BANK_A
ACC00300,P00310,wallet,BANK_D
ACC00301,P00970,current,BANK_C
ACC00302,P00935,current,BANK_A
ACC00303,P00033,savings,BANK_C
ACC00304,P00626,wallet,BANK_A
ACC00305,P00437,wallet,BANK_D
ACC00306,P00247,wallet,BANK_B
ACC00307,P00613,savings,BANK_C
ACC00308,P00209,savings,BANK_B
ACC00309,P00434,current,BANK_A
ACC00310,P00118,current,BANK_C
ACC00311,P00836,current,BANK_C
ACC00312,P00159,wallet,BANK_C
ACC00313,P00742,savings,BANK_C
ACC00314,P00519,savings,BANK_A
ACC00315,P00841,wallet,BANK_D
ACC00316,P00845,current,BANK_A
ACC00317,P00282,savings,BANK_C
ACC00318,P00732,current,BANK_A
ACC00319,P00582,wallet,BANK_C
ACC00320,P00997,current,BANK_A
ACC00321,P00460,savings,BANK_A
ACC00322,P00172,savings,BANK_B
ACC00323,P00963,wallet,BANK_C
ACC00324,P00987,current,BANK_D
ACC00325,P00360,current,BANK_D
ACC00326,P00407,savings,BANK_A
ACC00327,P00869,savings,BANK_D
ACC00328,P00571,current,BANK_A
ACC00329,P00472,wallet,BANK_D
ACC00330,P00978,current,BANK_B
ACC00331,P00638,wallet,BANK_C
ACC00332,P00622,wallet,BANK_D
ACC00333,P00490,wallet,BANK_D
ACC00334,P00880,savings,BANK_B
ACC00335,P00227,wallet,BANK_A
ACC00336,P00759,wallet,BANK_B
ACC00337,P00674,current,BANK_C
ACC00338,P00010,wallet,BANK_B
ACC00339,P00093,current,BANK_A
ACC00340,P00642,wallet,BANK_D
ACC00341,P00254,savings,BANK_D
ACC00342,P00257,current,BANK_A
ACC00343,P00618,current,BANK_C
ACC00344,P00335,savings,BANK_A
ACC00345,P00200,savings,BANK_D
ACC00346,P00701,savings,BANK_D
ACC00347,P00401,current,BANK_D
ACC00348,P00812,current,BANK_B
ACC00349,P00991,wallet,BANK_C
ACC00350,P00916,savings,BANK_C
ACC00351,P00919,current,BANK_D
ACC00352,P00932,current,BANK_C
ACC00353,P00174,savings,BANK_D
ACC00354,P00422,savings,BANK_C
ACC00355,P00422,wallet,BANK_A
ACC00356,P00398,savings,BANK_B
ACC00357,P00096,wallet,BANK_C
ACC00358,P00106,wallet,BANK_D
ACC00359,P00881,wallet,BANK_B
ACC00360,P00763,current,BANK_B
ACC00361,P00888,wallet,BANK_B
ACC00362,P00593,current,BANK_D
ACC00363,P00654,current,BANK_D
ACC00364,P00738,current,BANK_D
ACC00365,P00197,current,BANK_B
ACC00366,P00038,current,BANK_B
ACC00367,P00790,current,BANK_A
ACC00368,P00549,savings,BANK_B
ACC00369,P00045,current,BANK_D
ACC00370,P00326,wallet,BANK_B
ACC00371,P00740,current,BANK_A
ACC00372,P00122,current,BANK_B
ACC00373,P00735,wallet,BANK_D
ACC00374,P00416,savings,BANK_C
ACC00375,P00055,current,BANK_A
ACC00376,P00344,savings,BANK_D
ACC00377,P00953,savings,BANK_B
ACC00378,P00434,current,BANK_A
ACC00379,P00449,current,BANK_A
ACC00380,P00116,wallet,BANK_C
ACC00381,P00960,current,BANK_D
ACC00382,P00430,savings,BANK_C
ACC00383,P00225,current,BANK_C
ACC00384,P00269,savings,BANK_C
ACC00385,P00259,wallet,BANK_D
ACC00386,P00596,wallet,BANK_C
ACC00387,P00815,wallet,BANK_B
ACC00388,P00901,wallet,BANK_C
ACC00389,P00303,current,BANK_B
ACC00390,P00976,wallet,BANK_C
ACC00391,P00630,savings,BANK_A
ACC00392,P00249,savings,BANK_A
ACC00393,P00403,savings,BANK_C
ACC00394,P00600,current,BANK_C
ACC00395,P00367,wallet,BANK_D
ACC00396,P00049,current,BANK_B
ACC00397,P00289,current,BANK_A
ACC00398,P00868,savings,BANK_A
ACC00399,P00071,current,BANK_C
ACC00400,P00695,savings,BANK_D
ACC00401,P00361,savings,BANK_A
ACC00402,P00807,wallet,BANK_C
ACC00403,P00983,current,BANK_D
ACC00404,P00054,wallet,BANK_B
ACC00405,P00009,wallet,BANK_A
ACC00406,P00478,savings,BANK_D
ACC00407,P00488,current,BANK_C
ACC00408,P00974,current,BANK_A
ACC00409,P00879,wallet,BANK_D
ACC00410,P00085,wallet,BANK_D
ACC00411,P00539,current,BANK_B
ACC00412,P00992,wallet,BANK_D
ACC00413,P00696,wallet,BANK_A
ACC00414,P00059,savings,BANK_C
ACC00415,P00603,savings,BANK_D
ACC00416,P00925,current,BANK_C
ACC00417,P00455,current,BANK_A
ACC00418,P00526,wallet,BANK_B
ACC00419,P00275,current,BANK_C
ACC00420,P00504,current,BANK_B
ACC00421,P00775,current,BANK_C
ACC00422,P00241,savings,BANK_B
ACC00423,P00704,current,BANK_A
ACC00424,P00447,savings,BANK_A
ACC00425,P00825,wallet,BANK_A
ACC00426,P00822,current,BANK_B
ACC00427,P00245,savings,BANK_D
ACC00428,P00612,savings,BANK_A
ACC00429,P00666,current,BANK_D
ACC00430,P00515,savings,BANK_C
ACC00431,P00086,savings,BANK_A
ACC00432,P00552,wallet,BANK_C
ACC00433,P00900,wallet,BANK_C
ACC00434,P00613,savings,BANK_B
ACC00435,P00646,current,BANK_D
ACC00436,P00617,wallet,BANK_D
ACC00437,P00075,wallet,BANK_A
ACC00438,P00988,current,BANK_A
ACC00439,P00865,current,BANK_C
ACC00440,P00074,current,BANK_A
ACC00441,P00003,current,BANK_A
ACC00442,P00693,savings,BANK_A
ACC00443,P00142,savings,BANK_B
ACC00444,P00985,wallet,BANK_A
ACC00445,P00765,current,BANK_B
ACC00446,P00178,savings,BANK_C
ACC00447,P00315,savings,BANK_B
ACC00448,P00324,savings,BANK_B
ACC00449,P00215,wallet,BANK_C
ACC00450,P00874,savings,BANK_C
ACC00451,P00042,current,BANK_C
ACC00452,P00020,savings,BANK_A
ACC00453,P00684,current,BANK_B
ACC00454,P00657,current,BANK_B
ACC00455,P00547,wallet,BANK_A
ACC00456,P00910,savings,BANK_D
ACC00457,P00949,current,BANK_C
ACC00458,P00037,current,BANK_A
ACC00459,P00587,savings,BANK_A
ACC00460,P00634,savings,BANK_D
ACC00461,P00566,current,BANK_D
ACC00462,P00196,current,BANK_C
ACC00463,P00594,savings,BANK_D
ACC00464,P00644,current,BANK_D
ACC00465,P00809,current,BANK_C
ACC00466,P00580,current,BANK_D
ACC00467,P00479,wallet,BANK_B
ACC00468,P00513,savings,BANK_D
ACC00469,P00545,savings,BANK_A
ACC00470,P00229,current,BANK_B
ACC00471,P00911,wallet,BANK_C
ACC00472,P00441,wallet,BANK_B
ACC00473,P00665,wallet,BANK_D
ACC00474,P00067,savings,BANK_D
ACC00475,P00978,savings,BANK_A
ACC00476,P00724,savings,BANK_D
ACC00477,P00144,savings,BANK_D
ACC00478,P00073,wallet,BANK_D
ACC00479,P00688,savings,BANK_C
ACC00480,P00485,wallet,BANK_C
ACC00481,P00561,savings,BANK_A
ACC00482,P00980,wallet,BANK_A
ACC00483,P00064,current,BANK_A
ACC00484,P00972,current,BANK_C
ACC00485,P00411,wallet,BANK_B
ACC00486,P00213,wallet,BANK_A
ACC00487,P00709,savings,BANK_A
ACC00488,P00611,savings,BANK_A
ACC00489,P00432,wallet,BANK_D
ACC00490,P00566,current,BANK_A
ACC00491,P00905,savings,BANK_A
ACC00492,P00025,savings,BANK_A
ACC00493,P00114,wallet,BANK_D
ACC00494,P00537,savings,BANK_C
ACC00495,P00470,savings,BANK_C
ACC00496,P00777,current,BANK_C
ACC00497,P00327,wallet,BANK_A
ACC00498,P00386,savings,BANK_B
ACC00499,P00027,current,BANK_A
ACC00500,P00450,wallet,BANK_B
ACC00501,P00358,wallet,BANK_A
ACC00502,P00269,savings,BANK_B
ACC00503,P00285,current,BANK_B
ACC00504,P00374,wallet,BANK_B
ACC00505,P00421,wallet,BANK_C
ACC00506,P00272,savings,BANK_C
ACC00507,P00811,savings,BANK_D
ACC00508,P00556,wallet,BANK_D
ACC00509,P00953,wallet,BANK_C
ACC00510,P00333,savings,BANK_C
ACC00511,P00076,savings,BANK_A
ACC00512,P00164,current,BANK_C
ACC00513,P00767,wallet,BANK_A
ACC00514,P00438,current,BANK_C
ACC00515,P00575,savings,BANK_D
ACC00516,P00675,current,BANK_C
ACC00517,P00739,wallet,BANK_D
ACC00518,P00833,wallet,BANK_C
ACC00519,P00913,current,BANK_A
ACC00520,P00563,savings,BANK_B
ACC00521,P00592,current,BANK_B
ACC00522,P00231,wallet,BANK_A
ACC00523,P00387,wallet,BANK_A
ACC00524,P00384,savings,BANK_D
ACC00525,P00298,current,BANK_B
ACC00526,P00837,current,BANK_D
ACC00527,P00199,savings,BANK_B
ACC00528,P00135,wallet,BANK_D
ACC00529,P00321,current,BANK_A
ACC00530,P00273,savings,BANK_A
ACC00531,P00123,wallet,BANK_B
ACC00532,P00887,wallet,BANK_C
ACC00533,P00419,wallet,BANK_D
ACC00534,P00426,current,BANK_D
ACC00535,P00077,current,BANK_D
ACC00536,P00424,current,BANK_B
ACC00537,P00294,current,BANK_A
ACC00538,P00773,savings,BANK_A
ACC00539,P00218,wallet,BANK_D
ACC00540,P00181,wallet,BANK_A
ACC00541,P00050,current,BANK_A
ACC00542,P00727,savings,BANK_D
ACC00543,P00734,savings,BANK_A
ACC00544,P00138,current,BANK_D
ACC00545,P00565,savings,BANK_A
ACC00546,P00150,current,BANK_C
ACC00547,P00070,current,BANK_D
ACC00548,P00578,current,BANK_A
ACC00549,P00147,current,BANK_B
ACC00550,P00779,savings,BANK_B
ACC00551,P00912,wallet,BANK_D
ACC00552,P00265,current,BANK_B
ACC00553,P00039,wallet,BANK_B
ACC00554,P00280,current,BANK_D
ACC00555,P00276,savings,BANK_B
ACC00556,P00406,current,BANK_A
ACC00557,P00017,savings,BANK_D
ACC00558,P00184,current,BANK_D
ACC00559,P00104,current,BANK_A
ACC00560,P00260,savings,BANK_D
ACC00561,P00804,savings,BANK_C
ACC00562,P00145,current,BANK_D
ACC00563,P00399,wallet,BANK_A
ACC00564,P00562,savings,BANK_C
ACC00565,P00520,wallet,BANK_D
ACC00566,P00780,savings,BANK_D
ACC00567,P00232,savings,BANK_B
ACC00568,P00786,savings,BANK_B
ACC00569,P00917,savings,BANK_C
ACC00570,P00151,wallet,BANK_B
ACC00571,P00012,current,BANK_C
ACC00572,P00530,wallet,BANK_D
ACC00573,P00921,current,BANK_B
ACC00574,P00527,savings,BANK_C
ACC00575,P00523,current,BANK_C
ACC00576,P00170,wallet,BANK_B
ACC00577,P00820,current,BANK_B
ACC00578,P00813,current,BANK_B
ACC00579,P00449,savings,BANK_D
ACC00580,P00068,savings,BANK_B
ACC00581,P00820,wallet,BANK_C
ACC00582,P00756,wallet,BANK_D
ACC00583,P00088,wallet,BANK_D
ACC00584,P00904,wallet,BANK_D
ACC00585,P00480,savings,BANK_D
ACC00586,P00646,wallet,BANK_A
ACC00587,P00985,current,BANK_D
ACC00588,P00805,wallet,BANK_A
ACC00589,P00512,wallet,BANK_A
ACC00590,P00402,savings,BANK_A
ACC00591,P00893,current,BANK_B
ACC00592,P00405,savings,BANK_D
ACC00593,P00354,savings,BANK_A
ACC00594,P00710,wallet,BANK_B
ACC00595,P00642,savings,BANK_C
ACC00596,P00610,wallet,BANK_C
ACC00597,P00986,wallet,BANK_C
ACC00598,P00392,wallet,BANK_B
ACC00599,P00397,wallet,BANK_D
ACC00600,P00784,wallet,BANK_A
ACC00601,P00393,wallet,BANK_D
ACC00602,P00492,savings,BANK_C
ACC00603,P00665,savings,BANK_B
ACC00604,P00496,current,BANK_B
ACC00605,P00203,savings,BANK_B
ACC00606,P00782,wallet,BANK_A
ACC00607,P00340,savings,BANK_B
ACC00608,P00186,current,BANK_B
ACC00609,P00044,current,BANK_A
ACC00610,P00752,wallet,BANK_B
ACC00611,P00507,savings,BANK_D
ACC00612,P00645,current,BANK_C
ACC00613,P00770,savings,BANK_B
ACC00614,P00127,current,BANK_A
ACC00615,P00631,wallet,BANK_B
ACC00616,P00558,savings,BANK_C
ACC00617,P00425,wallet,BANK_D
ACC00618,P00498,wallet,BANK_B
ACC00619,P00226,wallet,BANK_B
ACC00620,P00004,wallet,BANK_C
ACC00621,P00982,savings,BANK_D
ACC00622,P00944,savings,BANK_A
ACC00623,P00666,savings,BANK_D
ACC00624,P00443,current,BANK_C
ACC00625,P00633,savings,BANK_A
ACC00626,P00888,savings,BANK_B
ACC00627,P00716,savings,BANK_C
ACC00628,P00670,current,BANK_C
ACC00629,P00769,savings,BANK_D
ACC00630,P00632,wallet,BANK_C
ACC00631,P00522,savings,BANK_C
ACC00632,P00873,savings,BANK_C
ACC00633,P00883,savings,BANK_B
ACC00634,P00212,current,BANK_D
ACC00635,P00037,current,BANK_D
ACC00636,P00663,savings,BANK_D
ACC00637,P00892,savings,BANK_A
ACC00638,P00516,savings,BANK_C
ACC00639,P00838,savings,BANK_D
ACC00640,P00505,wallet,BANK_C
ACC00641,P00649,savings,BANK_B
ACC00642,P00896,wallet,BANK_B
ACC00643,P00524,savings,BANK_C
ACC00644,P00161,current,BANK_C
ACC00645,P00700,current,BANK_C
ACC00646,P00290,wallet,BANK_B
ACC00647,P00167,wallet,BANK_C
ACC00648,P00146,wallet,BANK_C
ACC00649,P00961,current,BANK_D
ACC00650,P00337,current,BANK_D
ACC00651,P00243,current,BANK_B
ACC00652,P00264,wallet,BANK_B
ACC00653,P00438,wallet,BANK_C
ACC00654,P00924,current,BANK_B
ACC00655,P00223,wallet,BANK_A
ACC00656,P00669,savings,BANK_C
ACC00657,P00165,current,BANK_B
ACC00658,P00804,savings,BANK_A
ACC00659,P00906,current,BANK_A
ACC00660,P00705,savings,BANK_D
ACC00661,P00221,savings,BANK_D
ACC00662,P00488,wallet,BANK_A
ACC00663,P00653,current,BANK_B
ACC00664,P00446,savings,BANK_A
ACC00665,P00608,wallet,BANK_D
ACC00666,P00615,current,BANK_D
ACC00667,P00390,current,BANK_A
ACC00668,P00341,wallet,BANK_B
ACC00669,P00950,wallet,BANK_D
ACC00670,P00162,savings,BANK_D
ACC00671,P00270,savings,BANK_D
ACC00672,P00001,current,BANK_A
ACC00673,P00194,current,BANK_C
ACC00674,P00743,wallet,BANK_D
ACC00675,P00111,savings,BANK_C
ACC00676,P00367,current,BANK_D
ACC00677,P00474,savings,BANK_A
ACC00678,P00605,wallet,BANK_B
ACC00679,P00189,savings,BANK_D
ACC00680,P00306,current,BANK_A
ACC00681,P00388,savings,BANK_C
ACC00682,P00339,wallet,BANK_C
ACC00683,P00082,wallet,BANK_B
ACC00684,P00968,savings,BANK_D
ACC00685,P00244,wallet,BANK_B
ACC00686,P00877,current,BANK_A
ACC00687,P00731,savings,BANK_D
ACC00688,P00281,savings,BANK_C
ACC00689,P00095,savings,BANK_C
ACC00690,P00350,savings,BANK_A
ACC00691,P00321,wallet,BANK_A
ACC00692,P00390,current,BANK_D
ACC00693,P00136,current,BANK_B
ACC00694,P00645,current,BANK_C
ACC00695,P00163,savings,BANK_A
ACC00696,P00856,wallet,BANK_A
ACC00697,P00071,savings,BANK_C
ACC00698,P00946,wallet,BANK_A
ACC00699,P00427,wallet,BANK_C
ACC00700,P00292,current,BANK_C
ACC00701,P00849,savings,BANK_B
ACC00702,P00134,wallet,BANK_C
ACC00703,P00760,current,BANK_C
ACC00704,P00018,current,BANK_D
ACC00705,P00233,current,BANK_A
ACC00706,P00698,current,BANK_D
ACC00707,P00410,wallet,BANK_A
ACC00708,P00396,current,BANK_B
ACC00709,P00128,current,BANK_A
ACC00710,P00606,savings,BANK_A
ACC00711,P00240,current,BANK_D
ACC00712,P00087,wallet,BANK_C
ACC00713,P00686,savings,BANK_D
ACC00714,P00365,wallet,BANK_A
ACC00715,P00996,savings,BANK_D
ACC00716,P00852,savings,BANK_B
ACC00717,P00036,savings,BANK_C
ACC00718,P00400,savings,BANK_A
ACC00719,P00453,wallet,BANK_D
ACC00720,P00107,savings,BANK_D
ACC00721,P00818,savings,BANK_A
ACC00722,P00316,current,BANK_D
ACC00723,P00081,savings,BANK_A
ACC00724,P00111,current,BANK_B
ACC00725,P00516,wallet,BANK_D
ACC00726,P00222,savings,BANK_C
ACC00727,P00287,savings,BANK_B
ACC00728,P00316,wallet,BANK_A
ACC00729,P00175,current,BANK_D
ACC00730,P00409,savings,BANK_A
ACC00731,P00635,current,BANK_C
ACC00732,P00894,wallet,BANK_D
ACC00733,P00824,savings,BANK_C
ACC00734,P00796,savings,BANK_C
ACC00735,P00880,current,BANK_D
