cdr_id,from_phone_id,to_phone_id,timestamp,duration_sec,channel,location_id
CDR000062,PH01071,PH00096,2026-06-11 04:50:00,1831,sms,LOC0088
CDR000063,PH00256,PH01053,2026-07-19 09:12:00,2210,app_message,LOC0022
CDR000064,PH00395,PH00726,2026-03-31 19:21:00,201,sms,LOC0171
CDR000065,PH00427,PH01152,2026-08-12 21:12:00,1314,app_message,LOC0070
CDR000066,PH00706,PH01168,2026-01-06 08:44:00,1189,call,LOC0066
CDR000067,PH00324,PH00957,2026-08-25 18:53:00,1907,sms,LOC0164
CDR000068,PH00642,PH00090,2026-01-20 23:37:00,1792,call,LOC0058
CDR000069,PH01089,PH00409,2026-03-07 06:17:00,2316,sms,LOC0060
CDR000070,PH00330,PH00332,2026-06-11 21:51:00,1453,app_message,LOC0119
CDR000071,PH00050,PH00830,2026-01-08 12:02:00,1509,app_message,LOC0151
CDR000072,PH00938,PH00839,2026-03-09 12:40:00,1159,call,LOC0111
CDR000073,PH00282,PH00550,2026-04-29 05:40:00,38,sms,LOC0002
CDR000074,PH00092,PH00587,2026-02-11 00:45:00,782,sms,LOC0166
CDR000075,PH00127,PH00214,2026-05-08 06:37:00,2317,app_message,LOC0037
CDR000076,PH00564,PH00886,2026-08-17 08:51:00,93,sms,LOC0084
CDR000077,PH01134,PH00307,2026-07-02 02:36:00,1659,call,LOC0173
CDR000078,PH00324,PH00533,2026-08-03 18:43:00,2270,sms,LOC0112
CDR000079,PH01011,PH01130,2026-07-11 11:40:00,1864,call,LOC0052
CDR000080,PH00017,PH00303,2026-05-13 15:32:00,2277,app_message,LOC0088
CDR000081,PH00198,PH00751,2026-02-26 10:49:00,1619,app_message,LOC0085
CDR000082,PH00064,PH00169,2026-02-22 17:09:00,1543,app_message,LOC0026
CDR000083,PH00351,PH01078,2026-05-14 19:20:00,2158,app_message,LOC0031
CDR000084,PH00927,PH00041,2026-07-23 23:47:00,634,call,LOC0162
CDR000085,PH00489,PH01103,2026-05-29 21:53:00,193,sms,LOC0034
CDR000086,PH00801,PH00001,2026-07-24 13:29:00,1631,sms,LOC0156
CDR000087,PH01067,PH00646,2026-01-19 01:38:00,1356,call,LOC0132
CDR000088,PH00539,PH00812,2026-08-12 09:35:00,705,app_message,LOC0041
CDR000089,PH00214,PH00053,2026-01-12 12:35:00,1320,sms,LOC0094
CDR000090,PH00993,PH00235,2026-08-18 12:21:00,1159,sms,LOC0054
CDR000091,PH00973,PH00648,2026-07-20 09:37:00,64,sms,LOC0115
CDR000092,PH00129,PH00163,2026-08-25 17:07:00,1692,app_message,LOC0154
CDR000093,PH01168,PH00582,2026-05-19 23:18:00,2081,app_message,LOC0081
CDR000094,PH00703,PH00913,2026-03-06 07:20:00,2095,sms,LOC0018
CDR000095,PH00814,PH00275,2026-08-23 08:40:00,1755,call,LOC0075
CDR000096,PH00520,PH00420,2026-04-08 14:09:00,715,sms,LOC0077
CDR000097,PH01062,PH00466,2026-07-14 06:50:00,1462,sms,LOC0133
CDR000098,PH00843,PH01081,2026-05-06 09:47:00,2131,app_message,LOC0160
CDR000099,PH00775,PH00458,2026-03-17 19:12:00,972,call,LOC0020
CDR000100,PH00680,PH01171,2026-05-17 16:53:00,1619,app_message,LOC0102
CDR000101,PH00147,PH00485,2026-05-03 20:47:00,2076,sms,LOC0155
CDR000102,PH00992,PH00266,2026-02-15 10:36:00,1035,call,LOC0017
CDR000103,PH01087,PH00936,2026-03-16 17:29:00,947,sms,LOC0168
CDR000104,PH00527,PH00328,2026-08-08 03:00:00,2320,call,LOC0167
CDR000105,PH01038,PH00991,2026-04-23 20:35:00,223,sms,LOC0080
CDR000106,PH00938,PH00862,2026-05-17 23:19:00,1964,sms,LOC0008
CDR000107,PH00754,PH00126,2026-06-08 09:00:00,2096,app_message,LOC0142
CDR000108,PH00380,PH00622,2026-03-24 02:22:00,670,app_message,LOC0104
CDR000109,PH00504,PH00056,2026-07-15 06:01:00,416,call,LOC0177
CDR000110,PH00210,PH00043,2026-07-20 16:46:00,449,sms,LOC0162
CDR000111,PH00724,PH00144,2026-07-22 13:38:00,1043,call,LOC0056
CDR000112,PH00978,PH00716,2026-07-24 12:18:00,1596,call,LOC0132
CDR000113,PH00148,PH00874,2026-01-31 07:38:00,122,app_message,LOC0099
CDR000114,PH01020,PH00388,2026-04-12 20:34:00,1503,app_message,LOC0026
CDR000115,PH00576,PH00135,2026-04-28 19:48:00,1910,call,LOC0098
CDR000116,PH00241,PH00403,2026-05-08 09:07:00,1325,call,LOC0103
CDR000117,PH00212,PH00148,2026-03-23 23:22:00,123,sms,LOC0022
CDR000118,PH00808,PH00634,2026-01-01 05:41:00,694,sms,LOC0034
CDR000119,PH00889,PH00580,2026-05-23 00:52:00,1685,app_message,LOC0144
CDR000120,PH00947,PH00192,2026-03-13 19:40:00,2023,call,LOC0142
CDR000121,PH00406,PH00007,2026-06-04 14:01:00,1816,sms,LOC0020
CDR000122,PH00838,PH00069,2026-07-19 00:17:00,2372,call,LOC0146
CDR000123,PH01084,PH00418,2026-07-13 11:13:00,172,sms,LOC0161
CDR000124,PH00814,PH00300,2026-07-12 21:21:00,739,app_message,LOC0028
CDR000125,PH00044,PH00466,2026-03-20 00:42:00,1934,app_message,LOC0046
CDR000126,PH00767,PH00167,2026-05-30 22:48:00,2065,sms,LOC0040
CDR000127,PH01161,PH00334,2026-08-09 20:02:00,537,app_message,LOC0143
CDR000128,PH00876,PH00394,2026-02-02 10:04:00,274,app_message,LOC0153
CDR000129,PH00827,PH00952,2026-03-01 01:32:00,67,call,LOC0140
CDR000130,PH01013,PH01114,2026-02-26 16:16:00,295,app_message,LOC0128
CDR000131,PH00947,PH01019,2026-03-31 05:06:00,887,app_message,LOC0169
CDR000132,PH00624,PH00163,2026-08-14 16:29:00,224,call,LOC0164
CDR000133,PH00212,PH00710,2026-04-19 20:59:00,844,sms,LOC0020
CDR000134,PH00141,PH01194,2026-08-30 10:30:00,108,sms,LOC0042
CDR000135,PH00952,PH00886,2026-06-06 04:27:00,2134,app_message,LOC0082
CDR000136,PH00696,PH00885,2026-05-12 04:26:00,531,app_message,LOC0019
CDR000137,PH00235,PH01072,2026-01-14 05:10:00,1873,app_message,LOC0077
CDR000138,PH00691,PH00609,2026-08-27 09:26:00,1211,app_message,LOC0165
CDR000139,PH00967,PH00947,2026-06-24 23:17:00,1373,app_message,LOC0011
CDR000140,PH00402,PH01200,2026-08-22 16:53:00,1100,sms,LOC0164
CDR000141,PH01103,PH00398,2026-03-14 18:36:00,2366,app_message,LOC0077
CDR000142,PH00499,PH00886,2026-04-19 08:31:00,1882,sms,LOC0087
CDR000143,PH00485,PH00924,2026-02-07 12:18:00,1318,call,LOC0009
CDR000144,PH01061,PH01179,2026-07-19 05:53:00,1827,call,LOC0020
CDR000145,PH00612,PH00204,2026-05-08 06:19:00,433,sms,LOC0088
CDR000146,PH00485,PH00461,2026-06-07 13:54:00,339,sms,LOC0138
CDR000147,PH00180,PH01063,2026-01-22 05:44:00,1424,sms,LOC0098
CDR000148,PH00769,PH00244,2026-01-21 00:19:00,479,sms,LOC0130
CDR000149,PH01075,PH00829,2026-01-09 10:41:00,1550,call,LOC0057
CDR000150,PH00544,PH00315,2026-06-18 17:02:00,1941,sms,LOC0026
CDR000151,PH01016,PH00313,2026-02-02 23:11:00,747,app_message,LOC0129
CDR000152,PH00929,PH00694,2026-05-05 00:01:00,1038,sms,LOC0107
CDR000153,PH00434,PH00754,2026-03-28 06:49:00,1370,app_message,LOC0039
CDR000154,PH00489,PH00053,2026-08-02 16:13:00,26,call,LOC0069
CDR000155,PH00165,PH00881,2026-05-16 18:22:00,2332,sms,LOC0078
CDR000156,PH00708,PH01128,2026-08-10 09:09:00,1171,app_message,LOC0049
CDR000157,PH00029,PH00319,2026-01-10 03:07:00,368,sms,LOC0131
CDR000158,PH00133,PH00475,2026-05-16 06:49:00,1215,sms,LOC0103
CDR000159,PH00814,PH00614,2026-07-14 21:47:00,1526,call,LOC0175
CDR000160,PH01108,PH00617,2026-04-11 01:23:00,1925,sms,LOC0088
CDR000161,PH00520,PH01056,2026-08-31 00:49:00,984,sms,LOC0147
CDR000162,PH00845,PH00067,2026-06-23 19:09:00,562,app_message,LOC0016
CDR000163,PH01029,PH00041,2026-07-21 13:01:00,899,call,LOC0177
CDR000164,PH00942,PH00972,2026-01-08 05:52:00,136,sms,LOC0015
CDR000165,PH00048,PH00584,2026-06-04 09:31:00,1861,sms,LOC0143
CDR000166,PH00841,PH01076,2026-03-25 01:57:00,1323,sms,LOC0135
CDR000167,PH00269,PH00862,2026-01-22 11:19:00,2144,sms,LOC0097
CDR000168,PH00444,PH00084,2026-08-27 07:28:00,1829,sms,LOC0169
CDR000169,PH00699,PH01071,2026-07-10 02:08:00,1329,call,LOC0066
CDR000170,PH00584,PH00080,2026-05-15 05:00:00,1455,call,LOC0030
CDR000171,PH00234,PH01179,2026-05-27 10:19:00,205,sms,LOC0079
CDR000172,PH00784,PH00580,2026-05-29 01:45:00,1392,app_message,LOC0116
CDR000173,PH00168,PH00645,2026-06-09 18:33:00,78,app_message,LOC0077
CDR000174,PH00463,PH00891,2026-04-24 04:43:00,1145,sms,LOC0066
CDR000175,PH00993,PH01164,2026-04-07 20:12:00,1034,sms,LOC0001
CDR000176,PH00817,PH01153,2026-05-15 23:04:00,948,call,LOC0095
CDR000177,PH00571,PH00154,2026-04-04 00:22:00,1906,app_message,LOC0161
CDR000178,PH00673,PH00147,2026-08-15 09:25:00,751,sms,LOC0131
CDR000179,PH00224,PH00732,2026-02-22 04:20:00,1246,app_message,LOC0041
CDR000180,PH00826,PH00852,2026-08-15 18:16:00,1104,call,LOC0111
CDR000181,PH00934,PH01025,2026-06-13 02:31:00,1278,sms,LOC0173
CDR000182,PH01051,PH00343,2026-07-10 08:00:00,368,call,LOC0004
CDR000183,PH00398,PH00036,2026-08-03 20:50:00,1524,call,LOC0130
CDR000184,PH00957,PH00288,2026-07-25 05:04:00,947,call,LOC0080
CDR000185,PH00762,PH00224,2026-04-23 18:20:00,2032,app_message,LOC0130
CDR000186,PH00847,PH00893,2026-08-28 05:48:00,1411,app_message,LOC0024
CDR000187,PH00356,PH00768,2026-05-30 07:35:00,1023,app_message,LOC0059
CDR000188,PH00358,PH00502,2026-07-23 10:04:00,1636,sms,LOC0096
CDR000189,PH01192,PH00323,2026-06-18 02:58:00,1452,sms,LOC0160
CDR000190,PH01056,PH00808,2026-05-29 20:58:00,2363,call,LOC0014
CDR000191,PH00950,PH00456,2026-05-22 20:13:00,898,sms,LOC0018
CDR000192,PH00167,PH00770,2026-07-27 16:35:00,995,app_message,LOC0048
CDR000193,PH00268,PH00889,2026-07-23 01:27:00,952,call,LOC0094
CDR000194,PH00325,PH00003,2026-06-25 23:34:00,1237,call,LOC0124
CDR000195,PH00388,PH00974,2026-08-22 10:50:00,1694,call,LOC0120
CDR000196,PH01005,PH00680,2026-06-18 20:49:00,2362,sms,LOC0058
CDR000197,PH00525,PH00313,2026-06-29 00:18:00,2098,call,LOC0123
CDR000198,PH01173,PH00518,2026-04-26 14:41:00,141,app_message,LOC0027
CDR000199,PH00928,PH01008,2026-07-14 12:00:00,437,sms,LOC0022
CDR000200,PH00183,PH00347,2026-08-28 02:18:00,282,app_message,LOC0172
CDR000201,PH00111,PH00518,2026-01-15 23:46:00,1105,app_message,LOC0004
CDR000202,PH01096,PH00894,2026-03-01 12:48:00,1725,app_message,LOC0034
CDR000203,PH01024,PH00266,2026-07-01 21:06:00,1638,sms,LOC0020
CDR000204,PH00405,PH00415,2026-01-13 19:04:00,2343,call,LOC0058
CDR000205,PH00683,PH00133,2026-08-27 21:21:00,1769,call,LOC0001
CDR000206,PH00796,PH01010,2026-01-11 10:51:00,2020,sms,LOC0042
CDR000207,PH01143,PH00125,2026-05-28 20:38:00,1231,call,LOC0055
CDR000208,PH01116,PH00697,2026-03-26 01:59:00,1954,sms,LOC0028
CDR000209,PH00569,PH00688,2026-03-15 10:47:00,817,app_message,LOC0021
CDR000210,PH00345,PH01181,2026-08-08 05:21:00,1902,sms,LOC0077
CDR000211,PH00861,PH00986,2026-03-17 06:46:00,832,sms,LOC0132
CDR000212,PH00117,PH01106,2026-01-04 14:02:00,346,sms,LOC0139
CDR000213,PH00540,PH00668,2026-06-09 20:12:00,1618,app_message,LOC0019
CDR000214,PH00341,PH00238,2026-08-15 21:27:00,1777,call,LOC0022
CDR000215,PH00709,PH00388,2026-06-03 03:29:00,864,app_message,LOC0101
CDR000216,PH00159,PH00961,2026-03-04 04:06:00,1636,app_message,LOC0024
CDR000217,PH01016,PH00303,2026-08-24 14:24:00,1553,app_message,LOC0175
CDR000218,PH01147,PH01076,2026-08-06 08:30:00,2370,sms,LOC0070
CDR000219,PH01038,PH00942,2026-07-04 15:08:00,544,sms,LOC0132
CDR000220,PH01011,PH00931,2026-06-11 20:59:00,1208,app_message,LOC0153
CDR000221,PH01167,PH01065,2026-07-19 01:26:00,534,app_message,LOC0136
CDR000222,PH01047,PH00543,2026-04-27 21:12:00,18,call,LOC0110
CDR000223,PH00154,PH00920,2026-07-23 13:09:00,2226,call,LOC0155
CDR000224,PH00972,PH01038,2026-03-04 03:26:00,1982,call,LOC0130
CDR000225,PH00493,PH00813,2026-07-08 22:35:00,2050,call,LOC0098
CDR000226,PH00319,PH00743,2026-04-04 04:04:00,1899,call,LOC0031
CDR000227,PH00065,PH00566,2026-08-31 11:34:00,646,app_message,LOC0025
CDR000228,PH00980,PH00461,2026-05-07 08:27:00,979,call,LOC0030
CDR000229,PH00645,PH00847,2026-04-02 05:50:00,184,call,LOC0169
CDR000230,PH00659,PH00905,2026-06-16 22:42:00,1579,call,LOC0164
CDR000231,PH00280,PH00546,2026-08-22 19:27:00,1271,sms,LOC0010
CDR000232,PH00417,PH00437,2026-05-03 20:53:00,1685,sms,LOC0017
CDR000233,PH00490,PH00929,2026-05-15 02:59:00,1695,sms,LOC0147
CDR000234,PH00307,PH01106,2026-03-01 12:53:00,1589,app_message,LOC0012
CDR000235,PH01123,PH00731,2026-03-20 08:37:00,930,sms,LOC0106
CDR000236,PH00448,PH00693,2026-07-13 08:08:00,1819,sms,LOC0138
CDR000237,PH01000,PH01111,2026-08-31 18:26:00,170,call,LOC0090
CDR000238,PH00282,PH00450,2026-07-26 05:45:00,767,sms,LOC0164
CDR000239,PH00259,PH00340,2026-07-09 19:17:00,2126,sms,LOC0147
CDR000240,PH00102,PH00218,2026-02-12 06:15:00,1832,sms,LOC0104
CDR000241,PH00408,PH01186,2026-07-21 14:15:00,336,sms,LOC0028
CDR000242,PH00145,PH00591,2026-05-04 17:09:00,8,call,LOC0023
CDR000243,PH00312,PH00147,2026-08-14 04:28:00,2065,call,LOC0103
CDR000244,PH00292,PH00215,2026-06-11 17:55:00,973,app_message,LOC0082
CDR000245,PH00115,PH01081,2026-03-31 00:33:00,1235,app_message,LOC0102
CDR000246,PH00156,PH00960,2026-02-12 04:33:00,2000,app_message,LOC0110
CDR000247,PH00258,PH00903,2026-03-12 09:35:00,2357,app_message,LOC0082
CDR000248,PH00880,PH00711,2026-03-19 23:10:00,2234,call,LOC0171
CDR000249,PH00548,PH00127,2026-08-17 02:25:00,1549,sms,LOC0120
CDR000250,PH00759,PH00034,2026-04-29 11:37:00,558,sms,LOC0025
CDR000251,PH00488,PH01115,2026-04-16 21:13:00,1440,sms,LOC0123
CDR000252,PH00124,PH00536,2026-08-03 17:36:00,1612,sms,LOC0068
CDR000253,PH01025,PH00429,2026-02-17 16:57:00,1562,call,LOC0166
CDR000254,PH00333,PH00879,2026-08-17 11:42:00,1567,call,LOC0100
CDR000255,PH01005,PH00039,2026-04-21 08:40:00,760,app_message,LOC0156
CDR000256,PH00749,PH00026,2026-02-04 08:25:00,368,sms,LOC0072
CDR000257,PH01053,PH00326,2026-02-06 22:43:00,306,app_message,LOC0167
CDR000258,PH00707,PH00571,2026-03-05 13:09:00,633,sms,LOC0028
CDR000259,PH00662,PH00586,2026-08-25 04:34:00,561,call,LOC0106
CDR000260,PH00628,PH00057,2026-03-15 07:01:00,628,call,LOC0170
CDR000261,PH01078,PH00008,2026-05-28 16:15:00,1851,call,LOC0051
CDR000262,PH00943,PH00183,2026-04-26 12:53:00,2041,call,LOC0080
CDR000263,PH01036,PH00284,2026-08-28 08:34:00,964,sms,LOC0078
CDR000264,PH00165,PH00838,2026-05-28 11:40:00,2399,call,LOC0169
CDR000265,PH00556,PH00391,2026-08-03 06:03:00,730,app_message,LOC0127
CDR000266,PH00730,PH00334,2026-08-23 19:35:00,921,call,LOC0055
CDR000267,PH01185,PH00318,2026-04-30 13:15:00,120,call,LOC0055
CDR000268,PH01131,PH00394,2026-04-30 12:30:00,837,app_message,LOC0091
CDR000269,PH00085,PH00887,2026-08-04 09:18:00,1007,app_message,LOC0038
CDR000270,PH00582,PH00609,2026-03-10 16:47:00,1243,sms,LOC0154
CDR000271,PH00295,PH01003,2026-02-26 01:38:00,1290,app_message,LOC0138
CDR000272,PH00599,PH00668,2026-04-23 17:07:00,767,app_message,LOC0148
CDR000273,PH00979,PH00330,2026-08-10 07:43:00,356,app_message,LOC0053
CDR000274,PH01192,PH00137,2026-03-01 14:26:00,2084,app_message,LOC0047
CDR000275,PH00345,PH00647,2026-01-26 14:53:00,511,sms,LOC0019
CDR000276,PH00193,PH00985,2026-06-24 20:55:00,1336,call,LOC0153
CDR000277,PH00202,PH01198,2026-05-03 05:46:00,587,app_message,LOC0009
CDR000278,PH00005,PH01149,2026-02-17 04:07:00,1447,app_message,LOC0117
CDR000279,PH00200,PH00018,2026-03-21 19:58:00,1272,app_message,LOC0097
CDR000280,PH01052,PH01101,2026-01-03 14:10:00,1613,sms,LOC0108
CDR000281,PH01035,PH00679,2026-01-09 08:13:00,1123,call,LOC0090
CDR000282,PH00456,PH00844,2026-05-08 23:59:00,1679,call,LOC0151
CDR000283,PH00461,PH00197,2026-02-12 13:39:00,1881,call,LOC0165
CDR000284,PH00991,PH00264,2026-04-12 00:24:00,988,app_message,LOC0023
CDR000285,PH00253,PH00384,2026-01-17 01:04:00,1118,call,LOC0092
CDR000286,PH01065,PH00521,2026-04-27 05:11:00,1877,sms,LOC0151
CDR000287,PH00808,PH00155,2026-05-15 13:58:00,62,call,LOC0160
CDR000288,PH00691,PH00310,2026-04-19 13:18:00,2320,call,LOC0002
CDR000289,PH00145,PH00541,2026-01-05 21:32:00,2167,app_message,LOC0127
CDR000290,PH00534,PH00620,2026-05-10 20:11:00,367,call,LOC0129
CDR000291,PH00763,PH00971,2026-02-12 02:16:00,729,app_message,LOC0001
CDR000292,PH00497,PH00158,2026-06-27 03:47:00,1422,call,LOC0142
CDR000293,PH00986,PH00199,2026-01-02 03:27:00,1462,app_message,LOC0029
CDR000294,PH01051,PH00512,2026-04-01 10:11:00,498,sms,LOC0087
CDR000295,PH01181,PH01013,2026-03-31 21:38:00,611,app_message,LOC0029
CDR000296,PH00061,PH00786,2026-05-09 16:13:00,811,app_message,LOC0015
CDR000297,PH00667,PH00475,2026-06-05 06:47:00,1700,call,LOC0031
CDR000298,PH00667,PH00036,2026-07-24 08:11:00,1072,call,LOC0021
CDR000299,PH00259,PH01044,2026-08-10 08:29:00,23,sms,LOC0116
CDR000300,PH00578,PH00938,2026-05-05 07:27:00,144,sms,LOC0113
CDR000301,PH00422,PH00302,2026-02-03 21:07:00,2342,sms,LOC0023
CDR000302,PH00922,PH01013,2026-01-31 19:09:00,28,sms,LOC0167
CDR000303,PH00366,PH00787,2026-02-20 14:43:00,510,app_message,LOC0060
CDR000304,PH00693,PH00464,2026-04-22 07:45:00,1025,sms,LOC0116
CDR000305,PH00451,PH00861,2026-02-18 00:21:00,1873,app_message,LOC0138
CDR000306,PH00974,PH00198,2026-08-09 03:15:00,1757,app_message,LOC0175
CDR000307,PH00947,PH00943,2026-08-27 00:40:00,12,sms,LOC0060
CDR000308,PH00575,PH01166,2026-05-10 18:54:00,1811,sms,LOC0081
CDR000309,PH00376,PH00378,2026-03-07 23:47:00,89,app_message,LOC0157
CDR000310,PH01048,PH00624,2026-07-22 18:20:00,119,sms,LOC0013
CDR000311,PH00633,PH00638,2026-02-21 06:58:00,1655,call,LOC0065
CDR000312,PH01097,PH00897,2026-03-05 11:12:00,1312,app_message,LOC0064
CDR000313,PH00467,PH00904,2026-06-17 09:05:00,619,call,LOC0055
CDR000314,PH00798,PH00799,2026-08-25 19:05:00,1380,sms,LOC0124
CDR000315,PH00251,PH00749,2026-08-18 14:18:00,1782,app_message,LOC0082
CDR000316,PH00346,PH01051,2026-03-22 11:58:00,1014,call,LOC0079
CDR000317,PH00484,PH00612,2026-05-18 13:12:00,678,app_message,LOC0148
CDR000318,PH00121,PH00749,2026-06-04 08:45:00,928,sms,LOC0172
CDR000319,PH00336,PH00546,2026-07-08 11:14:00,1781,call,LOC0148
CDR000320,PH00174,PH00294,2026-06-15 11:50:00,123,call,LOC0030
CDR000321,PH00087,PH00563,2026-03-29 23:08:00,956,app_message,LOC0160
CDR000322,PH00309,PH00907,2026-08-20 15:48:00,2065,app_message,LOC0029
CDR000323,PH00420,PH00372,2026-07-02 02:20:00,2133,call,LOC0088
CDR000324,PH00005,PH00763,2026-04-14 14:11:00,920,app_message,LOC0012
CDR000325,PH01001,PH00214,2026-02-24 07:51:00,1958,app_message,LOC0025
CDR000326,PH01005,PH00569,2026-08-14 14:04:00,943,sms,LOC0109
CDR000327,PH00188,PH00447,2026-08-16 18:42:00,947,sms,LOC0059
CDR000328,PH01188,PH00489,2026-06-06 11:25:00,1756,app_message,LOC0096
CDR000329,PH01157,PH00405,2026-02-17 20:33:00,739,call,LOC0086
CDR000330,PH00622,PH00064,2026-05-04 22:55:00,824,sms,LOC0063
CDR000331,PH00876,PH01042,2026-01-24 22:32:00,559,app_message,LOC0101
CDR000332,PH00846,PH00738,2026-05-05 17:20:00,2179,sms,LOC0119
CDR000333,PH00539,PH00701,2026-06-17 01:25:00,273,sms,LOC0133
CDR000334,PH00575,PH01183,2026-06-18 17:28:00,16,app_message,LOC0179
CDR000335,PH00761,PH00848,2026-04-24 01:40:00,1788,sms,LOC0094
CDR000336,PH00071,PH00873,2026-02-11 12:25:00,2190,sms,LOC0123
CDR000337,PH01086,PH00883,2026-01-18 08:16:00,2029,app_message,LOC0057
CDR000338,PH00742,PH00937,2026-05-24 22:38:00,940,call,LOC0129
CDR000339,PH00146,PH01105,2026-05-03 13:41:00,1389,call,LOC0168
CDR000340,PH01056,PH00310,2026-02-28 09:52:00,522,sms,LOC0023
CDR000341,PH01124,PH01072,2026-06-10 01:48:00,1360,sms,LOC0099
CDR000342,PH00405,PH00334,2026-08-28 03:09:00,2292,app_message,LOC0092
