item_id,item_type
ITEM00210,device
ITEM00211,document
ITEM00212,other
ITEM00213,document
ITEM00214,electronics
ITEM00215,parcel
ITEM00216,other
ITEM00217,document
ITEM00218,electronics
ITEM00219,document
ITEM00220,device
ITEM00221,document
ITEM00222,vehicle_part
ITEM00223,vehicle_part
ITEM00224,electronics
ITEM00225,vehicle_part
ITEM00226,electronics
ITEM00227,other
ITEM00228,document
ITEM00229,other
ITEM00230,parcel
ITEM00231,device
ITEM00232,other
ITEM00233,device
ITEM00234,parcel
ITEM00235,device
ITEM00236,electronics
ITEM00237,vehicle_part
ITEM00238,document
ITEM00239,electronics
ITEM00240,device
ITEM00241,other
ITEM00242,electronics
ITEM00243,vehicle_part
ITEM00244,device
ITEM00245,parcel
ITEM00246,device
ITEM00247,document
ITEM00248,electronics
ITEM00249,vehicle_part
ITEM00250,vehicle_part
ITEM00251,vehicle_part
ITEM00252,vehicle_part
ITEM00253,document
ITEM00254,parcel
ITEM00255,device
ITEM00256,document
ITEM00257,device
ITEM00258,electronics
ITEM00259,device
ITEM00260,document
ITEM00261,other
ITEM00262,parcel
ITEM00263,document
ITEM00264,device
ITEM00265,document
ITEM00266,electronics
ITEM00267,parcel
ITEM00268,parcel
ITEM00269,electronics
ITEM00270,electronics
ITEM00271,document
ITEM00272,electronics
ITEM00273,document
ITEM00274,electronics
ITEM00275,parcel
ITEM00276,device
ITEM00277,device
ITEM00278,electronics
ITEM00279,electronics
ITEM00280,other
ITEM00281,device
ITEM00282,vehicle_part
ITEM00283,parcel
ITEM00284,parcel
ITEM00285,parcel
ITEM00286,electronics
ITEM00287,document
ITEM00288,electronics
ITEM00289,electronics
ITEM00290,other
ITEM00291,device
ITEM00292,document
ITEM00293,other
ITEM00294,other
ITEM00295,device
ITEM00296,document
ITEM00297,other
ITEM00298,electronics
ITEM00299,vehicle_part
ITEM00300,electronics
ITEM00301,parcel
ITEM00302,document
ITEM00303,electronics
ITEM00304,parcel
ITEM00305,device
ITEM00306,other
ITEM00307,vehicle_part
ITEM00308,document
ITEM00309,document
ITEM00310,parcel
ITEM00311,document
ITEM00312,parcel
ITEM00313,document
ITEM00314,other
ITEM00315,device
ITEM00316,vehicle_part
ITEM00317,vehicle_part
ITEM00318,other
ITEM00319,vehicle_part
ITEM00320,parcel
ITEM00321,document
ITEM00322,device
ITEM00323,vehicle_part
ITEM00324,other
ITEM00325,parcel
ITEM00326,document
ITEM00327,other
ITEM00328,device
ITEM00329,other
ITEM00330,parcel
ITEM00331,electronics
ITEM00332,electronics
ITEM00333,vehicle_part
ITEM00334,document
ITEM00335,document
ITEM00336,other
ITEM00337,electronics
ITEM00338,document
ITEM00339,electronics
ITEM00340,vehicle_part
ITEM00341,parcel
ITEM00342,vehicle_part
ITEM00343,document
ITEM00344,other
ITEM00345,vehicle_part
ITEM00346,parcel
ITEM00347,device
ITEM00348,other
ITEM00349,vehicle_part
ITEM00350,other
ITEM00351,electronics
ITEM00352,parcel
ITEM00353,electronics
ITEM00354,device
ITEM00355,other
ITEM00356,device
ITEM00357,electronics
ITEM00358,parcel
ITEM00359,document
ITEM00360,other
ITEM00361,other
ITEM00362,parcel
ITEM00363,device
ITEM00364,other
ITEM00365,electronics
ITEM00366,vehicle_part
ITEM00367,device
ITEM00368,vehicle_part
ITEM00369,other
ITEM00370,parcel
ITEM00371,vehicle_part
ITEM00372,parcel
ITEM00373,parcel
ITEM00374,parcel
ITEM00375,other
ITEM00376,vehicle_part
ITEM00377,document
ITEM00378,other
ITEM00379,parcel
ITEM00380,device
ITEM00381,document
ITEM00382,device
ITEM00383,document
ITEM00384,other
ITEM00385,electronics
ITEM00386,parcel
ITEM00387,device
ITEM00388,document
ITEM00389,document
ITEM00390,parcel
ITEM00391,vehicle_part
ITEM00392,other
ITEM00393,vehicle_part
ITEM00394,parcel
ITEM00395,other
ITEM00396,document
ITEM00397,electronics
ITEM00398,vehicle_part
ITEM00399,device
ITEM00400,device
ITEM00401,vehicle_part
ITEM00402,vehicle_part
ITEM00403,vehicle_part
ITEM00404,document
ITEM00405,other
ITEM00406,document
ITEM00407,parcel
ITEM00408,parcel
ITEM00409,document
ITEM00410,parcel
ITEM00411,device
ITEM00412,device
ITEM00413,electronics
ITEM00414,vehicle_part
ITEM00415,document
ITEM00416,device
ITEM00417,vehicle_part
ITEM00418,device
ITEM00419,device
ITEM00420,other
ITEM00421,document
ITEM00422,document
ITEM00423,electronics
ITEM00424,document
ITEM00425,document
ITEM00426,other
ITEM00427,electronics
ITEM00428,vehicle_part
ITEM00429,vehicle_part
ITEM00430,vehicle_part
ITEM00431,vehicle_part
ITEM00432,parcel
ITEM00433,document
ITEM00434,electronics
ITEM00435,other
ITEM00436,other
ITEM00437,other
ITEM00438,other
ITEM00439,electronics
ITEM00440,vehicle_part
ITEM00441,device
ITEM00442,device
ITEM00443,electronics
ITEM00444,device
ITEM00445,other
ITEM00446,device
ITEM00447,other
ITEM00448,other
ITEM00449,parcel
ITEM00450,other
ITEM00451,document
ITEM00452,vehicle_part
ITEM00453,other
ITEM00454,other
ITEM00455,parcel
ITEM00456,document
ITEM00457,vehicle_part
ITEM00458,document
ITEM00459,electronics
ITEM00460,document
ITEM00461,vehicle_part
ITEM00462,document
ITEM00463,electronics
ITEM00464,electronics
ITEM00465,electronics
ITEM00466,parcel
ITEM00467,device
ITEM00468,device
ITEM00469,electronics
ITEM00470,parcel
ITEM00471,vehicle_part
ITEM00472,other
ITEM00473,parcel
ITEM00474,device
ITEM00475,document
ITEM00476,parcel
ITEM00477,other
ITEM00478,other
ITEM00479,document
ITEM00480,other
ITEM00481,other
ITEM00482,vehicle_part
ITEM00483,device
ITEM00484,document
ITEM00485,device
ITEM00486,document
ITEM00487,vehicle_part
ITEM00488,vehicle_part
ITEM00489,other
ITEM00490,document
ITEM00491,document
ITEM00492,parcel
ITEM00493,vehicle_part
ITEM00494,vehicle_part
ITEM00495,document
ITEM00496,device
ITEM00497,parcel
ITEM00498,electronics
ITEM00499,document
ITEM00500,vehicle_part
ITEM00501,vehicle_part
ITEM00502,parcel
ITEM00503,vehicle_part
ITEM00504,device
ITEM00505,parcel
ITEM00506,vehicle_part
ITEM00507,vehicle_part
ITEM00508,other
ITEM00509,electronics
ITEM00510,electronics
ITEM00511,electronics
ITEM00512,other
ITEM00513,document
ITEM00514,parcel
ITEM00515,vehicle_part
ITEM00516,other
ITEM00517,parcel
ITEM00518,vehicle_part
ITEM00519,document
ITEM00520,electronics
ITEM00521,electronics
ITEM00522,document
ITEM00523,parcel
ITEM00524,vehicle_part
ITEM00525,other
ITEM00526,vehicle_part
ITEM00527,parcel
ITEM00528,electronics
ITEM00529,parcel
ITEM00530,vehicle_part
ITEM00531,parcel
ITEM00532,vehicle_part
ITEM00533,parcel
ITEM00534,vehicle_part
ITEM00535,vehicle_part
ITEM00536,document
ITEM00537,parcel
ITEM00538,electronics
ITEM00539,other
ITEM00540,parcel
ITEM00541,document
ITEM00542,vehicle_part
ITEM00543,vehicle_part
ITEM00544,document
ITEM00545,vehicle_part
ITEM00546,document
ITEM00547,electronics
ITEM00548,electronics
ITEM00549,parcel
ITEM00550,vehicle_part
ITEM00551,document
ITEM00552,vehicle_part
ITEM00553,document
ITEM00554,vehicle_part
ITEM00555,parcel
ITEM00556,document
ITEM00557,other
ITEM00558,parcel
ITEM00559,electronics
ITEM00560,electronics
ITEM00561,device
ITEM00562,parcel
ITEM00563,document
ITEM00564,other
ITEM00565,device
ITEM00566,electronics
ITEM00567,parcel
ITEM00568,vehicle_part
ITEM00569,other
ITEM00570,electronics
ITEM00571,vehicle_part
ITEM00572,other
ITEM00573,document
ITEM00574,vehicle_part
ITEM00575,device
ITEM00576,vehicle_part
ITEM00577,electronics
ITEM00578,other
ITEM00579,device
ITEM00580,device
ITEM00581,vehicle_part
ITEM00582,parcel
ITEM00583,device
ITEM00584,device
ITEM00585,document
ITEM00586,electronics
ITEM00587,vehicle_part
ITEM00588,other
ITEM00589,document
ITEM00590,vehicle_part
ITEM00591,vehicle_part
ITEM00592,device
ITEM00593,electronics
ITEM00594,device
ITEM00595,vehicle_part
ITEM00596,device
ITEM00597,parcel
ITEM00598,device
ITEM00599,other
ITEM00600,parcel
ITEM00601,device
ITEM00602,parcel
ITEM00603,vehicle_part
ITEM00604,other
ITEM00605,vehicle_part
ITEM00606,electronics
ITEM00607,parcel
ITEM00608,parcel
ITEM00609,document
ITEM00610,parcel
ITEM00611,electronics
ITEM00612,parcel
ITEM00613,electronics
ITEM00614,electronics
ITEM00615,document
ITEM00616,document
ITEM00617,device
ITEM00618,device
ITEM00619,electronics
ITEM00620,parcel
ITEM00621,document
ITEM00622,electronics
ITEM00623,other
ITEM00624,vehicle_part
ITEM00625,document
ITEM00626,vehicle_part
ITEM00627,other
ITEM00628,parcel
ITEM00629,other
ITEM00630,device
ITEM00631,parcel
ITEM00632,electronics
ITEM00633,other
ITEM00634,document
ITEM00635,vehicle_part
ITEM00636,vehicle_part
ITEM00637,parcel
ITEM00638,document
ITEM00639,parcel
ITEM00640,electronics
ITEM00641,parcel
ITEM00642,vehicle_part
ITEM00643,electronics
ITEM00644,device
ITEM00645,vehicle_part
ITEM00646,vehicle_part
ITEM00647,vehicle_part
ITEM00648,vehicle_part
ITEM00649,vehicle_part
ITEM00650,electronics
ITEM00651,other
ITEM00652,electronics
ITEM00653,document
ITEM00654,vehicle_part
ITEM00655,device
ITEM00656,document
ITEM00657,parcel
ITEM00658,parcel
ITEM00659,document
ITEM00660,document
ITEM00661,other
ITEM00662,device
ITEM00663,vehicle_part
ITEM00664,device
ITEM00665,document
ITEM00666,other
ITEM00667,other
ITEM00668,electronics
ITEM00669,parcel
ITEM00670,parcel
ITEM00671,parcel
ITEM00672,vehicle_part
ITEM00673,electronics
ITEM00674,device
ITEM00675,parcel
ITEM00676,other
ITEM00677,other
ITEM00678,parcel
ITEM00679,parcel
ITEM00680,vehicle_part
ITEM00681,device
ITEM00682,parcel
ITEM00683,document
ITEM00684,other
ITEM00685,parcel
ITEM00686,document
ITEM00687,parcel
ITEM00688,parcel
ITEM00689,electronics
ITEM00690,document
ITEM00691,electronics
ITEM00692,vehicle_part
ITEM00693,other
ITEM00694,device
ITEM00695,other
ITEM00696,other
ITEM00697,electronics
ITEM00698,device
ITEM00699,parcel
ITEM00700,document
ITEM00701,vehicle_part
ITEM00702,vehicle_part
ITEM00703,device
ITEM00704,other
ITEM00705,electronics
ITEM00706,vehicle_part
ITEM00707,device
ITEM00708,device
ITEM00709,document
ITEM00710,parcel
ITEM00711,device
ITEM00712,document
ITEM00713,document
ITEM00714,other
ITEM00715,vehicle_part
ITEM00716,parcel
ITEM00717,parcel
ITEM00718,other
ITEM00719,parcel
ITEM00720,electronics
ITEM00721,other
ITEM00722,parcel
ITEM00723,other
ITEM00724,other
ITEM00725,parcel
ITEM00726,device
ITEM00727,vehicle_part
ITEM00728,parcel
ITEM00729,vehicle_part
ITEM00730,device
ITEM00731,electronics
ITEM00732,vehicle_part
ITEM00733,parcel
ITEM00734,electronics
ITEM00735,parcel
ITEM00736,other
ITEM00737,vehicle_part
ITEM00738,parcel
ITEM00739,other
ITEM00740,other
ITEM00741,document
ITEM00742,parcel
ITEM00743,other
ITEM00744,parcel
ITEM00745,other
ITEM00746,vehicle_part
ITEM00747,vehicle_part
ITEM00748,electronics
ITEM00749,electronics
ITEM00750,parcel
ITEM00751,other
ITEM00752,device
ITEM00753,parcel
ITEM00754,parcel
ITEM00755,parcel
ITEM00756,document
ITEM00757,other
ITEM00758,document
ITEM00759,vehicle_part
ITEM00760,electronics
ITEM00761,device
ITEM00762,electronics
ITEM00763,electronics
ITEM00764,electronics
ITEM00765,device
ITEM00766,other
ITEM00767,document
ITEM00768,vehicle_part
ITEM00769,electronics
ITEM00770,electronics
ITEM00771,device
ITEM00772,device
ITEM00773,document
ITEM00774,vehicle_part
ITEM00775,vehicle_part
ITEM00776,vehicle_part
ITEM00777,parcel
ITEM00778,electronics
ITEM00779,document
ITEM00780,vehicle_part
ITEM00781,device
ITEM00782,device
ITEM00783,other
ITEM00784,electronics
ITEM00785,vehicle_part
ITEM00786,electronics
ITEM00787,electronics
ITEM00788,device
ITEM00789,other
ITEM00790,other
ITEM00791,other
ITEM00792,parcel
ITEM00793,device
ITEM00794,vehicle_part
ITEM00795,device
ITEM00796,electronics
ITEM00797,document
ITEM00798,other
ITEM00799,device
ITEM00800,parcel
ITEM00801,other
ITEM00802,other
ITEM00803,parcel
ITEM00804,parcel
ITEM00805,electronics
ITEM00806,document
ITEM00807,electronics
ITEM00808,parcel
ITEM00809,electronics
ITEM00810,parcel
ITEM00811,electronics
ITEM00812,other
ITEM00813,vehicle_part
ITEM00814,vehicle_part
ITEM00815,vehicle_part
ITEM00816,device
ITEM00817,parcel
ITEM00818,parcel
ITEM00819,document
ITEM00820,document
ITEM00821,other
ITEM00822,device
ITEM00823,document
ITEM00824,document
ITEM00825,electronics
ITEM00826,other
ITEM00827,device
ITEM00828,vehicle_part
ITEM00829,electronics
ITEM00830,document
ITEM00831,other
ITEM00832,other
ITEM00833,other
ITEM00834,other
ITEM00835,vehicle_part
ITEM00836,device
ITEM00837,device
ITEM00838,electronics
ITEM00839,device
ITEM00840,document
ITEM00841,document
ITEM00842,vehicle_part
ITEM00843,parcel
ITEM00844,parcel
ITEM00845,device
ITEM00846,vehicle_part
ITEM00847,parcel
ITEM00848,electronics
ITEM00849,document
ITEM00850,electronics
ITEM00851,device
ITEM00852,parcel
ITEM00853,electronics
ITEM00854,other
ITEM00855,device
ITEM00856,document
ITEM00857,parcel
ITEM00858,other
ITEM00859,document
ITEM00860,vehicle_part
ITEM00861,parcel
ITEM00862,vehicle_part
ITEM00863,parcel
ITEM00864,vehicle_part
ITEM00865,document
ITEM00866,document
ITEM00867,other
ITEM00868,device
ITEM00869,device
ITEM00870,parcel
ITEM00871,electronics
ITEM00872,other
ITEM00873,parcel
ITEM00874,device
ITEM00875,vehicle_part
ITEM00876,parcel
ITEM00877,device
ITEM00878,document
ITEM00879,vehicle_part
ITEM00880,other
ITEM00881,parcel
ITEM00882,document
ITEM00883,vehicle_part
ITEM00884,vehicle_part
ITEM00885,parcel
ITEM00886,document
ITEM00887,vehicle_part
ITEM00888,other
ITEM00889,electronics
ITEM00890,electronics
ITEM00891,document
ITEM00892,parcel
ITEM00893,parcel
ITEM00894,electronics
ITEM00895,other
ITEM00896,document
ITEM00897,device
ITEM00898,vehicle_part
ITEM00899,vehicle_part
ITEM00900,document
