phone_id,owner_person_id,number_token,carrier
PH00196,P00350,NUM_00196,D
PH00197,P00136,NUM_00197,D
PH00198,P00810,NUM_00198,A
PH00199,P00079,NUM_00199,C
PH00200,P00149,NUM_00200,B
PH00201,P00354,NUM_00201,B
PH00202,P00624,NUM_00202,C
PH00203,P00073,NUM_00203,A
PH00204,P00004,NUM_00204,C
PH00205,P00074,NUM_00205,D
PH00206,P00072,NUM_00206,C
PH00207,P00085,NUM_00207,C
PH00208,P00307,NUM_00208,B
PH00209,P00543,NUM_00209,A
PH00210,P00292,NUM_00210,A
PH00211,P00280,NUM_00211,C
PH00212,P00276,NUM_00212,D
PH00213,P00166,NUM_00213,C
PH00214,P00466,NUM_00214,B
PH00215,P00710,NUM_00215,B
PH00216,P00143,NUM_00216,C
PH00217,P00999,NUM_00217,B
PH00218,P00544,NUM_00218,C
PH00219,P00976,NUM_00219,A
PH00220,P00110,NUM_00220,C
PH00221,P00746,NUM_00221,A
PH00222,P00999,NUM_00222,C
PH00223,P00897,NUM_00223,B
PH00224,P00455,NUM_00224,B
PH00225,P00452,NUM_00225,C
PH00226,P00805,NUM_00226,D
PH00227,P00952,NUM_00227,D
PH00228,P00766,NUM_00228,A
PH00229,P00709,NUM_00229,A
PH00230,P00936,NUM_00230,C
PH00231,P00937,NUM_00231,C
PH00232,P00305,NUM_00232,D
PH00233,P00382,NUM_00233,B
PH00234,P00165,NUM_00234,D
PH00235,P00083,NUM_00235,C
PH00236,P00064,NUM_00236,A
PH00237,P00767,NUM_00237,A
PH00238,P00632,NUM_00238,D
PH00239,P00415,NUM_00239,D
PH00240,P00006,NUM_00240,D
PH00241,P00808,NUM_00241,C
PH00242,P00581,NUM_00242,A
PH00243,P00921,NUM_00243,B
PH00244,P00650,NUM_00244,D
PH00245,P00419,NUM_00245,D
PH00246,P00995,NUM_00246,C
PH00247,P00330,NUM_00247,A
PH00248,P00068,NUM_00248,A
PH00249,P00955,NUM_00249,A
PH00250,P00561,NUM_00250,A
PH00251,P00974,NUM_00251,D
PH00252,P00660,NUM_00252,B
PH00253,P00573,NUM_00253,C
PH00254,P00220,NUM_00254,C
PH00255,P00058,NUM_00255,D
PH00256,P00613,NUM_00256,D
PH00257,P00140,NUM_00257,C
PH00258,P00154,NUM_00258,D
PH00259,P00196,NUM_00259,A
PH00260,P00409,NUM_00260,C
PH00261,P00193,NUM_00261,C
PH00262,P00922,NUM_00262,B
PH00263,P00744,NUM_00263,A
PH00264,P00684,NUM_00264,C
PH00265,P00112,NUM_00265,A
PH00266,P00345,NUM_00266,C
PH00267,P00764,NUM_00267,D
PH00268,P00161,NUM_00268,C
PH00269,P00708,NUM_00269,A
PH00270,P00964,NUM_00270,C
PH00271,P00254,NUM_00271,A
PH00272,P00877,NUM_00272,B
PH00273,P00593,NUM_00273,D
PH00274,P00734,NUM_00274,C
PH00275,P00153,NUM_00275,B
PH00276,P00273,NUM_00276,B
PH00277,P00413,NUM_00277,D
PH00278,P00728,NUM_00278,D
PH00279,P00079,NUM_00279,A
PH00280,P00638,NUM_00280,A
PH00281,P00289,NUM_00281,A
PH00282,P00543,NUM_00282,A
PH00283,P00783,NUM_00283,D
PH00284,P00547,NUM_00284,C
PH00285,P00012,NUM_00285,B
PH00286,P00972,NUM_00286,A
PH00287,P00696,NUM_00287,A
PH00288,P00010,NUM_00288,C
PH00289,P00018,NUM_00289,C
PH00290,P00069,NUM_00290,C
PH00291,P00460,NUM_00291,C
PH00292,P00047,NUM_00292,C
PH00293,P00522,NUM_00293,C
PH00294,P00617,NUM_00294,C
PH00295,P00861,NUM_00295,B
PH00296,P00099,NUM_00296,B
PH00297,P00577,NUM_00297,C
PH00298,P00768,NUM_00298,B
PH00299,P00270,NUM_00299,B
PH00300,P00373,NUM_00300,C
PH00301,P00100,NUM_00301,A
PH00302,P00608,NUM_00302,C
PH00303,P00993,NUM_00303,B
PH00304,P00157,NUM_00304,B
PH00305,P00817,NUM_00305,C
PH00306,P00305,NUM_00306,C
PH00307,P00173,NUM_00307,A
PH00308,P00598,NUM_00308,C
PH00309,P00148,NUM_00309,A
PH00310,P00671,NUM_00310,B
PH00311,P00342,NUM_00311,A
PH00312,P00210,NUM_00312,A
PH00313,P00759,NUM_00313,D
PH00314,P00318,NUM_00314,A
PH00315,P00903,NUM_00315,A
PH00316,P00582,NUM_00316,A
PH00317,P00564,NUM_00317,B
PH00318,P00512,NUM_00318,D
PH00319,P00581,NUM_00319,C
PH00320,P00184,NUM_00320,C
PH00321,P00773,NUM_00321,C
PH00322,P00997,NUM_00322,D
PH00323,P00713,NUM_00323,D
PH00324,P00226,NUM_00324,A
PH00325,P00990,NUM_00325,C
PH00326,P00146,NUM_00326,A
PH00327,P00893,NUM_00327,C
PH00328,P00685,NUM_00328,B
PH00329,P00739,NUM_00329,C
PH00330,P00533,NUM_00330,B
PH00331,P00462,NUM_00331,D
PH00332,P00464,NUM_00332,B
PH00333,P00701,NUM_00333,C
PH00334,P00156,NUM_00334,A
PH00335,P00186,NUM_00335,B
PH00336,P00412,NUM_00336,B
PH00337,P00847,NUM_00337,C
PH00338,P00029,NUM_00338,B
PH00339,P00738,NUM_00339,D
PH00340,P00939,NUM_00340,D
PH00341,P00326,NUM_00341,C
PH00342,P00676,NUM_00342,D
PH00343,P00695,NUM_00343,A
PH00344,P00727,NUM_00344,A
PH00345,P00885,NUM_00345,C
PH00346,P00996,NUM_00346,C
PH00347,P00809,NUM_00347,A
PH00348,P00574,NUM_00348,A
PH00349,P00375,NUM_00349,C
PH00350,P00672,NUM_00350,A
PH00351,P00947,NUM_00351,B
PH00352,P00722,NUM_00352,B
PH00353,P00335,NUM_00353,A
PH00354,P00786,NUM_00354,D
PH00355,P00677,NUM_00355,D
PH00356,P00009,NUM_00356,A
PH00357,P00726,NUM_00357,A
PH00358,P00915,NUM_00358,C
PH00359,P00849,NUM_00359,B
PH00360,P00527,NUM_00360,B
PH00361,P00457,NUM_00361,C
PH00362,P00417,NUM_00362,D
PH00363,P00627,NUM_00363,D
PH00364,P00676,NUM_00364,A
PH00365,P00587,NUM_00365,A
PH00366,P00865,NUM_00366,A
PH00367,P00330,NUM_00367,C
PH00368,P00440,NUM_00368,B
PH00369,P00321,NUM_00369,D
PH00370,P00389,NUM_00370,D
PH00371,P00257,NUM_00371,C
PH00372,P00356,NUM_00372,A
PH00373,P00742,NUM_00373,D
PH00374,P00992,NUM_00374,C
PH00375,P00031,NUM_00375,A
PH00376,P00555,NUM_00376,D
PH00377,P00126,NUM_00377,D
PH00378,P00813,NUM_00378,D
PH00379,P00772,NUM_00379,A
PH00380,P00089,NUM_00380,D
PH00381,P00758,NUM_00381,C
PH00382,P00920,NUM_00382,B
PH00383,P00871,NUM_00383,B
PH00384,P00229,NUM_00384,A
PH00385,P00401,NUM_00385,A
PH00386,P00363,NUM_00386,A
PH00387,P00303,NUM_00387,A
PH00388,P00801,NUM_00388,B
PH00389,P00678,NUM_00389,D
PH00390,P00430,NUM_00390,A
PH00391,P00795,NUM_00391,C
PH00392,P00147,NUM_00392,D
PH00393,P00051,NUM_00393,B
PH00394,P00802,NUM_00394,B
PH00395,P00706,NUM_00395,C
PH00396,P00269,NUM_00396,B
PH00397,P00651,NUM_00397,B
PH00398,P00657,NUM_00398,A
PH00399,P00577,NUM_00399,D
PH00400,P00507,NUM_00400,D
PH00401,P00883,NUM_00401,B
PH00402,P00429,NUM_00402,C
PH00403,P00119,NUM_00403,A
PH00404,P00256,NUM_00404,A
PH00405,P00513,NUM_00405,D
PH00406,P00272,NUM_00406,D
PH00407,P00295,NUM_00407,D
PH00408,P00934,NUM_00408,C
PH00409,P00246,NUM_00409,B
PH00410,P00443,NUM_00410,B
PH00411,P00212,NUM_00411,A
PH00412,P00189,NUM_00412,B
PH00413,P00766,NUM_00413,C
PH00414,P00797,NUM_00414,A
PH00415,P00094,NUM_00415,B
PH00416,P00105,NUM_00416,A
PH00417,P00523,NUM_00417,C
PH00418,P00371,NUM_00418,A
PH00419,P00793,NUM_00419,D
PH00420,P00853,NUM_00420,C
PH00421,P00953,NUM_00421,C
PH00422,P00025,NUM_00422,A
PH00423,P00492,NUM_00423,B
PH00424,P00655,NUM_00424,B
PH00425,P00520,NUM_00425,B
PH00426,P00331,NUM_00426,D
PH00427,P00456,NUM_00427,B
PH00428,P00289,NUM_00428,B
PH00429,P00496,NUM_00429,B
PH00430,P00049,NUM_00430,D
PH00431,P00771,NUM_00431,C
PH00432,P00304,NUM_00432,B
PH00433,P00873,NUM_00433,C
PH00434,P00346,NUM_00434,A
PH00435,P00896,NUM_00435,B
PH00436,P00756,NUM_00436,B
PH00437,P00653,NUM_00437,B
PH00438,P00562,NUM_00438,B
PH00439,P00822,NUM_00439,C
PH00440,P00284,NUM_00440,D
PH00441,P00057,NUM_00441,C
PH00442,P00776,NUM_00442,C
PH00443,P00875,NUM_00443,A
PH00444,P00659,NUM_00444,B
PH00445,P00484,NUM_00445,C
PH00446,P00288,NUM_00446,C
PH00447,P00835,NUM_00447,A
PH00448,P00408,NUM_00448,D
PH00449,P00559,NUM_00449,D
PH00450,P00174,NUM_00450,A
PH00451,P00217,NUM_00451,A
PH00452,P00881,NUM_00452,B
PH00453,P00731,NUM_00453,D
PH00454,P00074,NUM_00454,A
PH00455,P00976,NUM_00455,A
PH00456,P00977,NUM_00456,B
PH00457,P00416,NUM_00457,A
PH00458,P00642,NUM_00458,C
PH00459,P00426,NUM_00459,D
PH00460,P00410,NUM_00460,C
PH00461,P00024,NUM_00461,D
PH00462,P00234,NUM_00462,C
PH00463,P00927,NUM_00463,B
PH00464,P00612,NUM_00464,B
PH00465,P00879,NUM_00465,A
PH00466,P00518,NUM_00466,A
PH00467,P00528,NUM_00467,B
PH00468,P00770,NUM_00468,C
PH00469,P00814,NUM_00469,C
PH00470,P00940,NUM_00470,A
PH00471,P00491,NUM_00471,A
PH00472,P00951,NUM_00472,B
PH00473,P00001,NUM_00473,A
PH00474,P00022,NUM_00474,B
PH00475,P00560,NUM_00475,B
PH00476,P00689,NUM_00476,A
PH00477,P00139,NUM_00477,B
PH00478,P00401,NUM_00478,C
PH00479,P00446,NUM_00479,C
PH00480,P00626,NUM_00480,B
PH00481,P00873,NUM_00481,B
PH00482,P00195,NUM_00482,A
PH00483,P00925,NUM_00483,C
PH00484,P00715,NUM_00484,C
PH00485,P00434,NUM_00485,A
PH00486,P00818,NUM_00486,A
PH00487,P00942,NUM_00487,B
PH00488,P00774,NUM_00488,A
PH00489,P00975,NUM_00489,D
PH00490,P00537,NUM_00490,A
PH00491,P00503,NUM_00491,C
PH00492,P00511,NUM_00492,D
PH00493,P00175,NUM_00493,A
PH00494,P00214,NUM_00494,D
PH00495,P00790,NUM_00495,B
PH00496,P00750,NUM_00496,C
PH00497,P00468,NUM_00497,D
PH00498,P00568,NUM_00498,B
PH00499,P00902,NUM_00499,D
PH00500,P00197,NUM_00500,B
PH00501,P00688,NUM_00501,A
PH00502,P00545,NUM_00502,B
PH00503,P00490,NUM_00503,B
PH00504,P00526,NUM_00504,A
PH00505,P00140,NUM_00505,B
PH00506,P00314,NUM_00506,C
PH00507,P00987,NUM_00507,A
PH00508,P00782,NUM_00508,D
PH00509,P00427,NUM_00509,C
PH00510,P00431,NUM_00510,C
PH00511,P00329,NUM_00511,B
PH00512,P00958,NUM_00512,C
PH00513,P00547,NUM_00513,C
PH00514,P00763,NUM_00514,A
PH00515,P00863,NUM_00515,D
PH00516,P00670,NUM_00516,D
PH00517,P00167,NUM_00517,D
PH00518,P00636,NUM_00518,A
PH00519,P00099,NUM_00519,C
PH00520,P00474,NUM_00520,A
PH00521,P00271,NUM_00521,A
PH00522,P00132,NUM_00522,A
PH00523,P00479,NUM_00523,A
PH00524,P00704,NUM_00524,B
PH00525,P00594,NUM_00525,C
PH00526,P00649,NUM_00526,D
PH00527,P00194,NUM_00527,D
PH00528,P00108,NUM_00528,A
PH00529,P00576,NUM_00529,A
PH00530,P00445,NUM_00530,C
PH00531,P00827,NUM_00531,C
PH00532,P00274,NUM_00532,D
PH00533,P00973,NUM_00533,A
PH00534,P00572,NUM_00534,A
PH00535,P00579,NUM_00535,C
PH00536,P00762,NUM_00536,C
PH00537,P00424,NUM_00537,B
PH00538,P00307,NUM_00538,C
PH00539,P00241,NUM_00539,B
PH00540,P00111,NUM_00540,B
PH00541,P00690,NUM_00541,C
PH00542,P00495,NUM_00542,D
PH00543,P00525,NUM_00543,B
PH00544,P00842,NUM_00544,A
PH00545,P00053,NUM_00545,D
PH00546,P00129,NUM_00546,B
PH00547,P00448,NUM_00547,B
PH00548,P00752,NUM_00548,C
PH00549,P00336,NUM_00549,A
PH00550,P00873,NUM_00550,D
PH00551,P00064,NUM_00551,C
PH00552,P00055,NUM_00552,A
PH00553,P00640,NUM_00553,C
PH00554,P00647,NUM_00554,A
PH00555,P00420,NUM_00555,D
PH00556,P00209,NUM_00556,A
PH00557,P00962,NUM_00557,C
PH00558,P00778,NUM_00558,A
PH00559,P00600,NUM_00559,A
PH00560,P00050,NUM_00560,A
PH00561,P00044,NUM_00561,B
PH00562,P00740,NUM_00562,A
PH00563,P00634,NUM_00563,D
PH00564,P00131,NUM_00564,B
PH00565,P00023,NUM_00565,A
PH00566,P00099,NUM_00566,C
PH00567,P00203,NUM_00567,D
PH00568,P00661,NUM_00568,A
PH00569,P00162,NUM_00569,D
PH00570,P00169,NUM_00570,C
PH00571,P01000,NUM_00571,B
PH00572,P00680,NUM_00572,D
PH00573,P00700,NUM_00573,C
PH00574,P00013,NUM_00574,B
PH00575,P00625,NUM_00575,C
PH00576,P00183,NUM_00576,D
PH00577,P00463,NUM_00577,A
PH00578,P00989,NUM_00578,A
PH00579,P00906,NUM_00579,D
PH00580,P00320,NUM_00580,C
PH00581,P00854,NUM_00581,D
PH00582,P00551,NUM_00582,A
PH00583,P00727,NUM_00583,B
PH00584,P00159,NUM_00584,A
PH00585,P00245,NUM_00585,C
PH00586,P00644,NUM_00586,A
PH00587,P00498,NUM_00587,A
PH00588,P00390,NUM_00588,B
PH00589,P00373,NUM_00589,D
PH00590,P00901,NUM_00590,B
PH00591,P00223,NUM_00591,A
PH00592,P00244,NUM_00592,B
PH00593,P00749,NUM_00593,B
PH00594,P00779,NUM_00594,A
PH00595,P00588,NUM_00595,D
PH00596,P00707,NUM_00596,A
PH00597,P00369,NUM_00597,A
PH00598,P00850,NUM_00598,B
PH00599,P00716,NUM_00599,B
PH00600,P00720,NUM_00600,D
PH00601,P00633,NUM_00601,C
PH00602,P00694,NUM_00602,D
PH00603,P00180,NUM_00603,B
PH00604,P00122,NUM_00604,B
PH00605,P00775,NUM_00605,D
PH00606,P00158,NUM_00606,B
PH00607,P00478,NUM_00607,D
PH00608,P00077,NUM_00608,B
PH00609,P00541,NUM_00609,D
PH00610,P00882,NUM_00610,A
PH00611,P00691,NUM_00611,D
PH00612,P00724,NUM_00612,A
PH00613,P00331,NUM_00613,C
PH00614,P00514,NUM_00614,C
PH00615,P00322,NUM_00615,A
PH00616,P00761,NUM_00616,C
PH00617,P00008,NUM_00617,A
PH00618,P00201,NUM_00618,A
PH00619,P00044,NUM_00619,D
PH00620,P00232,NUM_00620,D
PH00621,P00745,NUM_00621,B
PH00622,P00107,NUM_00622,A
PH00623,P00715,NUM_00623,B
PH00624,P00911,NUM_00624,A
PH00625,P00566,NUM_00625,C
PH00626,P00652,NUM_00626,A
PH00627,P00858,NUM_00627,C
PH00628,P00438,NUM_00628,B
PH00629,P00597,NUM_00629,A
PH00630,P00267,NUM_00630,B
PH00631,P00123,NUM_00631,D
PH00632,P00179,NUM_00632,D
PH00633,P00737,NUM_00633,D
PH00634,P00611,NUM_00634,A
PH00635,P00732,NUM_00635,A
PH00636,P00980,NUM_00636,D
PH00637,P00991,NUM_00637,B
PH00638,P00856,NUM_00638,A
PH00639,P00582,NUM_00639,B
PH00640,P00065,NUM_00640,A
PH00641,P00960,NUM_00641,A
PH00642,P00910,NUM_00642,A
PH00643,P00211,NUM_00643,A
PH00644,P00777,NUM_00644,C
PH00645,P00857,NUM_00645,C
PH00646,P00703,NUM_00646,C
PH00647,P00216,NUM_00647,A
PH00648,P00894,NUM_00648,B
PH00649,P00794,NUM_00649,B
PH00650,P00224,NUM_00650,C
PH00651,P00312,NUM_00651,D
PH00652,P00829,NUM_00652,A
PH00653,P00088,NUM_00653,A
PH00654,P00054,NUM_00654,C
PH00655,P00969,NUM_00655,D
PH00656,P00934,NUM_00656,B
PH00657,P00268,NUM_00657,A
PH00658,P00575,NUM_00658,D
PH00659,P00945,NUM_00659,A
PH00660,P00417,NUM_00660,D
PH00661,P00721,NUM_00661,C
PH00662,P00378,NUM_00662,D
PH00663,P00412,NUM_00663,B
PH00664,P00938,NUM_00664,C
PH00665,P00628,NUM_00665,D
PH00666,P00505,NUM_00666,A
PH00667,P00231,NUM_00667,B
PH00668,P00577,NUM_00668,B
PH00669,P00482,NUM_00669,A
PH00670,P00891,NUM_00670,B
PH00671,P00774,NUM_00671,A
PH00672,P00643,NUM_00672,C
PH00673,P00623,NUM_00673,A
PH00674,P00422,NUM_00674,C
PH00675,P00300,NUM_00675,B
PH00676,P00788,NUM_00676,B
PH00677,P00197,NUM_00677,C
PH00678,P00374,NUM_00678,D
PH00679,P00832,NUM_00679,D
PH00680,P00185,NUM_00680,D
PH00681,P00406,NUM_00681,A
PH00682,P00327,NUM_00682,B
PH00683,P00780,NUM_00683,D
PH00684,P00376,NUM_00684,C
PH00685,P00514,NUM_00685,D
PH00686,P00383,NUM_00686,A
PH00687,P00988,NUM_00687,A
PH00688,P00615,NUM_00688,D
PH00689,P00263,NUM_00689,A
PH00690,P00602,NUM_00690,C
PH00691,P00109,NUM_00691,B
PH00692,P00104,NUM_00692,D
PH00693,P00880,NUM_00693,B
PH00694,P00296,NUM_00694,C
PH00695,P00043,NUM_00695,A
PH00696,P00656,NUM_00696,A
PH00697,P00237,NUM_00697,B
PH00698,P00985,NUM_00698,C
PH00699,P00899,NUM_00699,D
PH00700,P00011,NUM_00700,A
PH00701,P00851,NUM_00701,D
PH00702,P00952,NUM_00702,B
PH00703,P00606,NUM_00703,A
PH00704,P00494,NUM_00704,A
PH00705,P00227,NUM_00705,D
PH00706,P00596,NUM_00706,B
PH00707,P00101,NUM_00707,D
PH00708,P00712,NUM_00708,B
PH00709,P00646,NUM_00709,C
PH00710,P00118,NUM_00710,C
PH00711,P00343,NUM_00711,C
PH00712,P00978,NUM_00712,B
PH00713,P00807,NUM_00713,A
PH00714,P00402,NUM_00714,D
PH00715,P00224,NUM_00715,C
PH00716,P00827,NUM_00716,D
PH00717,P00558,NUM_00717,A
PH00718,P00675,NUM_00718,C
PH00719,P00727,NUM_00719,D
PH00720,P00364,NUM_00720,A
PH00721,P00839,NUM_00721,B
PH00722,P00601,NUM_00722,A
PH00723,P00658,NUM_00723,B
PH00724,P00862,NUM_00724,C
PH00725,P00144,NUM_00725,A
PH00726,P00931,NUM_00726,C
PH00727,P00821,NUM_00727,C
PH00728,P00291,NUM_00728,B
PH00729,P00634,NUM_00729,C
PH00730,P00751,NUM_00730,C
PH00731,P00291,NUM_00731,B
PH00732,P00366,NUM_00732,A
PH00733,P00164,NUM_00733,B
PH00734,P00561,NUM_00734,B
PH00735,P00078,NUM_00735,D
PH00736,P00667,NUM_00736,D
PH00737,P00332,NUM_00737,B
PH00738,P00193,NUM_00738,A
PH00739,P00120,NUM_00739,B
PH00740,P00845,NUM_00740,D
PH00741,P00812,NUM_00741,D
PH00742,P00605,NUM_00742,A
PH00743,P00252,NUM_00743,B
PH00744,P00032,NUM_00744,B
PH00745,P00335,NUM_00745,C
PH00746,P00225,NUM_00746,D
PH00747,P00697,NUM_00747,B
PH00748,P00557,NUM_00748,C
PH00749,P00097,NUM_00749,C
PH00750,P00239,NUM_00750,A
PH00751,P00508,NUM_00751,A
PH00752,P00917,NUM_00752,C
PH00753,P00090,NUM_00753,C
PH00754,P00098,NUM_00754,A
PH00755,P00299,NUM_00755,C
PH00756,P00725,NUM_00756,C
PH00757,P00249,NUM_00757,A
PH00758,P00337,NUM_00758,C
PH00759,P00692,NUM_00759,C
PH00760,P00721,NUM_00760,C
PH00761,P00435,NUM_00761,A
PH00762,P00207,NUM_00762,D
PH00763,P00604,NUM_00763,A
PH00764,P00632,NUM_00764,A
PH00765,P00040,NUM_00765,C
PH00766,P00901,NUM_00766,A
PH00767,P00837,NUM_00767,A
PH00768,P00423,NUM_00768,D
PH00769,P00758,NUM_00769,B
PH00770,P00552,NUM_00770,C
PH00771,P00486,NUM_00771,C
PH00772,P00233,NUM_00772,B
PH00773,P00706,NUM_00773,C
PH00774,P00592,NUM_00774,A
PH00775,P00638,NUM_00775,A
