geo_event_id,person_id,location_id,timestamp,event_type,source_confidence
GEO000074,P00891,LOC0158,2026-08-06 23:41:00,entered,0.96
GEO000075,P00235,LOC0072,2026-06-15 02:15:00,seen,0.86
GEO000076,P00540,LOC0119,2026-05-08 03:14:00,exited,0.92
GEO000077,P00895,LOC0028,2026-03-27 19:30:00,seen,0.66
GEO000078,P00726,LOC0048,2026-02-11 05:34:00,seen,0.89
GEO000079,P00922,LOC0092,2026-01-23 01:49:00,exited,0.79
GEO000080,P00999,LOC0148,2026-05-24 23:23:00,entered,0.92
GEO000081,P00988,LOC0054,2026-02-06 02:21:00,exited,0.89
GEO000082,P00969,LOC0061,2026-04-04 21:15:00,entered,0.97
GEO000083,P00697,LOC0171,2026-05-03 17:14:00,entered,0.97
GEO000084,P00897,LOC0076,2026-07-07 19:23:00,exited,0.86
GEO000085,P00443,LOC0101,2026-04-05 16:51:00,seen,0.69
GEO000086,P00642,LOC0126,2026-02-13 13:39:00,entered,0.84
GEO000087,P00656,LOC0005,2026-08-23 19:46:00,entered,0.94
GEO000088,P00832,LOC0037,2026-07-31 16:25:00,stayed,0.9
GEO000089,P00884,LOC0127,2026-07-28 18:07:00,seen,0.92
GEO000090,P00044,LOC0141,2026-04-08 18:19:00,seen,0.73
GEO000091,P00314,LOC0086,2026-05-28 10:31:00,stayed,0.8
GEO000092,P00978,LOC0064,2026-01-09 14:47:00,exited,0.76
GEO000093,P00496,LOC0160,2026-04-06 20:16:00,stayed,0.93
GEO000094,P00577,LOC0165,2026-04-11 00:42:00,entered,0.81
GEO000095,P00861,LOC0040,2026-02-23 07:51:00,entered,0.81
GEO000096,P00657,LOC0056,2026-06-05 11:25:00,seen,0.67
GEO000097,P00538,LOC0109,2026-06-02 08:48:00,seen,0.85
GEO000098,P00089,LOC0066,2026-08-03 13:54:00,exited,0.78
GEO000099,P00175,LOC0017,2026-03-26 00:26:00,stayed,0.85
GEO000100,P00156,LOC0029,2026-05-05 11:26:00,stayed,0.84
GEO000101,P00451,LOC0070,2026-02-12 20:38:00,stayed,0.67
GEO000102,P00781,LOC0005,2026-02-16 15:19:00,stayed,0.67
GEO000103,P00900,LOC0024,2026-08-31 00:13:00,stayed,0.8
GEO000104,P00127,LOC0032,2026-06-06 00:59:00,stayed,0.7
GEO000105,P00498,LOC0004,2026-01-07 03:39:00,exited,0.82
GEO000106,P00588,LOC0144,2026-05-02 18:45:00,stayed,0.77
GEO000107,P00854,LOC0120,2026-04-12 12:20:00,exited,0.81
GEO000108,P00948,LOC0108,2026-07-06 10:01:00,stayed,0.76
GEO000109,P00860,LOC0086,2026-02-09 14:22:00,entered,0.8
GEO000110,P00397,LOC0084,2026-01-29 18:22:00,seen,0.67
GEO000111,P00736,LOC0157,2026-04-16 11:41:00,exited,0.8
GEO000112,P00831,LOC0129,2026-06-25 05:23:00,entered,0.78
GEO000113,P00641,LOC0115,2026-03-29 20:41:00,seen,0.98
GEO000114,P00332,LOC0162,2026-08-07 22:40:00,stayed,0.73
GEO000115,P00770,LOC0085,2026-07-23 20:51:00,entered,0.69
GEO000116,P00222,LOC0173,2026-03-20 20:59:00,seen,0.93
GEO000117,P00041,LOC0067,2026-05-21 14:39:00,stayed,0.96
GEO000118,P00249,LOC0060,2026-04-09 00:21:00,stayed,0.68
GEO000119,P00200,LOC0041,2026-08-09 19:35:00,seen,0.85
GEO000120,P00363,LOC0011,2026-08-04 20:37:00,seen,0.83
GEO000121,P00569,LOC0127,2026-02-13 03:01:00,exited,0.69
GEO000122,P00218,LOC0048,2026-04-01 02:31:00,stayed,0.71
GEO000123,P00424,LOC0036,2026-03-29 17:38:00,exited,0.98
GEO000124,P00793,LOC0019,2026-07-05 19:55:00,stayed,0.72
GEO000125,P00741,LOC0146,2026-07-26 10:05:00,entered,0.87
GEO000126,P00509,LOC0134,2026-07-06 18:01:00,exited,0.8
GEO000127,P00005,LOC0040,2026-05-30 13:23:00,stayed,0.95
GEO000128,P00874,LOC0129,2026-04-04 12:02:00,exited,0.74
GEO000129,P00263,LOC0151,2026-05-10 20:16:00,entered,0.68
GEO000130,P00803,LOC0178,2026-07-06 06:09:00,stayed,0.67
GEO000131,P00931,LOC0044,2026-06-30 19:10:00,seen,0.67
GEO000132,P00594,LOC0031,2026-01-24 19:27:00,exited,0.78
GEO000133,P00392,LOC0110,2026-03-03 17:15:00,stayed,0.82
GEO000134,P00018,LOC0175,2026-03-14 12:38:00,entered,0.93
GEO000135,P00913,LOC0170,2026-04-02 17:48:00,exited,0.79
GEO000136,P00866,LOC0049,2026-08-15 07:53:00,stayed,0.87
GEO000137,P00935,LOC0106,2026-07-24 19:52:00,entered,0.75
GEO000138,P00707,LOC0113,2026-03-13 10:10:00,seen,0.94
GEO000139,P00071,LOC0045,2026-08-06 02:36:00,stayed,0.97
GEO000140,P00394,LOC0035,2026-04-04 08:25:00,exited,0.99
GEO000141,P00662,LOC0150,2026-02-12 09:01:00,stayed,0.8
GEO000142,P00821,LOC0127,2026-05-23 15:04:00,entered,0.71
GEO000143,P00511,LOC0049,2026-03-23 14:43:00,exited,0.99
GEO000144,P00023,LOC0119,2026-07-24 05:50:00,exited,0.97
GEO000145,P00983,LOC0137,2026-01-08 21:53:00,seen,0.72
GEO000146,P00520,LOC0174,2026-05-03 23:39:00,entered,0.66
GEO000147,P00209,LOC0161,2026-08-26 19:46:00,seen,0.91
GEO000148,P00194,LOC0131,2026-01-15 12:22:00,stayed,0.8
GEO000149,P00616,LOC0114,2026-01-25 01:05:00,exited,0.66
GEO000150,P00135,LOC0052,2026-05-17 14:42:00,exited,0.83
GEO000151,P00895,LOC0108,2026-05-15 20:52:00,seen,0.72
GEO000152,P00638,LOC0052,2026-04-21 18:51:00,seen,0.72
GEO000153,P00570,LOC0164,2026-01-18 00:24:00,seen,0.68
GEO000154,P00185,LOC0143,2026-08-04 22:07:00,exited,0.88
GEO000155,P00658,LOC0039,2026-07-30 22:36:00,seen,0.79
GEO000156,P00918,LOC0020,2026-01-27 11:37:00,exited,0.71
GEO000157,P00385,LOC0056,2026-04-11 20:44:00,exited,0.84
GEO000158,P00885,LOC0132,2026-04-08 21:32:00,stayed,0.85
GEO000159,P00724,LOC0113,2026-08-23 20:00:00,seen,0.76
GEO000160,P00899,LOC0147,2026-08-29 18:44:00,seen,0.66
GEO000161,P00316,LOC0006,2026-08-26 04:26:00,stayed,0.99
GEO000162,P00390,LOC0128,2026-07-15 09:15:00,entered,0.69
GEO000163,P00703,LOC0133,2026-01-10 12:43:00,entered,0.7
GEO000164,P00472,LOC0172,2026-03-25 18:29:00,seen,0.79
GEO000165,P00482,LOC0047,2026-01-08 05:34:00,stayed,0.88
GEO000166,P00743,LOC0010,2026-03-15 03:51:00,entered,0.66
GEO000167,P00560,LOC0113,2026-06-12 20:34:00,seen,0.76
GEO000168,P00941,LOC0046,2026-01-09 01:49:00,seen,0.85
GEO000169,P00935,LOC0038,2026-01-02 23:29:00,entered,0.68
GEO000170,P00011,LOC0128,2026-06-07 07:57:00,stayed,0.84
GEO000171,P00124,LOC0130,2026-04-24 21:12:00,exited,0.93
GEO000172,P00661,LOC0057,2026-05-02 17:21:00,seen,0.91
GEO000173,P00020,LOC0116,2026-01-10 10:23:00,exited,0.88
GEO000174,P00070,LOC0152,2026-04-05 20:15:00,seen,0.97
GEO000175,P00347,LOC0071,2026-02-10 18:08:00,entered,0.99
GEO000176,P00772,LOC0169,2026-08-31 23:47:00,exited,0.75
GEO000177,P00639,LOC0029,2026-05-10 06:03:00,stayed,0.67
GEO000178,P00323,LOC0118,2026-03-13 17:23:00,exited,0.9
GEO000179,P00574,LOC0025,2026-02-09 04:03:00,entered,0.7
GEO000180,P00467,LOC0059,2026-03-10 16:36:00,stayed,0.84
GEO000181,P00337,LOC0017,2026-01-21 12:21:00,exited,0.76
GEO000182,P00290,LOC0111,2026-03-03 14:09:00,exited,0.86
GEO000183,P00913,LOC0170,2026-04-10 21:43:00,stayed,0.94
GEO000184,P00251,LOC0144,2026-05-16 01:44:00,exited,0.97
GEO000185,P00085,LOC0063,2026-07-13 18:11:00,seen,0.98
GEO000186,P00070,LOC0180,2026-06-21 00:09:00,entered,0.74
GEO000187,P00158,LOC0096,2026-08-24 11:19:00,stayed,0.85
GEO000188,P00397,LOC0136,2026-04-08 08:57:00,exited,0.68
GEO000189,P00512,LOC0140,2026-08-03 06:08:00,entered,0.67
GEO000190,P00602,LOC0062,2026-07-23 05:22:00,stayed,0.76
GEO000191,P00903,LOC0053,2026-01-08 16:00:00,entered,0.76
GEO000192,P00763,LOC0108,2026-05-01 01:37:00,entered,0.66
GEO000193,P00763,LOC0091,2026-01-05 14:29:00,stayed,0.88
GEO000194,P00824,LOC0010,2026-03-15 18:48:00,exited,0.79
GEO000195,P00530,LOC0074,2026-05-14 09:03:00,exited,0.71
GEO000196,P00263,LOC0180,2026-07-30 04:53:00,seen,0.69
GEO000197,P00965,LOC0078,2026-03-27 08:26:00,stayed,0.73
GEO000198,P00458,LOC0050,2026-05-25 20:45:00,entered,0.76
GEO000199,P00431,LOC0001,2026-04-25 00:52:00,exited,0.8
GEO000200,P00629,LOC0029,2026-07-10 16:51:00,exited,0.77
GEO000201,P00911,LOC0055,2026-04-30 06:48:00,entered,0.97
GEO000202,P00787,LOC0052,2026-01-02 17:53:00,exited,0.76
GEO000203,P00084,LOC0110,2026-02-13 00:40:00,seen,0.74
GEO000204,P00556,LOC0023,2026-06-22 00:37:00,stayed,0.81
GEO000205,P00747,LOC0070,2026-06-17 15:45:00,stayed,0.82
GEO000206,P00699,LOC0067,2026-02-14 20:43:00,stayed,0.68
GEO000207,P00759,LOC0048,2026-06-16 05:16:00,stayed,0.72
GEO000208,P00418,LOC0153,2026-08-01 03:17:00,exited,0.87
GEO000209,P00155,LOC0013,2026-07-17 18:35:00,seen,0.89
GEO000210,P00575,LOC0146,2026-08-14 22:14:00,seen,0.73
GEO000211,P00520,LOC0166,2026-03-13 02:23:00,exited,0.7
GEO000212,P00497,LOC0018,2026-01-10 02:10:00,entered,0.88
GEO000213,P00549,LOC0108,2026-04-14 04:01:00,stayed,0.73
GEO000214,P00308,LOC0112,2026-08-22 02:44:00,stayed,0.94
GEO000215,P00585,LOC0088,2026-08-28 02:29:00,entered,0.93
GEO000216,P00931,LOC0015,2026-08-10 00:39:00,stayed,0.71
GEO000217,P00862,LOC0057,2026-01-27 17:28:00,entered,0.73
GEO000218,P00214,LOC0111,2026-03-26 14:31:00,seen,0.96
GEO000219,P00567,LOC0012,2026-01-11 22:17:00,seen,0.97
GEO000220,P00082,LOC0039,2026-02-22 12:29:00,entered,0.78
GEO000221,P00858,LOC0146,2026-05-06 22:33:00,seen,0.94
GEO000222,P00072,LOC0056,2026-08-15 23:37:00,entered,0.8
GEO000223,P00336,LOC0062,2026-03-28 18:51:00,stayed,0.74
GEO000224,P00883,LOC0110,2026-03-21 10:52:00,seen,0.94
GEO000225,P00363,LOC0091,2026-07-04 17:45:00,entered,0.95
GEO000226,P00379,LOC0081,2026-03-20 00:49:00,exited,0.77
GEO000227,P00758,LOC0106,2026-03-31 18:27:00,entered,0.94
GEO000228,P00943,LOC0099,2026-01-16 02:39:00,exited,0.85
GEO000229,P00177,LOC0050,2026-06-01 17:42:00,exited,0.72
GEO000230,P00721,LOC0053,2026-01-20 21:19:00,seen,0.92
GEO000231,P00390,LOC0001,2026-07-23 04:21:00,seen,0.91
GEO000232,P00698,LOC0056,2026-03-03 22:16:00,entered,0.92
GEO000233,P00110,LOC0174,2026-02-19 18:17:00,seen,0.86
GEO000234,P00791,LOC0063,2026-05-26 21:08:00,exited,0.91
GEO000235,P00913,LOC0023,2026-01-24 16:44:00,exited,0.68
GEO000236,P00735,LOC0092,2026-03-01 13:16:00,stayed,0.65
GEO000237,P00866,LOC0170,2026-08-04 07:54:00,stayed,0.73
GEO000238,P00800,LOC0103,2026-07-27 16:40:00,seen,0.94
GEO000239,P00344,LOC0155,2026-03-12 22:09:00,exited,0.72
GEO000240,P00447,LOC0062,2026-02-16 09:32:00,stayed,0.86
GEO000241,P00957,LOC0155,2026-04-17 07:56:00,seen,0.86
GEO000242,P00553,LOC0155,2026-08-26 10:59:00,entered,0.9
GEO000243,P00659,LOC0136,2026-05-18 12:41:00,exited,0.94
GEO000244,P00876,LOC0163,2026-07-27 17:55:00,entered,0.71
GEO000245,P00595,LOC0072,2026-04-25 21:11:00,seen,0.69
GEO000246,P00325,LOC0046,2026-07-25 23:44:00,exited,0.96
GEO000247,P00658,LOC0180,2026-03-05 19:53:00,exited,0.78
GEO000248,P00704,LOC0167,2026-01-29 15:06:00,entered,0.7
GEO000249,P00595,LOC0136,2026-01-14 04:00:00,exited,0.86
GEO000250,P00047,LOC0093,2026-05-13 15:49:00,exited,0.67
GEO000251,P00610,LOC0077,2026-04-11 03:03:00,seen,0.88
GEO000252,P00700,LOC0059,2026-04-22 15:50:00,exited,0.73
GEO000253,P00430,LOC0178,2026-06-05 00:31:00,seen,0.98
GEO000254,P00685,LOC0008,2026-03-19 16:44:00,seen,0.79
GEO000255,P00065,LOC0016,2026-04-04 12:36:00,stayed,0.96
GEO000256,P00520,LOC0104,2026-06-08 16:32:00,seen,0.65
GEO000257,P00598,LOC0104,2026-05-09 03:02:00,entered,0.67
GEO000258,P00036,LOC0091,2026-04-17 18:20:00,stayed,0.68
GEO000259,P00906,LOC0119,2026-05-14 06:17:00,exited,0.88
GEO000260,P00300,LOC0044,2026-01-02 05:05:00,seen,0.76
GEO000261,P00549,LOC0048,2026-03-12 17:09:00,seen,0.73
GEO000262,P00959,LOC0012,2026-02-27 09:48:00,entered,0.85
GEO000263,P00528,LOC0113,2026-01-23 04:01:00,seen,0.88
GEO000264,P00900,LOC0083,2026-03-08 20:21:00,seen,0.9
GEO000265,P00530,LOC0059,2026-03-07 03:28:00,exited,0.7
GEO000266,P00900,LOC0104,2026-03-17 08:57:00,exited,0.68
GEO000267,P00491,LOC0039,2026-03-29 23:08:00,exited,0.72
GEO000268,P00041,LOC0143,2026-06-22 05:08:00,entered,0.83
GEO000269,P00926,LOC0032,2026-01-12 19:08:00,exited,0.91
GEO000270,P00549,LOC0168,2026-08-26 02:44:00,exited,0.84
GEO000271,P00832,LOC0145,2026-04-10 07:23:00,stayed,0.88
GEO000272,P00732,LOC0002,2026-08-17 11:38:00,exited,0.66
GEO000273,P00700,LOC0088,2026-01-10 19:56:00,entered,0.82
GEO000274,P00333,LOC0113,2026-02-25 11:37:00,exited,0.98
GEO000275,P00601,LOC0161,2026-06-07 05:16:00,exited,0.85
GEO000276,P00058,LOC0046,2026-08-04 05:26:00,exited,0.65
GEO000277,P00263,LOC0145,2026-05-09 02:44:00,entered,0.98
GEO000278,P00456,LOC0117,2026-08-07 13:47:00,entered,0.81
GEO000279,P00445,LOC0146,2026-04-02 03:11:00,stayed,0.68
GEO000280,P00285,LOC0088,2026-03-06 04:06:00,entered,0.98
GEO000281,P00033,LOC0020,2026-01-01 01:09:00,seen,0.68
GEO000282,P00914,LOC0110,2026-06-27 09:29:00,exited,0.78
GEO000283,P00665,LOC0120,2026-08-21 15:16:00,exited,0.78
GEO000284,P00171,LOC0081,2026-06-20 00:39:00,exited,0.81
GEO000285,P00928,LOC0119,2026-07-04 02:37:00,seen,0.81
GEO000286,P00362,LOC0107,2026-08-03 08:06:00,stayed,0.78
GEO000287,P00733,LOC0031,2026-08-27 18:10:00,entered,0.88
GEO000288,P00372,LOC0170,2026-01-10 02:34:00,exited,0.76
GEO000289,P00806,LOC0061,2026-05-21 03:58:00,seen,0.86
GEO000290,P00067,LOC0148,2026-01-04 07:24:00,seen,0.72
GEO000291,P00035,LOC0085,2026-08-31 07:00:00,stayed,0.66
GEO000292,P00347,LOC0179,2026-01-21 11:55:00,exited,0.96
GEO000293,P00221,LOC0111,2026-02-13 22:14:00,stayed,0.98
GEO000294,P00242,LOC0178,2026-08-19 02:05:00,entered,0.96
GEO000295,P00185,LOC0114,2026-07-18 22:39:00,entered,0.88
GEO000296,P00851,LOC0156,2026-05-23 03:13:00,exited,0.94
GEO000297,P00415,LOC0161,2026-03-10 07:20:00,entered,0.99
GEO000298,P00879,LOC0143,2026-02-04 06:42:00,exited,0.88
GEO000299,P00834,LOC0121,2026-03-08 22:38:00,exited,0.74
GEO000300,P00836,LOC0096,2026-06-23 22:11:00,stayed,0.68
GEO000301,P00219,LOC0002,2026-06-29 01:36:00,entered,0.84
GEO000302,P00153,LOC0073,2026-07-27 16:38:00,entered,0.79
GEO000303,P00098,LOC0154,2026-07-17 11:13:00,stayed,0.93
GEO000304,P00105,LOC0099,2026-08-24 15:02:00,stayed,0.67
GEO000305,P00082,LOC0034,2026-07-09 18:12:00,entered,0.73
GEO000306,P00151,LOC0105,2026-03-23 09:58:00,stayed,0.72
GEO000307,P00599,LOC0084,2026-05-24 03:33:00,stayed,0.95
GEO000308,P00801,LOC0008,2026-02-14 22:16:00,seen,0.92
GEO000309,P00292,LOC0057,2026-01-14 22:59:00,seen,0.97
GEO000310,P00038,LOC0044,2026-06-29 01:19:00,entered,0.91
GEO000311,P00575,LOC0124,2026-05-12 19:44:00,seen,0.73
GEO000312,P00970,LOC0127,2026-04-02 18:34:00,stayed,0.88
GEO000313,P00053,LOC0145,2026-08-19 23:00:00,stayed,0.68
GEO000314,P00030,LOC0089,2026-07-16 03:52:00,entered,0.76
GEO000315,P00371,LOC0177,2026-05-11 05:04:00,exited,0.98
GEO000316,P00990,LOC0075,2026-08-05 11:31:00,exited,0.87
GEO000317,P00951,LOC0097,2026-06-11 21:29:00,seen,0.73
GEO000318,P00349,LOC0054,2026-08-25 11:52:00,stayed,0.88
GEO000319,P00821,LOC0145,2026-08-09 18:23:00,exited,0.69
GEO000320,P00438,LOC0141,2026-07-31 16:14:00,exited,0.96
GEO000321,P00827,LOC0040,2026-07-03 06:15:00,exited,0.88
GEO000322,P00620,LOC0107,2026-02-19 20:40:00,seen,0.94
GEO000323,P00410,LOC0097,2026-07-23 12:44:00,stayed,0.66
GEO000324,P00861,LOC0154,2026-05-02 21:15:00,stayed,0.85
GEO000325,P00717,LOC0031,2026-03-19 03:14:00,seen,0.97
GEO000326,P00881,LOC0123,2026-05-13 15:05:00,entered,0.8
GEO000327,P00780,LOC0139,2026-01-28 11:57:00,stayed,0.79
GEO000328,P00159,LOC0036,2026-04-19 13:50:00,entered,0.84
GEO000329,P00865,LOC0022,2026-08-24 16:47:00,exited,0.82
GEO000330,P00909,LOC0066,2026-02-15 15:07:00,exited,0.79
GEO000331,P00132,LOC0116,2026-04-13 01:53:00,stayed,0.77
GEO000332,P00881,LOC0009,2026-02-14 03:33:00,entered,0.96
GEO000333,P00939,LOC0017,2026-01-17 20:16:00,exited,0.79
GEO000334,P00802,LOC0154,2026-06-23 03:13:00,seen,0.69
GEO000335,P00546,LOC0092,2026-08-26 02:37:00,stayed,0.86
GEO000336,P00081,LOC0023,2026-04-13 03:09:00,entered,0.88
GEO000337,P00681,LOC0064,2026-02-09 00:24:00,seen,0.93
GEO000338,P00393,LOC0064,2026-01-11 18:56:00,seen,0.92
GEO000339,P00130,LOC0115,2026-02-05 21:08:00,seen,0.69
GEO000340,P00616,LOC0167,2026-04-17 04:17:00,entered,0.76
GEO000341,P00644,LOC0079,2026-04-13 07:15:00,entered,0.66
GEO000342,P00733,LOC0135,2026-01-26 14:56:00,stayed,0.78
GEO000343,P00979,LOC0054,2026-06-29 12:54:00,stayed,0.68
GEO000344,P00630,LOC0133,2026-08-15 17:55:00,stayed,0.9
GEO000345,P00707,LOC0026,2026-02-10 12:51:00,stayed,0.98
GEO000346,P00719,LOC0100,2026-07-14 15:14:00,stayed,0.66
GEO000347,P00467,LOC0130,2026-08-01 20:37:00,exited,0.77
GEO000348,P00299,LOC0119,2026-03-21 12:27:00,entered,0.95
GEO000349,P00073,LOC0023,2026-01-14 12:28:00,seen,0.71
GEO000350,P00672,LOC0069,2026-05-20 10:28:00,seen,0.97
GEO000351,P00040,LOC0137,2026-02-13 16:41:00,entered,0.77
GEO000352,P00264,LOC0117,2026-01-12 22:54:00,seen,0.71
GEO000353,P00586,LOC0065,2026-02-01 04:04:00,exited,0.95
GEO000354,P00927,LOC0127,2026-05-20 08:04:00,stayed,0.73
GEO000355,P00645,LOC0169,2026-08-26 23:19:00,stayed,0.85
GEO000356,P00228,LOC0072,2026-02-06 13:15:00,stayed,0.74
GEO000357,P00859,LOC0081,2026-06-13 20:18:00,seen,0.66
GEO000358,P00535,LOC0135,2026-02-18 03:35:00,stayed,0.69
GEO000359,P00515,LOC0142,2026-04-17 07:22:00,exited,0.82
GEO000360,P00472,LOC0120,2026-04-24 15:58:00,stayed,0.87
GEO000361,P00146,LOC0166,2026-07-22 12:31:00,entered,0.82
GEO000362,P00215,LOC0009,2026-02-07 05:00:00,exited,0.85
GEO000363,P00757,LOC0020,2026-06-24 03:24:00,entered,0.77
GEO000364,P00837,LOC0129,2026-03-13 01:46:00,entered,0.8
GEO000365,P00139,LOC0128,2026-08-12 22:50:00,stayed,0.68
GEO000366,P00857,LOC0165,2026-01-02 16:04:00,exited,0.86
GEO000367,P00508,LOC0083,2026-06-10 03:46:00,seen,0.87
GEO000368,P00514,LOC0152,2026-04-27 02:20:00,seen,0.84
GEO000369,P00815,LOC0044,2026-04-20 20:11:00,stayed,0.71
GEO000370,P00653,LOC0038,2026-02-10 02:18:00,entered,0.92
GEO000371,P00253,LOC0017,2026-03-07 00:08:00,exited,0.81
GEO000372,P00444,LOC0057,2026-06-22 10:45:00,stayed,0.81
GEO000373,P00641,LOC0170,2026-03-16 20:07:00,stayed,0.85
GEO000374,P00005,LOC0166,2026-04-11 06:03:00,stayed,0.67
GEO000375,P00855,LOC0105,2026-04-09 03:33:00,stayed,0.86
GEO000376,P00047,LOC0053,2026-06-04 03:45:00,entered,0.8
GEO000377,P00703,LOC0013,2026-05-26 17:37:00,entered,0.77
GEO000378,P00286,LOC0134,2026-06-12 06:07:00,exited,0.68
GEO000379,P00601,LOC0131,2026-06-19 13:17:00,exited,0.9
GEO000380,P00513,LOC0175,2026-03-13 15:01:00,seen,0.95
GEO000381,P00888,LOC0157,2026-04-03 12:04:00,entered,0.78
GEO000382,P00743,LOC0030,2026-07-24 18:11:00,exited,0.77
GEO000383,P00513,LOC0097,2026-08-13 05:20:00,seen,0.75
GEO000384,P00275,LOC0113,2026-05-13 10:48:00,seen,0.95
