person_id,name_token,occupation,home_location_id
P00073,PERSON_00073,student,LOC0148
P00074,PERSON_00074,other,LOC0096
P00075,PERSON_00075,driver,LOC0028
P00076,PERSON_00076,clerk,LOC0149
P00077,PERSON_00077,worker,LOC0056
P00078,PERSON_00078,business,LOC0010
P00079,PERSON_00079,student,LOC0063
P00080,PERSON_00080,other,LOC0009
P00081,PERSON_00081,clerk,LOC0122
P00082,PERSON_00082,student,LOC0037
P00083,PERSON_00083,student,LOC0177
P00084,PERSON_00084,student,LOC0084
P00085,PERSON_00085,engineer,LOC0004
P00086,PERSON_00086,business,LOC0136
P00087,PERSON_00087,clerk,LOC0034
P00088,PERSON_00088,business,LOC0147
P00089,PERSON_00089,worker,LOC0131
P00090,PERSON_00090,business,LOC0008
P00091,PERSON_00091,business,LOC0160
P00092,PERSON_00092,driver,LOC0141
P00093,PERSON_00093,trader,LOC0171
P00094,PERSON_00094,worker,LOC0038
P00095,PERSON_00095,driver,LOC0104
P00096,PERSON_00096,driver,LOC0019
P00097,PERSON_00097,worker,LOC0178
P00098,PERSON_00098,student,LOC0074
P00099,PERSON_00099,trader,LOC0146
P00100,PERSON_00100,clerk,LOC0097
P00101,PERSON_00101,trader,LOC0021
P00102,PERSON_00102,worker,LOC0179
P00103,PERSON_00103,worker,LOC0073
P00104,PERSON_00104,other,LOC0088
P00105,PERSON_00105,business,LOC0158
P00106,PERSON_00106,other,LOC0159
P00107,PERSON_00107,worker,LOC0056
P00108,PERSON_00108,business,LOC0145
P00109,PERSON_00109,business,LOC0063
P00110,PERSON_00110,clerk,LOC0075
P00111,PERSON_00111,business,LOC0006
P00112,PERSON_00112,driver,LOC0175
P00113,PERSON_00113,worker,LOC0064
P00114,PERSON_00114,engineer,LOC0145
P00115,PERSON_00115,trader,LOC0070
P00116,PERSON_00116,business,LOC0009
P00117,PERSON_00117,other,LOC0100
P00118,PERSON_00118,other,LOC0003
P00119,PERSON_00119,driver,LOC0052
P00120,PERSON_00120,business,LOC0039
P00121,PERSON_00121,clerk,LOC0050
P00122,PERSON_00122,worker,LOC0158
P00123,PERSON_00123,business,LOC0106
P00124,PERSON_00124,trader,LOC0010
P00125,PERSON_00125,clerk,LOC0021
P00126,PERSON_00126,student,LOC0094
P00127,PERSON_00127,other,LOC0005
P00128,PERSON_00128,other,LOC0073
P00129,PERSON_00129,student,LOC0105
P00130,PERSON_00130,driver,LOC0007
P00131,PERSON_00131,business,LOC0161
P00132,PERSON_00132,other,LOC0045
P00133,PERSON_00133,driver,LOC0152
P00134,PERSON_00134,student,LOC0040
P00135,PERSON_00135,clerk,LOC0143
P00136,PERSON_00136,driver,LOC0011
P00137,PERSON_00137,business,LOC0116
P00138,PERSON_00138,driver,LOC0152
P00139,PERSON_00139,other,LOC0108
P00140,PERSON_00140,business,LOC0023
P00141,PERSON_00141,engineer,LOC0026
P00142,PERSON_00142,clerk,LOC0005
P00143,PERSON_00143,student,LOC0150
P00144,PERSON_00144,engineer,LOC0086
P00145,PERSON_00145,trader,LOC0142
P00146,PERSON_00146,student,LOC0056
P00147,PERSON_00147,engineer,LOC0101
P00148,PERSON_00148,other,LOC0151
P00149,PERSON_00149,engineer,LOC0121
P00150,PERSON_00150,driver,LOC0120
P00151,PERSON_00151,student,LOC0131
P00152,PERSON_00152,worker,LOC0138
P00153,PERSON_00153,other,LOC0045
P00154,PERSON_00154,other,LOC0104
P00155,PERSON_00155,driver,LOC0119
P00156,PERSON_00156,engineer,LOC0091
P00157,PERSON_00157,student,LOC0079
P00158,PERSON_00158,worker,LOC0079
P00159,PERSON_00159,trader,LOC0001
P00160,PERSON_00160,engineer,LOC0117
P00161,PERSON_00161,engineer,LOC0126
P00162,PERSON_00162,engineer,LOC0156
P00163,PERSON_00163,clerk,LOC0160
P00164,PERSON_00164,other,LOC0104
P00165,PERSON_00165,student,LOC0011
P00166,PERSON_00166,other,LOC0153
P00167,PERSON_00167,other,LOC0122
P00168,PERSON_00168,other,LOC0132
P00169,PERSON_00169,driver,LOC0135
P00170,PERSON_00170,business,LOC0120
P00171,PERSON_00171,clerk,LOC0108
P00172,PERSON_00172,clerk,LOC0008
P00173,PERSON_00173,clerk,LOC0094
P00174,PERSON_00174,driver,LOC0163
P00175,PERSON_00175,clerk,LOC0077
P00176,PERSON_00176,business,LOC0152
P00177,PERSON_00177,business,LOC0077
P00178,PERSON_00178,trader,LOC0052
P00179,PERSON_00179,trader,LOC0086
P00180,PERSON_00180,engineer,LOC0122
P00181,PERSON_00181,student,LOC0075
P00182,PERSON_00182,other,LOC0119
P00183,PERSON_00183,business,LOC0015
P00184,PERSON_00184,worker,LOC0086
P00185,PERSON_00185,driver,LOC0016
P00186,PERSON_00186,engineer,LOC0163
P00187,PERSON_00187,student,LOC0050
P00188,PERSON_00188,trader,LOC0071
P00189,PERSON_00189,student,LOC0053
P00190,PERSON_00190,business,LOC0071
P00191,PERSON_00191,driver,LOC0084
P00192,PERSON_00192,student,LOC0054
P00193,PERSON_00193,trader,LOC0171
P00194,PERSON_00194,other,LOC0097
P00195,PERSON_00195,business,LOC0051
P00196,PERSON_00196,trader,LOC0070
P00197,PERSON_00197,driver,LOC0179
P00198,PERSON_00198,driver,LOC0152
P00199,PERSON_00199,student,LOC0069
P00200,PERSON_00200,student,LOC0155
P00201,PERSON_00201,driver,LOC0103
P00202,PERSON_00202,student,LOC0002
P00203,PERSON_00203,business,LOC0094
P00204,PERSON_00204,worker,LOC0043
P00205,PERSON_00205,business,LOC0041
P00206,PERSON_00206,engineer,LOC0094
P00207,PERSON_00207,clerk,LOC0026
P00208,PERSON_00208,student,LOC0101
P00209,PERSON_00209,clerk,LOC0056
P00210,PERSON_00210,clerk,LOC0135
P00211,PERSON_00211,other,LOC0120
P00212,PERSON_00212,student,LOC0080
P00213,PERSON_00213,trader,LOC0151
P00214,PERSON_00214,driver,LOC0052
P00215,PERSON_00215,worker,LOC0134
P00216,PERSON_00216,driver,LOC0084
P00217,PERSON_00217,engineer,LOC0016
P00218,PERSON_00218,clerk,LOC0015
P00219,PERSON_00219,student,LOC0107
P00220,PERSON_00220,engineer,LOC0051
P00221,PERSON_00221,other,LOC0012
P00222,PERSON_00222,other,LOC0095
P00223,PERSON_00223,worker,LOC0082
P00224,PERSON_00224,business,LOC0046
P00225,PERSON_00225,driver,LOC0123
P00226,PERSON_00226,business,LOC0127
P00227,PERSON_00227,engineer,LOC0037
P00228,PERSON_00228,engineer,LOC0068
P00229,PERSON_00229,business,LOC0038
P00230,PERSON_00230,business,LOC0045
P00231,PERSON_00231,engineer,LOC0100
P00232,PERSON_00232,trader,LOC0122
P00233,PERSON_00233,trader,LOC0143
P00234,PERSON_00234,clerk,LOC0139
P00235,PERSON_00235,student,LOC0025
P00236,PERSON_00236,engineer,LOC0121
P00237,PERSON_00237,worker,LOC0163
P00238,PERSON_00238,driver,LOC0172
P00239,PERSON_00239,worker,LOC0143
P00240,PERSON_00240,driver,LOC0049
P00241,PERSON_00241,business,LOC0093
P00242,PERSON_00242,driver,LOC0051
P00243,PERSON_00243,student,LOC0092
P00244,PERSON_00244,driver,LOC0085
P00245,PERSON_00245,driver,LOC0141
P00246,PERSON_00246,engineer,LOC0157
P00247,PERSON_00247,engineer,LOC0005
P00248,PERSON_00248,trader,LOC0087
P00249,PERSON_00249,clerk,LOC0086
P00250,PERSON_00250,trader,LOC0039
P00251,PERSON_00251,student,LOC0137
P00252,PERSON_00252,other,LOC0116
P00253,PERSON_00253,clerk,LOC0057
P00254,PERSON_00254,student,LOC0091
P00255,PERSON_00255,business,LOC0180
P00256,PERSON_00256,trader,LOC0057
P00257,PERSON_00257,driver,LOC0010
P00258,PERSON_00258,clerk,LOC0158
P00259,PERSON_00259,worker,LOC0147
P00260,PERSON_00260,trader,LOC0060
P00261,PERSON_00261,student,LOC0139
P00262,PERSON_00262,other,LOC0083
P00263,PERSON_00263,student,LOC0152
P00264,PERSON_00264,engineer,LOC0043
P00265,PERSON_00265,clerk,LOC0066
P00266,PERSON_00266,driver,LOC0088
P00267,PERSON_00267,worker,LOC0100
P00268,PERSON_00268,clerk,LOC0027
P00269,PERSON_00269,worker,LOC0072
P00270,PERSON_00270,clerk,LOC0040
P00271,PERSON_00271,engineer,LOC0038
P00272,PERSON_00272,trader,LOC0098
P00273,PERSON_00273,other,LOC0151
P00274,PERSON_00274,trader,LOC0059
P00275,PERSON_00275,other,LOC0116
P00276,PERSON_00276,clerk,LOC0118
P00277,PERSON_00277,other,LOC0101
P00278,PERSON_00278,clerk,LOC0113
P00279,PERSON_00279,clerk,LOC0106
P00280,PERSON_00280,driver,LOC0060
P00281,PERSON_00281,engineer,LOC0166
P00282,PERSON_00282,business,LOC0086
P00283,PERSON_00283,student,LOC0067
P00284,PERSON_00284,business,LOC0072
P00285,PERSON_00285,engineer,LOC0005
P00286,PERSON_00286,business,LOC0012
P00287,PERSON_00287,trader,LOC0007
P00288,PERSON_00288,other,LOC0177
P00289,PERSON_00289,clerk,LOC0078
P00290,PERSON_00290,student,LOC0122
P00291,PERSON_00291,trader,LOC0180
P00292,PERSON_00292,trader,LOC0051
P00293,PERSON_00293,engineer,LOC0057
P00294,PERSON_00294,engineer,LOC0147
P00295,PERSON_00295,worker,LOC0134
P00296,PERSON_00296,driver,LOC0049
P00297,PERSON_00297,student,LOC0091
P00298,PERSON_00298,driver,LOC0086
P00299,PERSON_00299,business,LOC0005
P00300,PERSON_00300,student,LOC0080
P00301,PERSON_00301,clerk,LOC0129
P00302,PERSON_00302,engineer,LOC0060
P00303,PERSON_00303,trader,LOC0054
P00304,PERSON_00304,driver,LOC0067
P00305,PERSON_00305,clerk,LOC0144
P00306,PERSON_00306,trader,LOC0125
P00307,PERSON_00307,trader,LOC0065
P00308,PERSON_00308,trader,LOC0052
P00309,PERSON_00309,clerk,LOC0133
P00310,PERSON_00310,worker,LOC0017
P00311,PERSON_00311,driver,LOC0078
P00312,PERSON_00312,student,LOC0098
P00313,PERSON_00313,clerk,LOC0087
P00314,PERSON_00314,trader,LOC0110
P00315,PERSON_00315,clerk,LOC0128
P00316,PERSON_00316,other,LOC0069
P00317,PERSON_00317,engineer,LOC0016
P00318,PERSON_00318,student,LOC0099
P00319,PERSON_00319,trader,LOC0158
P00320,PERSON_00320,business,LOC0021
P00321,PERSON_00321,business,LOC0172
P00322,PERSON_00322,driver,LOC0006
P00323,PERSON_00323,trader,LOC0146
P00324,PERSON_00324,student,LOC0145
P00325,PERSON_00325,engineer,LOC0119
P00326,PERSON_00326,clerk,LOC0047
P00327,PERSON_00327,worker,LOC0180
P00328,PERSON_00328,clerk,LOC0046
P00329,PERSON_00329,worker,LOC0145
P00330,PERSON_00330,business,LOC0076
P00331,PERSON_00331,trader,LOC0100
P00332,PERSON_00332,trader,LOC0073
P00333,PERSON_00333,engineer,LOC0021
P00334,PERSON_00334,driver,LOC0077
P00335,PERSON_00335,student,LOC0116
P00336,PERSON_00336,business,LOC0103
P00337,PERSON_00337,business,LOC0032
P00338,PERSON_00338,trader,LOC0088
P00339,PERSON_00339,trader,LOC0018
P00340,PERSON_00340,clerk,LOC0019
P00341,PERSON_00341,engineer,LOC0005
P00342,PERSON_00342,business,LOC0138
P00343,PERSON_00343,trader,LOC0023
P00344,PERSON_00344,worker,LOC0074
P00345,PERSON_00345,student,LOC0151
P00346,PERSON_00346,other,LOC0097
P00347,PERSON_00347,trader,LOC0175
P00348,PERSON_00348,clerk,LOC0069
P00349,PERSON_00349,clerk,LOC0139
P00350,PERSON_00350,other,LOC0097
P00351,PERSON_00351,trader,LOC0010
P00352,PERSON_00352,trader,LOC0163
P00353,PERSON_00353,worker,LOC0016
P00354,PERSON_00354,driver,LOC0093
P00355,PERSON_00355,driver,LOC0154
P00356,PERSON_00356,trader,LOC0156
P00357,PERSON_00357,worker,LOC0100
P00358,PERSON_00358,student,LOC0111
P00359,PERSON_00359,worker,LOC0114
P00360,PERSON_00360,student,LOC0133
P00361,PERSON_00361,worker,LOC0088
P00362,PERSON_00362,driver,LOC0141
P00363,PERSON_00363,clerk,LOC0126
P00364,PERSON_00364,trader,LOC0020
P00365,PERSON_00365,trader,LOC0159
P00366,PERSON_00366,business,LOC0108
P00367,PERSON_00367,worker,LOC0160
P00368,PERSON_00368,business,LOC0133
P00369,PERSON_00369,worker,LOC0101
P00370,PERSON_00370,clerk,LOC0045
P00371,PERSON_00371,student,LOC0015
P00372,PERSON_00372,clerk,LOC0125
P00373,PERSON_00373,trader,LOC0113
P00374,PERSON_00374,student,LOC0030
P00375,PERSON_00375,clerk,LOC0145
P00376,PERSON_00376,business,LOC0163
P00377,PERSON_00377,trader,LOC0041
P00378,PERSON_00378,driver,LOC0095
P00379,PERSON_00379,student,LOC0177
P00380,PERSON_00380,business,LOC0120
P00381,PERSON_00381,driver,LOC0134
P00382,PERSON_00382,other,LOC0161
P00383,PERSON_00383,other,LOC0070
P00384,PERSON_00384,trader,LOC0166
P00385,PERSON_00385,other,LOC0013
P00386,PERSON_00386,engineer,LOC0054
P00387,PERSON_00387,student,LOC0015
P00388,PERSON_00388,driver,LOC0023
P00389,PERSON_00389,engineer,LOC0121
P00390,PERSON_00390,engineer,LOC0084
P00391,PERSON_00391,student,LOC0047
P00392,PERSON_00392,trader,LOC0053
P00393,PERSON_00393,business,LOC0130
P00394,PERSON_00394,driver,LOC0105
P00395,PERSON_00395,driver,LOC0003
P00396,PERSON_00396,trader,LOC0013
P00397,PERSON_00397,trader,LOC0047
P00398,PERSON_00398,worker,LOC0074
P00399,PERSON_00399,engineer,LOC0148
P00400,PERSON_00400,driver,LOC0057
P00401,PERSON_00401,business,LOC0112
P00402,PERSON_00402,driver,LOC0142
P00403,PERSON_00403,other,LOC0009
P00404,PERSON_00404,clerk,LOC0042
P00405,PERSON_00405,engineer,LOC0103
P00406,PERSON_00406,student,LOC0018
P00407,PERSON_00407,engineer,LOC0087
P00408,PERSON_00408,trader,LOC0154
P00409,PERSON_00409,worker,LOC0097
P00410,PERSON_00410,business,LOC0097
P00411,PERSON_00411,student,LOC0114
P00412,PERSON_00412,business,LOC0126
P00413,PERSON_00413,student,LOC0143
P00414,PERSON_00414,trader,LOC0178
P00415,PERSON_00415,other,LOC0023
P00416,PERSON_00416,other,LOC0124
P00417,PERSON_00417,engineer,LOC0121
P00418,PERSON_00418,driver,LOC0022
P00419,PERSON_00419,clerk,LOC0163
P00420,PERSON_00420,worker,LOC0073
P00421,PERSON_00421,business,LOC0054
P00422,PERSON_00422,other,LOC0122
P00423,PERSON_00423,engineer,LOC0096
P00424,PERSON_00424,other,LOC0093
P00425,PERSON_00425,other,LOC0009
P00426,PERSON_00426,engineer,LOC0148
P00427,PERSON_00427,student,LOC0057
P00428,PERSON_00428,engineer,LOC0017
P00429,PERSON_00429,driver,LOC0096
P00430,PERSON_00430,clerk,LOC0136
P00431,PERSON_00431,other,LOC0151
P00432,PERSON_00432,driver,LOC0153
P00433,PERSON_00433,trader,LOC0014
P00434,PERSON_00434,other,LOC0058
P00435,PERSON_00435,worker,LOC0043
P00436,PERSON_00436,worker,LOC0143
P00437,PERSON_00437,other,LOC0055
P00438,PERSON_00438,engineer,LOC0099
P00439,PERSON_00439,trader,LOC0078
P00440,PERSON_00440,student,LOC0050
P00441,PERSON_00441,clerk,LOC0108
P00442,PERSON_00442,driver,LOC0143
P00443,PERSON_00443,engineer,LOC0066
P00444,PERSON_00444,clerk,LOC0180
P00445,PERSON_00445,trader,LOC0099
P00446,PERSON_00446,other,LOC0012
P00447,PERSON_00447,clerk,LOC0092
P00448,PERSON_00448,other,LOC0129
P00449,PERSON_00449,trader,LOC0041
P00450,PERSON_00450,driver,LOC0131
P00451,PERSON_00451,worker,LOC0057
P00452,PERSON_00452,trader,LOC0120
P00453,PERSON_00453,clerk,LOC0146
P00454,PERSON_00454,engineer,LOC0043
P00455,PERSON_00455,other,LOC0100
P00456,PERSON_00456,student,LOC0002
P00457,PERSON_00457,driver,LOC0128
P00458,PERSON_00458,clerk,LOC0049
P00459,PERSON_00459,student,LOC0130
P00460,PERSON_00460,other,LOC0030
P00461,PERSON_00461,student,LOC0152
P00462,PERSON_00462,engineer,LOC0154
P00463,PERSON_00463,student,LOC0105
P00464,PERSON_00464,worker,LOC0142
P00465,PERSON_00465,student,LOC0009
P00466,PERSON_00466,clerk,LOC0112
P00467,PERSON_00467,student,LOC0162
P00468,PERSON_00468,clerk,LOC0138
P00469,PERSON_00469,other,LOC0114
P00470,PERSON_00470,student,LOC0144
P00471,PERSON_00471,trader,LOC0086
P00472,PERSON_00472,business,LOC0083
P00473,PERSON_00473,business,LOC0074
P00474,PERSON_00474,student,LOC0070
P00475,PERSON_00475,other,LOC0127
P00476,PERSON_00476,worker,LOC0063
P00477,PERSON_00477,worker,LOC0179
P00478,PERSON_00478,other,LOC0054
P00479,PERSON_00479,student,LOC0154
P00480,PERSON_00480,trader,LOC0116
P00481,PERSON_00481,clerk,LOC0156
P00482,PERSON_00482,business,LOC0180
P00483,PERSON_00483,trader,LOC0103
P00484,PERSON_00484,trader,LOC0088
P00485,PERSON_00485,clerk,LOC0089
P00486,PERSON_00486,worker,LOC0007
P00487,PERSON_00487,student,LOC0171
P00488,PERSON_00488,driver,LOC0166
P00489,PERSON_00489,student,LOC0104
P00490,PERSON_00490,worker,LOC0125
P00491,PERSON_00491,driver,LOC0050
P00492,PERSON_00492,business,LOC0068
P00493,PERSON_00493,worker,LOC0096
P00494,PERSON_00494,clerk,LOC0011
P00495,PERSON_00495,engineer,LOC0178
P00496,PERSON_00496,trader,LOC0138
P00497,PERSON_00497,worker,LOC0040
P00498,PERSON_00498,engineer,LOC0058
P00499,PERSON_00499,clerk,LOC0031
P00500,PERSON_00500,engineer,LOC0045
P00501,PERSON_00501,other,LOC0080
P00502,PERSON_00502,business,LOC0090
P00503,PERSON_00503,other,LOC0109
P00504,PERSON_00504,clerk,LOC0013
P00505,PERSON_00505,business,LOC0112
P00506,PERSON_00506,trader,LOC0073
P00507,PERSON_00507,clerk,LOC0028
P00508,PERSON_00508,worker,LOC0172
P00509,PERSON_00509,engineer,LOC0043
P00510,PERSON_00510,other,LOC0175
P00511,PERSON_00511,worker,LOC0073
P00512,PERSON_00512,engineer,LOC0158
P00513,PERSON_00513,business,LOC0033
P00514,PERSON_00514,engineer,LOC0091
P00515,PERSON_00515,driver,LOC0097
P00516,PERSON_00516,worker,LOC0125
P00517,PERSON_00517,driver,LOC0107
P00518,PERSON_00518,clerk,LOC0086
P00519,PERSON_00519,trader,LOC0170
P00520,PERSON_00520,driver,LOC0048
P00521,PERSON_00521,trader,LOC0138
P00522,PERSON_00522,engineer,LOC0173
P00523,PERSON_00523,trader,LOC0111
P00524,PERSON_00524,other,LOC0129
P00525,PERSON_00525,business,LOC0034
P00526,PERSON_00526,engineer,LOC0108
P00527,PERSON_00527,other,LOC0116
P00528,PERSON_00528,worker,LOC0138
P00529,PERSON_00529,business,LOC0097
P00530,PERSON_00530,other,LOC0127
P00531,PERSON_00531,worker,LOC0101
P00532,PERSON_00532,clerk,LOC0115
P00533,PERSON_00533,clerk,LOC0021
P00534,PERSON_00534,clerk,LOC0140
P00535,PERSON_00535,business,LOC0081
P00536,PERSON_00536,student,LOC0130
P00537,PERSON_00537,other,LOC0114
P00538,PERSON_00538,driver,LOC0176
P00539,PERSON_00539,worker,LOC0027
P00540,PERSON_00540,business,LOC0074
P00541,PERSON_00541,worker,LOC0021
P00542,PERSON_00542,business,LOC0110
P00543,PERSON_00543,engineer,LOC0153
P00544,PERSON_00544,clerk,LOC0105
P00545,PERSON_00545,student,LOC0163
P00546,PERSON_00546,driver,LOC0126
P00547,PERSON_00547,trader,LOC0056
P00548,PERSON_00548,driver,LOC0111
P00549,PERSON_00549,clerk,LOC0107
P00550,PERSON_00550,engineer,LOC0095
P00551,PERSON_00551,trader,LOC0092
P00552,PERSON_00552,engineer,LOC0138
P00553,PERSON_00553,driver,LOC0147
P00554,PERSON_00554,driver,LOC0004
P00555,PERSON_00555,business,LOC0032
P00556,PERSON_00556,student,LOC0058
P00557,PERSON_00557,business,LOC0156
P00558,PERSON_00558,student,LOC0047
P00559,PERSON_00559,trader,LOC0173
P00560,PERSON_00560,other,LOC0089
P00561,PERSON_00561,engineer,LOC0039
P00562,PERSON_00562,clerk,LOC0079
P00563,PERSON_00563,trader,LOC0035
P00564,PERSON_00564,engineer,LOC0009
P00565,PERSON_00565,other,LOC0051
P00566,PERSON_00566,student,LOC0036
P00567,PERSON_00567,other,LOC0079
P00568,PERSON_00568,business,LOC0125
P00569,PERSON_00569,trader,LOC0050
P00570,PERSON_00570,other,LOC0022
P00571,PERSON_00571,engineer,LOC0174
P00572,PERSON_00572,clerk,LOC0142
P00573,PERSON_00573,other,LOC0095
P00574,PERSON_00574,driver,LOC0010
P00575,PERSON_00575,other,LOC0033
P00576,PERSON_00576,trader,LOC0033
P00577,PERSON_00577,trader,LOC0103
P00578,PERSON_00578,worker,LOC0068
P00579,PERSON_00579,student,LOC0038
P00580,PERSON_00580,student,LOC0018
P00581,PERSON_00581,worker,LOC0107
P00582,PERSON_00582,clerk,LOC0075
P00583,PERSON_00583,driver,LOC0119
P00584,PERSON_00584,student,LOC0024
P00585,PERSON_00585,student,LOC0061
P00586,PERSON_00586,student,LOC0036
P00587,PERSON_00587,business,LOC0094
P00588,PERSON_00588,other,LOC0038
P00589,PERSON_00589,engineer,LOC0157
P00590,PERSON_00590,trader,LOC0001
P00591,PERSON_00591,clerk,LOC0098
P00592,PERSON_00592,other,LOC0118
P00593,PERSON_00593,trader,LOC0017
P00594,PERSON_00594,clerk,LOC0172
P00595,PERSON_00595,clerk,LOC0022
P00596,PERSON_00596,clerk,LOC0039
P00597,PERSON_00597,worker,LOC0046
P00598,PERSON_00598,business,LOC0158
P00599,PERSON_00599,engineer,LOC0038
P00600,PERSON_00600,worker,LOC0028
P00601,PERSON_00601,clerk,LOC0023
P00602,PERSON_00602,trader,LOC0130
P00603,PERSON_00603,engineer,LOC0173
P00604,PERSON_00604,other,LOC0163
P00605,PERSON_00605,trader,LOC0166
P00606,PERSON_00606,worker,LOC0065
P00607,PERSON_00607,trader,LOC0101
P00608,PERSON_00608,business,LOC0149
P00609,PERSON_00609,student,LOC0019
P00610,PERSON_00610,trader,LOC0005
P00611,PERSON_00611,engineer,LOC0026
P00612,PERSON_00612,other,LOC0078
P00613,PERSON_00613,worker,LOC0025
P00614,PERSON_00614,driver,LOC0009
P00615,PERSON_00615,student,LOC0030
P00616,PERSON_00616,other,LOC0018
P00617,PERSON_00617,worker,LOC0173
P00618,PERSON_00618,other,LOC0138
P00619,PERSON_00619,business,LOC0067
P00620,PERSON_00620,driver,LOC0175
P00621,PERSON_00621,trader,LOC0138
P00622,PERSON_00622,business,LOC0139
P00623,PERSON_00623,trader,LOC0118
P00624,PERSON_00624,clerk,LOC0169
P00625,PERSON_00625,trader,LOC0130
P00626,PERSON_00626,other,LOC0109
P00627,PERSON_00627,business,LOC0178
P00628,PERSON_00628,business,LOC0006
P00629,PERSON_00629,clerk,LOC0123
P00630,PERSON_00630,engineer,LOC0171
P00631,PERSON_00631,student,LOC0178
P00632,PERSON_00632,worker,LOC0136
P00633,PERSON_00633,student,LOC0120
P00634,PERSON_00634,trader,LOC0071
P00635,PERSON_00635,student,LOC0180
P00636,PERSON_00636,trader,LOC0048
P00637,PERSON_00637,student,LOC0078
P00638,PERSON_00638,worker,LOC0153
P00639,PERSON_00639,engineer,LOC0098
P00640,PERSON_00640,worker,LOC0025
P00641,PERSON_00641,other,LOC0106
P00642,PERSON_00642,engineer,LOC0152
P00643,PERSON_00643,business,LOC0098
P00644,PERSON_00644,clerk,LOC0068
P00645,PERSON_00645,engineer,LOC0102
P00646,PERSON_00646,student,LOC0091
P00647,PERSON_00647,student,LOC0026
P00648,PERSON_00648,other,LOC0020
P00649,PERSON_00649,clerk,LOC0163
P00650,PERSON_00650,trader,LOC0101
P00651,PERSON_00651,trader,LOC0108
P00652,PERSON_00652,other,LOC0113
P00653,PERSON_00653,engineer,LOC0155
P00654,PERSON_00654,driver,LOC0119
P00655,PERSON_00655,student,LOC0023
P00656,PERSON_00656,other,LOC0029
P00657,PERSON_00657,trader,LOC0029
P00658,PERSON_00658,other,LOC0087
P00659,PERSON_00659,driver,LOC0044
P00660,PERSON_00660,student,LOC0070
P00661,PERSON_00661,worker,LOC0005
P00662,PERSON_00662,driver,LOC0062
P00663,PERSON_00663,student,LOC0058
P00664,PERSON_00664,engineer,LOC0078
P00665,PERSON_00665,engineer,LOC0037
P00666,PERSON_00666,student,LOC0020
P00667,PERSON_00667,student,LOC0127
P00668,PERSON_00668,engineer,LOC0069
P00669,PERSON_00669,business,LOC0110
