document_id,entity_id,entity_type,surface_form
RPT00021,VEH00251,VEHICLE,VEH00251
RPT00021,LOC0046,LOCATION,Zone_0046
RPT00022,P00699,PERSON,PERSON_00699
RPT00022,P00065,PERSON,PERSON_00065
RPT00022,PH00902,PHONE,PH00902
RPT00022,ACC00789,ACCOUNT,ACC00789
RPT00022,VEH00120,VEHICLE,VEH00120
RPT00022,LOC0090,LOCATION,Zone_0090
RPT00023,P00574,PERSON,PERSON_00574
RPT00023,P00298,PERSON,PERSON_00298
RPT00023,PH00348,PHONE,PH00348
RPT00023,ACC01082,ACCOUNT,ACC01082
RPT00023,VEH00125,VEHICLE,VEH00125
RPT00023,LOC0076,LOCATION,Zone_0076
RPT00024,P00629,PERSON,PERSON_00629
RPT00024,P00963,PERSON,PERSON_00963
RPT00024,PH00891,PHONE,PH00891
RPT00024,ACC01073,ACCOUNT,ACC01073
RPT00024,VEH00214,VEHICLE,VEH00214
RPT00024,LOC0076,LOCATION,Zone_0076
RPT00025,P00656,PERSON,PERSON_00656
RPT00025,P00713,PERSON,PERSON_00713
RPT00025,PH00696,PHONE,PH00696
RPT00025,ACC00005,ACCOUNT,ACC00005
RPT00025,VEH00331,VEHICLE,VEH00331
RPT00025,LOC0156,LOCATION,Zone_0156
RPT00026,P00798,PERSON,PERSON_00798
RPT00026,P00917,PERSON,PERSON_00917
RPT00026,PH00010,PHONE,PH00010
RPT00026,ACC00919,ACCOUNT,ACC00919
RPT00026,VEH00182,VEHICLE,VEH00182
RPT00026,LOC0148,LOCATION,Zone_0148
RPT00027,P00194,PERSON,PERSON_00194
RPT00027,P00945,PERSON,PERSON_00945
RPT00027,PH00527,PHONE,PH00527
RPT00027,ACC00892,ACCOUNT,ACC00892
RPT00027,VEH00074,VEHICLE,VEH00074
RPT00027,LOC0030,LOCATION,Zone_0030
RPT00028,P00983,PERSON,PERSON_00983
RPT00028,P00466,PERSON,PERSON_00466
RPT00028,PH00068,PHONE,PH00068
RPT00028,ACC00403,ACCOUNT,ACC00403
RPT00028,VEH00110,VEHICLE,VEH00110
RPT00028,LOC0072,LOCATION,Zone_0072
RPT00029,P00827,PERSON,PERSON_00827
RPT00029,P00394,PERSON,PERSON_00394
RPT00029,PH00531,PHONE,PH00531
RPT00029,ACC00858,ACCOUNT,ACC00858
RPT00029,VEH00327,VEHICLE,VEH00327
RPT00029,LOC0073,LOCATION,Zone_0073
RPT00030,P00832,PERSON,PERSON_00832
RPT00030,P00584,PERSON,PERSON_00584
RPT00030,PH00679,PHONE,PH00679
RPT00030,ACC00996,ACCOUNT,ACC00996
RPT00030,VEH00152,VEHICLE,VEH00152
RPT00030,LOC0090,LOCATION,Zone_0090
RPT00031,P00653,PERSON,PERSON_00653
RPT00031,P00192,PERSON,PERSON_00192
RPT00031,PH00437,PHONE,PH00437
RPT00031,ACC00663,ACCOUNT,ACC00663
RPT00031,VEH00001,VEHICLE,VEH00001
RPT00031,LOC0057,LOCATION,Zone_0057
RPT00032,P00534,PERSON,PERSON_00534
RPT00032,P00363,PERSON,PERSON_00363
RPT00032,PH00146,PHONE,PH00146
RPT00032,ACC00844,ACCOUNT,ACC00844
RPT00032,VEH00242,VEHICLE,VEH00242
RPT00032,LOC0143,LOCATION,Zone_0143
RPT00033,P00316,PERSON,PERSON_00316
RPT00033,P00561,PERSON,PERSON_00561
RPT00033,PH01111,PHONE,PH01111
RPT00033,ACC00728,ACCOUNT,ACC00728
RPT00033,VEH00203,VEHICLE,VEH00203
RPT00033,LOC0034,LOCATION,Zone_0034
RPT00034,P00099,PERSON,PERSON_00099
RPT00034,P00351,PERSON,PERSON_00351
RPT00034,PH00566,PHONE,PH00566
RPT00034,ACC00097,ACCOUNT,ACC00097
RPT00034,VEH00343,VEHICLE,VEH00343
RPT00034,LOC0062,LOCATION,Zone_0062
RPT00035,P00638,PERSON,PERSON_00638
RPT00035,P00965,PERSON,PERSON_00965
RPT00035,PH00775,PHONE,PH00775
RPT00035,ACC00331,ACCOUNT,ACC00331
RPT00035,VEH00013,VEHICLE,VEH00013
RPT00035,LOC0092,LOCATION,Zone_0092
RPT00036,P00509,PERSON,PERSON_00509
RPT00036,P00751,PERSON,PERSON_00751
RPT00036,PH00073,PHONE,PH00073
RPT00036,ACC00895,ACCOUNT,ACC00895
RPT00036,VEH00046,VEHICLE,VEH00046
RPT00036,LOC0154,LOCATION,Zone_0154
RPT00037,P00083,PERSON,PERSON_00083
RPT00037,P00259,PERSON,PERSON_00259
RPT00037,PH00235,PHONE,PH00235
RPT00037,ACC00293,ACCOUNT,ACC00293
RPT00037,VEH00060,VEHICLE,VEH00060
RPT00037,LOC0080,LOCATION,Zone_0080
RPT00038,P00382,PERSON,PERSON_00382
RPT00038,P00628,PERSON,PERSON_00628
RPT00038,PH00233,PHONE,PH00233
RPT00038,ACC00803,ACCOUNT,ACC00803
RPT00038,VEH00333,VEHICLE,VEH00333
RPT00038,LOC0131,LOCATION,Zone_0131
RPT00039,P00076,PERSON,PERSON_00076
RPT00039,P00108,PERSON,PERSON_00108
RPT00039,PH01160,PHONE,PH01160
RPT00039,ACC00511,ACCOUNT,ACC00511
RPT00039,VEH00108,VEHICLE,VEH00108
RPT00039,LOC0146,LOCATION,Zone_0146
RPT00040,P00622,PERSON,PERSON_00622
RPT00040,P00539,PERSON,PERSON_00539
RPT00040,PH01136,PHONE,PH01136
RPT00040,ACC00332,ACCOUNT,ACC00332
RPT00040,VEH00102,VEHICLE,VEH00102
RPT00040,LOC0109,LOCATION,Zone_0109
RPT00041,P00904,PERSON,PERSON_00904
RPT00041,P00324,PERSON,PERSON_00324
RPT00041,PH00103,PHONE,PH00103
RPT00041,ACC00584,ACCOUNT,ACC00584
RPT00041,VEH00052,VEHICLE,VEH00052
RPT00041,LOC0100,LOCATION,Zone_0100
RPT00042,P00971,PERSON,PERSON_00971
RPT00042,P00054,PERSON,PERSON_00054
RPT00042,PH01176,PHONE,PH01176
RPT00042,ACC01197,ACCOUNT,ACC01197
RPT00042,VEH00234,VEHICLE,VEH00234
RPT00042,LOC0030,LOCATION,Zone_0030
RPT00043,P00663,PERSON,PERSON_00663
RPT00043,P00036,PERSON,PERSON_00036
RPT00043,PH01024,PHONE,PH01024
RPT00043,ACC00636,ACCOUNT,ACC00636
RPT00043,VEH00146,VEHICLE,VEH00146
RPT00043,LOC0073,LOCATION,Zone_0073
RPT00044,P00339,PERSON,PERSON_00339
RPT00044,P00848,PERSON,PERSON_00848
RPT00044,PH01162,PHONE,PH01162
RPT00044,ACC00682,ACCOUNT,ACC00682
RPT00044,VEH00321,VEHICLE,VEH00321
RPT00044,LOC0148,LOCATION,Zone_0148
RPT00045,P00662,PERSON,PERSON_00662
RPT00045,P00115,PERSON,PERSON_00115
RPT00045,PH00977,PHONE,PH00977
RPT00045,ACC01005,ACCOUNT,ACC01005
RPT00045,VEH00168,VEHICLE,VEH00168
RPT00045,LOC0022,LOCATION,Zone_0022
RPT00046,P00320,PERSON,PERSON_00320
RPT00046,P00235,PERSON,PERSON_00235
RPT00046,PH00580,PHONE,PH00580
RPT00046,ACC00022,ACCOUNT,ACC00022
RPT00046,VEH00002,VEHICLE,VEH00002
RPT00046,LOC0049,LOCATION,Zone_0049
RPT00047,P00189,PERSON,PERSON_00189
RPT00047,P00009,PERSON,PERSON_00009
RPT00047,PH00009,PHONE,PH00009
RPT00047,ACC00679,ACCOUNT,ACC00679
RPT00047,VEH00295,VEHICLE,VEH00295
RPT00047,LOC0070,LOCATION,Zone_0070
RPT00048,P00356,PERSON,PERSON_00356
RPT00048,P00523,PERSON,PERSON_00523
RPT00048,PH00372,PHONE,PH00372
RPT00048,ACC00863,ACCOUNT,ACC00863
RPT00048,VEH00311,VEHICLE,VEH00311
RPT00048,LOC0033,LOCATION,Zone_0033
RPT00049,P00917,PERSON,PERSON_00917
RPT00049,P00069,PERSON,PERSON_00069
RPT00049,PH00752,PHONE,PH00752
RPT00049,ACC00569,ACCOUNT,ACC00569
RPT00049,VEH00321,VEHICLE,VEH00321
RPT00049,LOC0047,LOCATION,Zone_0047
RPT00050,P00688,PERSON,PERSON_00688
RPT00050,P00292,PERSON,PERSON_00292
RPT00050,PH00501,PHONE,PH00501
RPT00050,ACC00479,ACCOUNT,ACC00479
RPT00050,VEH00224,VEHICLE,VEH00224
RPT00050,LOC0012,LOCATION,Zone_0012
RPT00051,P00470,PERSON,PERSON_00470
RPT00051,P00074,PERSON,PERSON_00074
RPT00051,PH00019,PHONE,PH00019
RPT00051,ACC00495,ACCOUNT,ACC00495
RPT00051,VEH00092,VEHICLE,VEH00092
RPT00051,LOC0027,LOCATION,Zone_0027
RPT00052,P00816,PERSON,PERSON_00816
RPT00052,P00493,PERSON,PERSON_00493
RPT00052,PH00089,PHONE,PH00089
RPT00052,ACC00105,ACCOUNT,ACC00105
RPT00052,VEH00026,VEHICLE,VEH00026
RPT00052,LOC0079,LOCATION,Zone_0079
RPT00053,P00283,PERSON,PERSON_00283
RPT00053,P00820,PERSON,PERSON_00820
RPT00053,PH01072,PHONE,PH01072
RPT00053,ACC00243,ACCOUNT,ACC00243
RPT00053,VEH00343,VEHICLE,VEH00343
RPT00053,LOC0170,LOCATION,Zone_0170
RPT00054,P00266,PERSON,PERSON_00266
RPT00054,P00033,PERSON,PERSON_00033
RPT00054,PH00072,PHONE,PH00072
RPT00054,ACC01033,ACCOUNT,ACC01033
RPT00054,VEH00277,VEHICLE,VEH00277
RPT00054,LOC0161,LOCATION,Zone_0161
RPT00055,P00831,PERSON,PERSON_00831
RPT00055,P00910,PERSON,PERSON_00910
RPT00055,PH01103,PHONE,PH01103
RPT00055,ACC00262,ACCOUNT,ACC00262
RPT00055,VEH00279,VEHICLE,VEH00279
RPT00055,LOC0151,LOCATION,Zone_0151
RPT00056,P00977,PERSON,PERSON_00977
RPT00056,P00981,PERSON,PERSON_00981
RPT00056,PH00456,PHONE,PH00456
RPT00056,ACC00101,ACCOUNT,ACC00101
RPT00056,VEH00191,VEHICLE,VEH00191
RPT00056,LOC0073,LOCATION,Zone_0073
RPT00057,P00686,PERSON,PERSON_00686
RPT00057,P00731,PERSON,PERSON_00731
RPT00057,PH00182,PHONE,PH00182
RPT00057,ACC00713,ACCOUNT,ACC00713
RPT00057,VEH00280,VEHICLE,VEH00280
RPT00057,LOC0028,LOCATION,Zone_0028
RPT00058,P00991,PERSON,PERSON_00991
RPT00058,P00088,PERSON,PERSON_00088
RPT00058,PH00637,PHONE,PH00637
RPT00058,ACC00349,ACCOUNT,ACC00349
RPT00058,VEH00034,VEHICLE,VEH00034
RPT00058,LOC0060,LOCATION,Zone_0060
RPT00059,P00368,PERSON,PERSON_00368
RPT00059,P00479,PERSON,PERSON_00479
RPT00059,PH01158,PHONE,PH01158
RPT00059,ACC00829,ACCOUNT,ACC00829
RPT00059,VEH00397,VEHICLE,VEH00397
RPT00059,LOC0124,LOCATION,Zone_0124
RPT00060,P00269,PERSON,PERSON_00269
RPT00060,P00976,PERSON,PERSON_00976
RPT00060,PH00396,PHONE,PH00396
RPT00060,ACC00384,ACCOUNT,ACC00384
RPT00060,VEH00182,VEHICLE,VEH00182
RPT00060,LOC0015,LOCATION,Zone_0015
RPT00061,P00215,PERSON,PERSON_00215
RPT00061,P00989,PERSON,PERSON_00989
RPT00061,PH00129,PHONE,PH00129
RPT00061,ACC00449,ACCOUNT,ACC00449
RPT00061,VEH00170,VEHICLE,VEH00170
RPT00061,LOC0028,LOCATION,Zone_0028
RPT00062,P00735,PERSON,PERSON_00735
RPT00062,P00808,PERSON,PERSON_00808
RPT00062,PH00077,PHONE,PH00077
RPT00062,ACC00373,ACCOUNT,ACC00373
RPT00062,VEH00043,VEHICLE,VEH00043
RPT00062,LOC0011,LOCATION,Zone_0011
RPT00063,P00792,PERSON,PERSON_00792
RPT00063,P00313,PERSON,PERSON_00313
RPT00063,PH00996,PHONE,PH00996
RPT00063,ACC00172,ACCOUNT,ACC00172
RPT00063,VEH00168,VEHICLE,VEH00168
RPT00063,LOC0057,LOCATION,Zone_0057
RPT00064,P00600,PERSON,PERSON_00600
RPT00064,P00591,PERSON,PERSON_00591
RPT00064,PH00559,PHONE,PH00559
RPT00064,ACC00394,ACCOUNT,ACC00394
RPT00064,VEH00314,VEHICLE,VEH00314
RPT00064,LOC0025,LOCATION,Zone_0025
RPT00065,P00353,PERSON,PERSON_00353
RPT00065,P00511,PERSON,PERSON_00511
RPT00065,PH00819,PHONE,PH00819
RPT00065,ACC00888,ACCOUNT,ACC00888
RPT00065,VEH00338,VEHICLE,VEH00338
RPT00065,LOC0003,LOCATION,Zone_0003
RPT00066,P00018,PERSON,PERSON_00018
RPT00066,P00125,PERSON,PERSON_00125
RPT00066,PH00289,PHONE,PH00289
RPT00066,ACC00704,ACCOUNT,ACC00704
RPT00066,VEH00114,VEHICLE,VEH00114
RPT00066,LOC0173,LOCATION,Zone_0173
RPT00067,P00814,PERSON,PERSON_00814
RPT00067,P00129,PERSON,PERSON_00129
RPT00067,PH00469,PHONE,PH00469
RPT00067,ACC01099,ACCOUNT,ACC01099
RPT00067,VEH00248,VEHICLE,VEH00248
RPT00067,LOC0042,LOCATION,Zone_0042
RPT00068,P00951,PERSON,PERSON_00951
RPT00068,P00744,PERSON,PERSON_00744
RPT00068,PH00472,PHONE,PH00472
RPT00068,ACC01138,ACCOUNT,ACC01138
RPT00068,VEH00122,VEHICLE,VEH00122
RPT00068,LOC0031,LOCATION,Zone_0031
RPT00069,P00085,PERSON,PERSON_00085
RPT00069,P00201,PERSON,PERSON_00201
RPT00069,PH00207,PHONE,PH00207
RPT00069,ACC00410,ACCOUNT,ACC00410
RPT00069,VEH00343,VEHICLE,VEH00343
RPT00069,LOC0098,LOCATION,Zone_0098
RPT00070,P00876,PERSON,PERSON_00876
RPT00070,P00397,PERSON,PERSON_00397
RPT00070,PH01004,PHONE,PH01004
RPT00070,ACC01120,ACCOUNT,ACC01120
RPT00070,VEH00340,VEHICLE,VEH00340
RPT00070,LOC0138,LOCATION,Zone_0138
RPT00071,P00712,PERSON,PERSON_00712
RPT00071,P00157,PERSON,PERSON_00157
RPT00071,PH00708,PHONE,PH00708
RPT00071,ACC01145,ACCOUNT,ACC01145
RPT00071,VEH00347,VEHICLE,VEH00347
RPT00071,LOC0178,LOCATION,Zone_0178
RPT00072,P00419,PERSON,PERSON_00419
RPT00072,P00642,PERSON,PERSON_00642
RPT00072,PH00245,PHONE,PH00245
RPT00072,ACC00533,ACCOUNT,ACC00533
RPT00072,VEH00121,VEHICLE,VEH00121
RPT00072,LOC0096,LOCATION,Zone_0096
RPT00073,P00415,PERSON,PERSON_00415
RPT00073,P00199,PERSON,PERSON_00199
RPT00073,PH00239,PHONE,PH00239
RPT00073,ACC00904,ACCOUNT,ACC00904
RPT00073,VEH00262,VEHICLE,VEH00262
RPT00073,LOC0035,LOCATION,Zone_0035
RPT00074,P00907,PERSON,PERSON_00907
RPT00074,P00184,PERSON,PERSON_00184
RPT00074,PH00093,PHONE,PH00093
RPT00074,ACC00222,ACCOUNT,ACC00222
RPT00074,VEH00191,VEHICLE,VEH00191
RPT00074,LOC0089,LOCATION,Zone_0089
RPT00075,P00328,PERSON,PERSON_00328
RPT00075,P00775,PERSON,PERSON_00775
RPT00075,PH00143,PHONE,PH00143
RPT00075,ACC00207,ACCOUNT,ACC00207
RPT00075,VEH00276,VEHICLE,VEH00276
RPT00075,LOC0044,LOCATION,Zone_0044
RPT00076,P00579,PERSON,PERSON_00579
RPT00076,P00035,PERSON,PERSON_00035
RPT00076,PH00535,PHONE,PH00535
RPT00076,ACC00033,ACCOUNT,ACC00033
RPT00076,VEH00113,VEHICLE,VEH00113
RPT00076,LOC0141,LOCATION,Zone_0141
RPT00077,P00059,PERSON,PERSON_00059
RPT00077,P00369,PERSON,PERSON_00369
RPT00077,PH00823,PHONE,PH00823
RPT00077,ACC00414,ACCOUNT,ACC00414
RPT00077,VEH00078,VEHICLE,VEH00078
RPT00077,LOC0180,LOCATION,Zone_0180
RPT00078,P00222,PERSON,PERSON_00222
RPT00078,P00162,PERSON,PERSON_00162
RPT00078,PH00965,PHONE,PH00965
RPT00078,ACC00726,ACCOUNT,ACC00726
RPT00078,VEH00378,VEHICLE,VEH00378
RPT00078,LOC0077,LOCATION,Zone_0077
RPT00079,P00815,PERSON,PERSON_00815
RPT00079,P00037,PERSON,PERSON_00037
RPT00079,PH01017,PHONE,PH01017
RPT00079,ACC00387,ACCOUNT,ACC00387
RPT00079,VEH00122,VEHICLE,VEH00122
RPT00079,LOC0118,LOCATION,Zone_0118
RPT00080,P00488,PERSON,PERSON_00488
RPT00080,P00233,PERSON,PERSON_00233
RPT00080,PH00873,PHONE,PH00873
RPT00080,ACC00662,ACCOUNT,ACC00662
RPT00080,VEH00335,VEHICLE,VEH00335
RPT00080,LOC0014,LOCATION,Zone_0014
RPT00081,P00635,PERSON,PERSON_00635
RPT00081,P00171,PERSON,PERSON_00171
RPT00081,PH00017,PHONE,PH00017
RPT00081,ACC00731,ACCOUNT,ACC00731
RPT00081,VEH00217,VEHICLE,VEH00217
RPT00081,LOC0009,LOCATION,Zone_0009
RPT00082,P00240,PERSON,PERSON_00240
RPT00082,P00515,PERSON,PERSON_00515
RPT00082,PH01107,PHONE,PH01107
RPT00082,ACC00711,ACCOUNT,ACC00711
RPT00082,VEH00242,VEHICLE,VEH00242
RPT00082,LOC0099,LOCATION,Zone_0099
RPT00083,P00238,PERSON,PERSON_00238
RPT00083,P00900,PERSON,PERSON_00900
RPT00083,PH00995,PHONE,PH00995
RPT00083,ACC00047,ACCOUNT,ACC00047
RPT00083,VEH00110,VEHICLE,VEH00110
RPT00083,LOC0038,LOCATION,Zone_0038
RPT00084,P00027,PERSON,PERSON_00027
RPT00084,P00629,PERSON,PERSON_00629
RPT00084,PH00805,PHONE,PH00805
RPT00084,ACC00285,ACCOUNT,ACC00285
RPT00084,VEH00234,VEHICLE,VEH00234
RPT00084,LOC0033,LOCATION,Zone_0033
RPT00085,P00221,PERSON,PERSON_00221
RPT00085,P00169,PERSON,PERSON_00169
RPT00085,PH00966,PHONE,PH00966
RPT00085,ACC00661,ACCOUNT,ACC00661
RPT00085,VEH00028,VEHICLE,VEH00028
RPT00085,LOC0144,LOCATION,Zone_0144
RPT00086,P00110,PERSON,PERSON_00110
RPT00086,P00414,PERSON,PERSON_00414
RPT00086,PH00220,PHONE,PH00220
RPT00086,ACC01198,ACCOUNT,ACC01198
RPT00086,VEH00016,VEHICLE,VEH00016
RPT00086,LOC0096,LOCATION,Zone_0096
RPT00087,P00772,PERSON,PERSON_00772
RPT00087,P00138,PERSON,PERSON_00138
RPT00087,PH00379,PHONE,PH00379
RPT00087,ACC00151,ACCOUNT,ACC00151
RPT00087,VEH00191,VEHICLE,VEH00191
RPT00087,LOC0132,LOCATION,Zone_0132
RPT00088,P00974,PERSON,PERSON_00974
RPT00088,P00154,PERSON,PERSON_00154
RPT00088,PH00251,PHONE,PH00251
RPT00088,ACC00408,ACCOUNT,ACC00408
RPT00088,VEH00131,VEHICLE,VEH00131
RPT00088,LOC0044,LOCATION,Zone_0044
RPT00089,P00192,PERSON,PERSON_00192
RPT00089,P00334,PERSON,PERSON_00334
RPT00089,PH00127,PHONE,PH00127
RPT00089,ACC01142,ACCOUNT,ACC01142
RPT00089,VEH00341,VEHICLE,VEH00341
RPT00089,LOC0018,LOCATION,Zone_0018
RPT00090,P00475,PERSON,PERSON_00475
RPT00090,P00896,PERSON,PERSON_00896
RPT00090,PH00920,PHONE,PH00920
RPT00090,ACC01165,ACCOUNT,ACC01165
RPT00090,VEH00245,VEHICLE,VEH00245
RPT00090,LOC0019,LOCATION,Zone_0019
RPT00091,P00147,PERSON,PERSON_00147
RPT00091,P00125,PERSON,PERSON_00125
RPT00091,PH00392,PHONE,PH00392
RPT00091,ACC00549,ACCOUNT,ACC00549
RPT00091,VEH00116,VEHICLE,VEH00116
RPT00091,LOC0134,LOCATION,Zone_0134
RPT00092,P00651,PERSON,PERSON_00651
RPT00092,P00983,PERSON,PERSON_00983
RPT00092,PH00397,PHONE,PH00397
RPT00092,ACC00842,ACCOUNT,ACC00842
RPT00092,VEH00078,VEHICLE,VEH00078
RPT00092,LOC0117,LOCATION,Zone_0117
RPT00093,P00375,PERSON,PERSON_00375
RPT00093,P00484,PERSON,PERSON_00484
RPT00093,PH00349,PHONE,PH00349
RPT00093,ACC01159,ACCOUNT,ACC01159
RPT00093,VEH00040,VEHICLE,VEH00040
RPT00093,LOC0111,LOCATION,Zone_0111
RPT00094,P00681,PERSON,PERSON_00681
RPT00094,P00900,PERSON,PERSON_00900
RPT00094,PH00861,PHONE,PH00861
RPT00094,ACC00801,ACCOUNT,ACC00801
RPT00094,VEH00043,VEHICLE,VEH00043
RPT00094,LOC0008,LOCATION,Zone_0008
RPT00095,P00982,PERSON,PERSON_00982
RPT00095,P00198,PERSON,PERSON_00198
RPT00095,PH00138,PHONE,PH00138
RPT00095,ACC00621,ACCOUNT,ACC00621
RPT00095,VEH00289,VEHICLE,VEH00289
RPT00095,LOC0111,LOCATION,Zone_0111
RPT00096,P00488,PERSON,PERSON_00488
RPT00096,P00761,PERSON,PERSON_00761
RPT00096,PH00873,PHONE,PH00873
RPT00096,ACC00662,ACCOUNT,ACC00662
RPT00096,VEH00339,VEHICLE,VEH00339
RPT00096,LOC0091,LOCATION,Zone_0091
RPT00097,P00201,PERSON,PERSON_00201
RPT00097,P00712,PERSON,PERSON_00712
RPT00097,PH00618,PHONE,PH00618
RPT00097,ACC00254,ACCOUNT,ACC00254
RPT00097,VEH00283,VEHICLE,VEH00283
RPT00097,LOC0157,LOCATION,Zone_0157
RPT00098,P00332,PERSON,PERSON_00332
RPT00098,P00443,PERSON,PERSON_00443
RPT00098,PH00737,PHONE,PH00737
